,harmonised_code,harmonised_name,nuts_3_code,nuts_3_name,nuts_2_code,nuts_2_name,nuts_1_code,nuts_1_name
196,T_1821,leski,PL821,Krośnieński,PL82,Podkarpackie,PL8,Makroregion wschodni
197,T_1861,Krosno,PL821,Krośnieński,PL82,Podkarpackie,PL8,Makroregion wschodni
198,T_1803,dębicki,PL824,Tarnobrzeski,PL82,Podkarpackie,PL8,Makroregion wschodni
199,T_1808,leżajski,PL824,Tarnobrzeski,PL82,Podkarpackie,PL8,Makroregion wschodni
200,T_1811,mielecki,PL824,Tarnobrzeski,PL82,Podkarpackie,PL8,Makroregion wschodni
201,T_1812,niżański,PL824,Tarnobrzeski,PL82,Podkarpackie,PL8,Makroregion wschodni
202,T_1818,stalowowolski,PL824,Tarnobrzeski,PL82,Podkarpackie,PL8,Makroregion wschodni
203,T_1820,tarnobrzeski,PL824,Tarnobrzeski,PL82,Podkarpackie,PL8,Makroregion wschodni
204,T_1864,Tarnobrzeg,PL824,Tarnobrzeski,PL82,Podkarpackie,PL8,Makroregion wschodni
205,T_1804,jarosławski,PL822,Przemyski,PL82,Podkarpackie,PL8,Makroregion wschodni
206,T_1809,lubaczowski,PL822,Przemyski,PL82,Podkarpackie,PL8,Makroregion wschodni
207,T_1813,przemyski,PL822,Przemyski,PL82,Podkarpackie,PL8,Makroregion wschodni
208,T_1814,przeworski,PL822,Przemyski,PL82,Podkarpackie,PL8,Makroregion wschodni
209,T_1862,Przemyśl,PL822,Przemyski,PL82,Podkarpackie,PL8,Makroregion wschodni
210,T_1806,kolbuszowski,PL823,Rzeszowski,PL82,Podkarpackie,PL8,Makroregion wschodni
211,T_1810,łańcucki,PL823,Rzeszowski,PL82,Podkarpackie,PL8,Makroregion wschodni
212,T_1815,ropczycko-sędziszowski,PL823,Rzeszowski,PL82,Podkarpackie,PL8,Makroregion wschodni
213,T_1816,rzeszowski,PL823,Rzeszowski,PL82,Podkarpackie,PL8,Makroregion wschodni
214,T_1819,strzyżowski,PL823,Rzeszowski,PL82,Podkarpackie,PL8,Makroregion wschodni
215,T_1863,Rzeszów,PL823,Rzeszowski,PL82,Podkarpackie,PL8,Makroregion wschodni
216,T_2001,augustowski,PL843,Suwalski,PL84,Podlaskie,PL8,Makroregion wschodni
217,T_2004,grajewski,PL843,Suwalski,PL84,Podlaskie,PL8,Makroregion wschodni
218,T_2008,moniecki,PL843,Suwalski,PL84,Podlaskie,PL8,Makroregion wschodni
219,T_2009,sejneński,PL843,Suwalski,PL84,Podlaskie,PL8,Makroregion wschodni
220,T_2012,suwalski,PL843,Suwalski,PL84,Podlaskie,PL8,Makroregion wschodni
221,T_2063,Suwałki,PL843,Suwalski,PL84,Podlaskie,PL8,Makroregion wschodni
222,T_2002,białostocki,PL841,Białostocki,PL84,Podlaskie,PL8,Makroregion wschodni
223,T_2011,sokólski,PL841,Białostocki,PL84,Podlaskie,PL8,Makroregion wschodni
224,T_2061,Białystok,PL841,Białostocki,PL84,Podlaskie,PL8,Makroregion wschodni
225,T_2003,bielski,PL842,Łomżyński,PL84,Podlaskie,PL8,Makroregion wschodni
