Land;Statistische Kennziffer;Kreisfreie Stadt bzw. Stadtkreis, Landkreis bzw. Kreis;Wahlberechtigte;Wähler;Ungültige;Gültige;SPD;CDU;CSU;GRÜNE;FDP;PDS;Deutschland;APPD;APD;BP;BüSo;BfB;CHANCE 2000;CM;DPD;GRAUE;REP;FAMILIE;DIE FRAUEN;HP;MLPD;Die Tierschutzpartei;NPD;NATURGESETZ;FORUM;ödp;PBC;AB 2000;PASS;DKP;DSU;ZENTRUM;DMP;FP Deutschland;FSU;STATT Partei;Einzelbewerber;Ungültige;Gültige;SPD;CDU;CSU;GRÜNE;FDP;PDS;Deutsch-land;APPD;APD;BP;BüSo;BfB;CHANCE 2000;CM;DPD;DVU;GRAUE;REP;FAMILIE;DIE FRAUEN;HP;Pro DM;MLPD;Die Tier-schutzpartei;NPD;NATUR-GESETZ;FORUM;ödp;PBC;AB 2000;Nicht-wähler;PASS;PSG
;;;;;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen
NI;03253;Hannover;456720;391721;7262;384459;208446;142829;0;12374;9807;3102;0;0;0;0;0;0;0;0;0;0;6260;0;0;0;0;0;0;345;0;512;784;0;0;0;0;0;0;0;0;0;0;5644;386077;201445;122710;0;20061;25598;3080;0;352;0;0;0;363;0;126;0;2334;694;4955;0;0;0;1874;0;887;382;188;0;236;733;0;0;0;59
NI;03254;Hildesheim;224617;193222;1889;191333;103887;70118;0;7911;3436;1535;0;0;0;0;0;0;0;274;0;548;3130;0;0;0;0;0;0;0;0;349;0;0;0;0;0;145;0;0;0;0;0;1405;191817;101877;61467;0;10212;10320;1662;0;197;0;0;0;120;0;149;0;1035;380;2000;0;0;0;1199;0;463;231;108;0;143;231;0;0;0;23
NI;03255;Holzminden;64816;55440;757;54683;31541;19336;0;1625;1272;816;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;93;504;54936;30287;16819;0;2278;3265;563;0;39;0;0;0;43;0;12;0;370;59;405;0;0;0;317;0;178;205;41;0;17;30;0;0;0;8
NI;03256;Nienburg (Weser);95765;77924;786;77138;37817;32015;0;2943;1654;554;0;0;0;0;0;701;0;0;0;0;1454;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;622;77302;39278;26377;0;3701;4203;585;0;71;0;0;0;377;0;28;0;423;91;1199;0;0;0;563;0;176;90;32;0;16;82;0;0;0;10
NI;03257;Schaumburg;125217;105616;2134;103482;55689;37723;0;4175;2922;889;0;0;0;0;0;352;0;0;0;0;1732;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1613;104003;56090;32592;0;5111;5707;865;0;90;0;0;0;168;0;39;0;665;134;1131;0;0;0;597;0;293;165;59;0;26;253;0;0;0;18
NI;03351;Celle;137006;113843;1033;112810;52478;48887;0;3080;2639;882;0;0;0;0;0;671;0;0;0;0;3677;0;0;0;0;0;0;0;0;0;438;0;0;0;0;0;0;0;58;0;0;806;113037;49130;43885;0;5149;7735;1031;0;113;0;0;0;398;0;23;0;597;168;3070;0;0;0;832;0;260;142;57;0;52;373;0;0;0;22
NI;03352;Cuxhaven;156787;130288;1474;128814;69715;48444;0;5393;2797;0;0;0;0;0;0;714;0;0;0;0;1751;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1011;129277;67193;43593;0;6032;7149;1177;0;135;0;0;0;262;0;30;0;973;198;929;0;0;0;924;0;345;167;51;0;45;66;0;0;0;8
NI;03353;Harburg;174064;151130;1864;149266;69570;62090;0;6637;6025;1728;0;0;0;0;0;953;0;0;0;0;2263;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1016;150114;66129;53867;0;9880;12871;1874;0;188;0;0;0;367;0;44;0;1487;338;1401;0;0;0;640;0;485;177;92;0;64;196;0;0;0;14
NI;03354;Lüchow-Dannenberg;41407;34431;503;33928;15844;13245;0;2896;860;407;0;0;0;0;0;0;0;0;0;110;486;0;0;0;0;0;0;80;0;0;0;0;0;0;0;0;0;0;0;0;0;365;34066;13391;11926;0;4916;1913;545;0;63;0;0;0;38;0;15;0;464;81;298;0;0;0;173;0;83;53;30;0;13;61;0;0;0;3
NI;03355;Lüneburg;123711;102700;1768;100932;50813;37377;0;5661;3584;1468;0;0;0;0;0;0;0;0;0;419;1321;0;0;0;0;0;0;289;0;0;0;0;0;0;0;0;0;0;0;0;0;1322;101378;48159;32916;0;8373;6880;1885;0;203;0;0;0;99;0;31;0;743;250;783;0;0;0;314;0;242;211;102;0;32;143;0;0;0;12
