Land;Statistische Kennziffer;Kreisfreie Stadt bzw. Stadtkreis, Landkreis bzw. Kreis;Wahlberechtigte;Wähler;Ungültige;Gültige;SPD;CDU;CSU;GRÜNE;FDP;Die Linke.;Offensive D;REP;NPD;Die Tierschutzpartei;GRAUE;PBC;DIE FRAUEN;FAMILIE;BüSo;BP;ZENTRUM;Deutschland;AGFG;APPD;MLPD;DIE PARTEI;CM;DSU;HP;HUMANWIRTSCHAFTSPARTEI;STATT Partei;UNABHÄNGIGE;Übrige;Ungültige;Gültige;SPD;CDU;CSU;GRÜNE;FDP;Die Linke.;Offensive D;REP;NPD;Die Tierschutzpartei;GRAUE;PBC;DIE FRAUEN;FAMILIE;BüSo;BP;ZENTRUM;Deutschland;AGFG;APPD;50plus;MLPD;Die Partei;PSG;Pro DM
;;;;;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen
NI;03357;Rotenburg (Wümme);125961;99827;1151;98676;41324;43493;0;4392;4971;3008;0;0;1488;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;995;98832;37738;38046;0;6974;9711;3751;0;0;1360;570;265;245;0;0;62;0;0;0;0;0;0;25;0;0;85
NI;03358;Soltau-Fallingbostel;109427;86109;1244;84865;38815;35041;0;2812;3264;2960;0;0;1455;0;0;518;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1072;85037;35724;30019;0;5329;7949;3292;0;0;1390;593;245;349;0;0;46;0;0;0;0;0;0;28;0;0;73
NI;03359;Stade;150790;119498;1813;117685;56676;49572;0;4585;4469;0;0;0;2383;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1368;118130;49137;41435;0;8628;10985;4667;0;0;1767;703;496;128;0;0;44;0;0;0;0;0;0;40;0;0;100
NI;03360;Uelzen;77403;61454;757;60697;30398;23003;0;2224;2063;2123;0;0;671;0;0;215;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;726;60728;25944;20573;0;4537;5390;2756;0;0;714;357;216;145;0;0;28;0;0;0;0;0;0;15;0;0;53
NI;03361;Verden;102642;81875;901;80974;38067;28820;0;5780;4056;2706;0;0;1545;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;796;81079;35194;25307;0;7061;7221;3596;0;0;1428;504;267;369;0;0;34;0;0;0;0;0;0;25;0;0;73
NI;03401;Delmenhorst, Stadt;57570;43098;687;42411;21873;13800;0;1810;1722;2214;0;0;718;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;274;634;42464;19879;11558;0;2896;4008;2693;0;0;690;307;276;69;0;0;18;0;0;0;0;0;0;19;0;0;51
NI;03402;Emden, Stadt;38809;29082;450;28632;18265;6165;0;1665;963;1161;0;0;322;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;91;390;28692;17276;5633;0;2079;1741;1310;0;0;275;159;68;72;0;0;14;0;0;0;0;0;0;31;0;0;34
NI;03403;Oldenburg (Oldenburg), Stadt;120878;95482;1334;94148;43029;29073;0;12262;3273;5666;0;0;845;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1029;94453;41791;23655;0;13241;7867;5996;0;0;770;521;307;117;0;0;39;0;0;0;0;0;0;63;0;0;86
NI;03404;Osnabrück, Stadt;118413;92459;1157;91302;41348;33996;0;6935;5196;3195;0;0;632;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1018;91441;36789;29625;0;10736;8941;3809;0;0;592;380;283;165;0;0;22;0;0;0;0;0;0;47;0;0;52
NI;03405;Wilhelmshaven, Stadt;66113;49769;1154;48615;24290;15386;0;1740;2704;2511;0;0;1071;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;913;993;48776;22779;14341;0;2721;3975;2867;0;0;875;390;565;62;0;0;27;0;0;0;0;0;0;120;0;0;54
