Land;Statistische Kennziffer;Kreisfreie Stadt bzw. Stadtkreis, Landkreis bzw. Kreis;Wahlberechtigte;Wähler;Ungültige;Gültige;SPD;CDU;CSU;GRÜNE;FDP;PDS;REP;GRAUE;Die Tierschutzpartei;NPD;ödp;PBC;DIE FRAUEN;BP;FAMILIE;CM;BüSo;HP;Die Violetten;AUFBRUCH;ZENTRUM;KPD;PRG;Schill;Deutschland;DKP;DSU;FP Deutschlands;Einzelbewerber;Ungültige;Gültige;SPD;CDU;CSU;GRÜNE;FDP;PDS;REP;GRAUE;Die Tierschutzpartei;NPD;ödp;PBC;DIE FRAUEN;BP;FAMILIE;CM;BüSo;HP;Die Violetten;AUFBRUCH;Zentrum;KPD;PRG;Schill
;;;;;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen
NI;03257;Schaumburg ;127216;103903;1434;102469;55483;37371;0;5171;4444;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;758;103145;53429;33759;0;6121;6297;932;398;141;407;284;31;356;0;0;0;0;26;0;0;0;0;0;0;964
NI;03351;Celle ;139133;111056;1181;109875;53129;45846;0;3165;5506;1096;0;0;0;0;0;626;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;507;837;110219;47168;43658;0;6755;8052;1009;1209;152;363;222;43;411;0;0;0;0;19;0;0;0;0;0;0;1158
NI;03352;Cuxhaven ;159871;128334;1371;126963;67219;47095;0;4628;6347;1298;0;0;0;181;0;0;0;0;0;0;195;0;0;0;0;0;0;0;0;0;0;0;0;909;127425;62744;42987;0;8473;8931;1081;251;181;592;345;45;129;0;0;0;0;49;0;0;0;0;0;0;1617
NI;03353;Harburg ;181858;154381;1467;152914;69388;62789;0;8681;8846;1563;0;0;0;988;0;0;0;0;0;0;0;0;0;0;0;0;0;624;0;0;0;0;35;952;153429;62218;56126;0;14639;13411;1517;283;233;716;442;65;312;0;0;0;0;49;0;0;0;0;0;0;3418
NI;03354;Lüchow-Dannenberg ;41362;32540;387;32153;14119;12507;0;2722;1279;429;0;0;0;157;0;0;0;0;0;0;0;0;0;0;0;0;0;323;0;0;0;0;617;383;32157;13489;11332;0;3736;2156;683;71;53;136;104;13;92;0;0;0;0;9;0;0;0;0;0;0;283
NI;03355;Lüneburg ;130212;105652;970;104682;51456;35726;0;7908;4999;1536;0;0;0;563;0;0;0;0;0;0;0;0;0;0;0;0;0;1984;0;0;0;0;510;782;104870;47478;32645;0;12256;7958;1714;164;152;408;375;58;152;0;0;0;0;45;0;0;0;0;0;0;1465
NI;03356;Osterholz ;86554;71112;818;70294;37279;21723;0;4369;5827;914;0;0;0;0;0;0;0;0;0;0;182;0;0;0;0;0;0;0;0;0;0;0;0;520;70592;34796;20778;0;6731;5563;763;267;115;345;212;19;147;0;0;0;0;33;0;0;0;0;0;0;823
NI;03357;Rotenburg ;123665;99786;1027;98759;43571;41403;0;6568;5997;974;0;0;0;0;0;0;0;0;0;0;246;0;0;0;0;0;0;0;0;0;0;0;0;690;99096;43329;38326;0;6769;7514;892;252;111;370;264;22;286;0;0;0;0;62;0;0;0;0;0;0;899
NI;03358;Soltau-Fallingbostel ;107880;86065;1025;85040;40966;34531;0;3608;4123;897;0;0;0;716;0;0;0;0;0;0;0;0;0;0;0;0;0;185;0;0;0;0;14;695;85370;39272;31614;0;5097;5935;795;502;97;343;263;27;243;0;0;0;0;20;0;0;0;0;0;0;1162
NI;03359;Stade ;148160;119153;1356;117797;61753;47980;0;0;5539;1434;0;0;0;1091;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;800;118353;54424;41393;0;9219;8685;1231;162;198;404;523;37;154;0;0;0;0;24;0;0;0;0;0;0;1899
NI;03360;Uelzen ;77506;62792;740;62052;32964;22701;0;2140;2761;601;0;0;0;0;0;159;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;726;632;62160;29247;22168;0;4538;4175;685;158;103;219;163;22;120;0;0;0;0;13;0;0;0;0;0;0;549
NI;03361;Verden ;101392;82508;856;81652;42495;27052;0;4866;6000;1068;0;0;0;0;0;0;0;0;0;0;171;0;0;0;0;0;0;0;0;0;0;0;0;591;81917;39640;25831;0;7417;6230;924;221;139;308;285;26;124;0;0;0;0;36;0;0;0;0;0;0;736
NI;03401;Delmenhorst ;57417;44314;573;43741;24184;13833;0;1897;2644;742;0;441;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;407;43907;22971;13401;0;2806;2961;506;170;164;156;110;10;30;0;0;0;0;7;0;0;0;0;0;0;615
NI;03402;Emden ;38581;29650;507;29143;18486;6059;0;2149;1956;493;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;289;29361;18754;5711;0;1983;1981;362;49;33;78;69;13;113;0;0;0;0;6;0;0;0;0;0;0;209
NI;03403;Oldenburg ;119075;95194;1250;93944;45169;27229;0;12931;6459;1979;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;177;0;0;0;760;94434;45699;23993;0;13601;7465;2011;109;158;329;207;30;108;0;0;0;0;17;0;0;0;0;0;0;707
NI;03404;Osnabrück ;118616;94294;1244;93050;43471;33327;0;7519;7559;1093;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;81;0;0;0;1188;93106;40673;31381;0;10889;7829;1096;126;148;243;158;78;117;0;0;0;0;11;0;0;0;0;0;0;357
NI;03405;Wilhelmshaven ;66299;51064;882;50182;27167;16704;0;2082;3057;846;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;326;512;50552;26373;15631;0;2808;3628;640;334;77;266;102;20;36;0;0;0;0;15;0;0;0;0;0;0;622
NI;03451;Ammerland ;86424;69233;825;68408;31351;26871;0;4557;4957;625;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;47;0;0;0;567;68666;33160;21859;0;4859;6880;575;97;92;210;134;23;50;0;0;0;0;12;0;0;0;0;0;0;715
NI;03452;Aurich ;145765;117202;1825;115377;70257;30751;0;8069;4789;1511;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1151;116051;70975;29207;0;6098;6690;1029;340;139;443;253;23;201;0;0;0;0;14;0;0;0;0;0;0;639
NI;03453;Cloppenburg ;109365;86610;1428;85182;25269;51977;0;2251;5105;580;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;872;85738;24991;50135;0;2715;6212;435;136;81;205;103;18;284;0;0;0;0;21;0;0;0;0;0;0;402
NI;03454;Emsland ;225210;183977;1803;182174;55176;109642;0;4955;11244;1157;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1530;182447;59306;100201;0;6742;13068;959;312;177;527;318;37;180;0;0;0;0;29;0;0;0;0;0;0;591
NI;03455;Friesland ;79019;63449;891;62558;35401;17954;0;2774;5468;723;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;238;577;62872;32946;17991;0;4029;5893;587;201;108;314;150;14;43;0;0;0;0;23;0;0;0;0;0;0;573
NI;03456;Grafschaft Bentheim ;94531;77485;720;76765;35144;34653;0;3211;3185;572;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;515;76970;34216;31834;0;3876;5430;492;112;66;218;144;47;207;0;0;0;0;12;0;0;0;0;0;0;316
NI;03457;Leer ;123644;97421;1499;95922;51751;34413;0;4369;4387;1002;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1084;96337;53504;28760;0;4968;6075;898;207;116;431;256;28;451;0;0;0;0;17;0;0;0;0;0;0;626
NI;03458;Oldenburg ;93391;76257;820;75437;37027;25059;0;4589;7452;906;0;404;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;514;75743;35409;24553;0;6030;7465;788;166;174;269;156;32;81;0;0;0;0;18;0;0;0;0;0;0;602
NI;03459;Osnabrück ;263903;217858;2259;215599;93546;96887;0;9658;13735;1755;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;0;0;0;1779;216079;89877;91484;0;13423;16785;1458;377;246;742;451;86;336;0;0;0;0;23;0;0;0;0;0;0;791
NI;03460;Vechta ;91024;74542;1009;73533;19436;46758;0;2263;4396;680;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;602;73940;19933;44524;0;2701;5539;367;168;77;204;122;21;42;0;0;0;0;10;0;0;0;0;0;0;232
NI;03461;Wesermarsch ;71410;56035;759;55276;32591;14955;0;3303;3664;519;0;244;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;506;55529;31640;14577;0;3528;4338;496;91;113;184;114;17;25;0;0;0;0;8;0;0;0;0;0;0;398
NI;03462;Wittmund ;44193;34065;477;33588;17642;12370;0;1217;1850;427;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;82;329;33736;17241;11506;0;1599;2506;295;97;40;125;64;8;33;0;0;0;0;5;0;0;0;0;0;0;217
HB;04011;Bremen ;397289;316290;3483;312807;168782;80075;0;34763;14997;6237;0;731;0;800;0;0;0;0;0;0;0;0;0;0;0;0;0;6017;0;0;0;0;405;3435;312855;149320;75983;0;50042;21307;7464;801;1583;0;1372;0;0;0;0;0;0;0;0;0;0;0;0;0;4983
HB;04012;Bremerhaven ;87204;65719;885;64834;37070;17380;0;3875;3076;825;0;440;0;479;0;0;0;0;0;0;0;0;0;0;0;0;0;1689;0;0;0;0;0;950;64769;34048;16791;0;6590;3999;979;139;371;0;429;0;0;0;0;0;0;0;0;0;0;0;0;0;1423
NW;05111;Düsseldorf ;408471;325103;3017;322086;150241;122166;0;19075;22344;4151;0;834;0;0;0;0;0;0;0;0;321;291;0;0;0;0;0;2663;0;0;0;0;0;2744;322359;126135;109582;0;38878;34955;5109;1131;1004;1181;545;74;287;291;0;555;62;133;103;98;0;103;0;0;2133
NW;05112;Duisburg ;357760;273535;4476;269059;161479;71027;0;14476;13196;5478;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3403;0;0;0;0;0;4183;269352;150729;64746;0;21663;18036;4941;1730;768;1230;1079;69;210;239;0;676;120;39;34;63;0;89;0;0;2891
