"Nr okręgu",TERYT,Powiat,Uprawnieni do głosowania,Karty wydane (frekwencja),Karty ważne (głosy oddane),Głosy nieważne,Głosy ważne,1 - Ruch Patriotyczny,2 - Polska Partia Pracy,3 - Liga Polskich Rodzin,4 - Partia Demokratyczna,5 - Socjaldemokracja Polska,6 - Prawo i Sprawiedliwość,7 - Sojusz Lewicy Demokratycznej,8 - Platforma Obywatelska,9 - Polska Partia Narodowa,10 - Polskie Stronnictwo Ludowe,11 - Centrum,12 - Platforma Janusza Korwin-Mikke,13 - Ogólnopolska Koalicja Obywatelska O.K.O.,14 - Polska Konfederacja - Godność i Praca,15 - Samoobrona RP,16 - Inicjatywa RP,17 - Dom Ojczysty,18 - Narodowe Odrodzenie Polski,19 - Stronnictwo Pracy,19 - Społeczni Ratownicy,19 - Mniejszość Niemiecka,19 - Mniejszość Niemiecka Śląska
36,301200,krotoszyński,59587,24387,24371,1359,23012,157,115,1478,193,1110,3687,2310,6265,36,3371,148,266,,41,3807,28,,,,,,
36,301300,leszczyński,37559,13519,13512,957,12555,307,81,1376,122,403,1785,1691,2293,26,1360,44,198,,26,2813,30,,,,,,
36,301700,ostrowski,124416,50587,50515,2227,48288,562,336,3484,522,1698,11700,6804,9578,86,5560,71,646,,100,7013,128,,,,,,
36,301800,ostrzeszowski,41776,15178,15169,932,14237,95,83,1179,118,292,1862,1245,2500,23,3741,23,144,,30,2835,67,,,,,,
36,302000,pleszewski,48129,17244,17203,1095,16108,132,135,993,311,918,3531,1718,2642,22,2122,18,234,,54,3240,38,,,,,,
36,302200,rawicki,46775,16601,16593,1202,15391,222,77,1651,279,502,2028,2349,3225,44,1806,16,226,,55,2879,32,,,,,,
36,306101,m. Kalisz,86950,36818,36765,1232,35533,346,266,1993,747,3584,10003,4940,8567,67,1154,74,745,,64,2943,40,,,,,,
36,306301,m. Leszno,50545,21405,21407,751,20656,342,102,2240,396,947,3562,4252,6769,20,310,56,364,,26,1254,16,,,,,,
37,300300,gnieźnieński,110663,43680,43588,1763,41825,641,339,2375,517,1327,9357,8964,8512,89,2499,,610,78,99,6233,,124,61,,,,
37,300900,kolski,70897,26605,26584,1305,25279,163,145,1917,260,1115,4386,2323,2804,62,4753,,268,73,58,6782,,130,40,,,,
