Nr okr.,TERYT,Powiat,L. upr.,Frekw.,Gł. odd.,Ważne,1 - SLD-UP,2 - AWSP,3 - UW,4 - Samoobrona,"5 - ""PiS""",6 - PSL,7 - PO,8 - ARS,9 - PWN,10 - LPR,11 - MnN,13 - PUG,14 - PPS,15 - NMnGŚl
4,413,sępoleński,30431,14068,14055,13189,5740,437,209,1986,515,1793,1166,41,,1277,,25,,
4,414,świecki,74280,29986,29749,27989,13146,1006,436,3647,1452,3611,2400,83,,2140,,68,,
4,416,tucholski,34739,16750,16747,15676,7156,660,205,2106,797,1804,1668,41,,1171,,68,,
4,419,żniński,52887,24948,24868,23299,11953,1022,519,3086,1021,2923,1125,59,,1534,,57,,
4,461,Bydgoszcz,294650,145559,145338,141064,71296,7723,4225,7696,15220,3525,16262,331,,14547,,239,,
5,401,aleksandrowski,43835,19542,19466,18478,8586,860,283,2305,1463,1946,1445,43,,1468,,38,41,
5,402,brodnicki,55852,24201,24135,22977,9049,834,362,3248,1027,3718,2704,63,,1861,,71,40,
5,404,chełmiński,38882,15899,15861,14877,6795,396,258,2388,660,1491,1020,46,,1740,,44,39,
5,405,golubsko-dobrzyński,33145,14159,14046,13356,5733,535,163,2434,523,1952,935,29,,979,,47,26,
5,406,grudziądzki,28369,11142,11109,10438,3981,303,136,3246,424,1089,656,25,,534,,24,20,
5,408,lipnowski,49855,17495,17428,16485,7358,666,193,2533,837,2626,1224,65,,898,,47,38,
5,411,radziejowski,33743,15001,14969,14021,6857,426,129,2352,461,2551,473,27,,575,,74,96,
5,412,rypiński,34228,12574,12526,11960,5185,469,118,1445,453,2257,1244,31,,718,,16,24,
5,415,toruński,59532,21787,21754,20465,8725,689,411,3082,1697,2236,1620,36,,1878,,50,41,
5,417,wąbrzeski,26542,11188,11132,10557,4644,398,148,2186,449,1117,1001,30,,545,,19,20,
5,418,włocławski,65467,26627,26511,24778,10911,984,234,4482,895,4594,1163,71,,1202,,194,48,
5,462,Grudziądz,78385,32985,32971,31524,17537,925,881,2538,3003,588,4079,96,,1796,,31,50,
5,463,Toruń,158508,75384,75275,73181,32915,2483,4566,4286,8617,1410,10259,132,,8404,,52,57,
5,464,Włocławek,96472,44623,44395,42980,26151,3836,742,2752,2255,1322,3433,86,,2225,,52,126,
6,605,janowski,37307,19854,19780,19148,5014,1479,96,3273,671,4946,716,107,,2777,,,69,
6,607,kraśnicki,79119,37726,37659,36107,11442,1604,450,5918,2924,8107,2021,158,,3272,,,211,
6,608,lubartowski,70564,31731,31657,30283,9881,1328,694,5069,1734,6627,1510,120,,3212,,,108,
6,609,lubelski,101102,45906,45698,43994,9755,1362,574,9468,2547,13583,2078,183,,4330,,,114,
6,610,łęczyński,41155,17037,17023,16370,5851,831,216,2933,1050,3389,827,69,,1168,,,36,
6,611,łukowski,81889,39987,39778,38187,14452,1362,382,6037,1811,9724,1623,163,,2553,,,80,
6,612,opolski,50509,21892,21847,20924,7111,584,176,3842,830,5736,1076,136,,1400,,,33,
6,614,puławski,94149,43206,43138,41624,13354,1461,803,5496,4151,6275,6004,173,,3763,,,144,
6,616,rycki,47775,23641,23630,22678,9495,398,195,2542,1441,6224,890,82,,1376,,,35,
6,617,świdnicki,56927,25420,25341,24587,8402,1074,402,3673,2959,3275,2468,128,,2159,,,47,
6,663,Lublin,274882,143394,143072,140368,54057,8064,5470,9545,20769,7112,17630,390,,17029,,,302,
7,601,bialski,87722,40166,40081,38260,11678,2026,384,7345,1457,9071,2380,121,,3798,,,,
7,602,biłgorajski,79848,37984,37891,36376,10938,1634,504,5662,1916,8864,2094,153,,4611,,,,
7,603,chełmski,57438,22988,22969,21549,8917,817,255,4010,695,3940,1244,157,,1514,,,,
7,604,hrubieszowski,57687,27194,27102,25789,8582,952,330,5194,1234,6018,749,149,,2581,,,,
7,606,krasnostawski,63571,28005,27960,26591,9743,749,817,4242,1057,6432,1310,113,,2128,,,,
7,613,parczewski,29621,14166,14137,13491,4427,373,123,2344,612,3587,579,51,,1395,,,,
7,615,radzyński,48081,24086,24072,23081,6881,489,191,3711,1142,6928,1167,93,,2479,,,,
7,618,tomaszowski,71042,34218,34204,32475,9733,848,375,5224,1135,9471,1643,91,,3955,,,,
7,619,włodawski,32789,14359,14299,13476,5516,530,226,1839,522,2490,839,76,,1438,,,,
7,620,zamojski,86070,39974,39823,37847,9131,1060,454,7611,2089,10373,1248,137,,5744,,,,
7,661,Biała Podlaska,42912,21415,21366,20765,9295,1510,403,2229,1291,1869,1723,41,,2404,,,,
7,662,Chełm,54689,25215,25190,24365,11682,1244,419,2134,2102,1537,3114,111,,2022,,,,
7,664,Zamość,51654,26214,26188,25420,10854,837,591,2310,2493,2011,1958,61,,4305,,,,
8,801,gorzowski,46435,18081,18051,16998,8566,1012,525,2238,913,1113,1428,59,,833,,264,47,
8,802,krośnieński,44503,17034,17029,16040,9083,844,538,1988,538,815,1410,124,,586,,64,50,
8,803,międzyrzecki,45599,19657,19641,18678,10020,749,750,1886,667,1642,1681,80,,920,,232,51,
8,804,nowosolski,95306,40117,40029,38100,18262,2796,899,4136,2614,3023,3690,124,,2363,,63,130,
8,805,słubicki,34471,13836,13831,13032,6612,528,356,1589,535,1292,1140,51,,613,,278,38,
8,806,strzelecko-drezdenecki,38554,15557,15546,14517,7068,593,525,1906,636,2091,921,51,,541,,148,37,
8,807,sulęciński,27564,12586,12516,11810,3974,566,216,935,294,4628,637,35,,466,,40,19,
8,808,świebodziński,42293,18124,18062,17242,8803,1116,430,1674,943,1299,1669,49,,1168,,41,50,
8,809,zielonogórski,64517,26350,26312,24891,13125,1565,647,2565,1026,1717,2409,124,,1551,,69,93,
8,810,żagański,64532,26446,26431,25060,13720,1163,707,2699,890,1616,2669,124,,1369,,27,76,
8,811,żarski,76923,29659,29613,28081,16424,1823,734,2595,1210,1180,2437,117,,1431,,50,80,
8,861,Gorzów Wielkopolski,97667,45109,45080,43510,22151,2332,2093,3212,4589,1353,4834,103,,2690,,97,56,
8,862,Zielona Góra,91545,45238,45189,44034,22982,3608,2072,2534,2817,1613,5697,131,,2447,,61,72,
9,1006,łódzki wschodni,71862,31827,31659,30400,10949,1667,477,4739,1972,3815,3037,98,53,3515,,,78,
9,1061,Łódź,637877,312687,312007,304757,163974,17443,10306,17684,31144,4055,37530,682,275,21094,,,570,
10,1001,bełchatowski,83916,37178,37069,35441,14593,1325,730,6805,2512,2758,3637,253,32,2673,,,123,
10,1007,opoczyński,60747,27989,27924,26420,8835,1607,288,4244,950,6012,1616,71,37,2699,,,61,
10,1010,piotrkowski,69183,29167,29139,27541,7865,938,258,6615,1107,5840,2020,96,39,2609,,,154,
10,1012,radomszczański,94493,42441,42331,40059,18769,2398,551,5420,3151,4938,2511,111,53,1897,,,260,
10,1013,rawski,38965,17120,17079,16343,5152,418,223,3283,748,4918,702,39,19,813,,,28,
