Okręg,TERYT,Powiat,Liczba obwodów,Liczba uprawnionych do głosowania,Liczba wysłanych pakietów,Liczba kart wydanych,Liczba osób głosujących przez pełnomocnika,Liczba oddanych kart,Karty wyjęte z kopert zwrotnych,Karty nieważne,Karty ważne,Głosy nieważne,Głosy ważne,Liczba zaświadczeń,Liczba kopert zwrotnych,Liczba kopert bez oświadczenia,Liczba kopert z niepodpisanym oświadczeniem,Liczba kopert zwrotnych bez koperty na kartę do głosowania,Liczba niezaklejonych kopert na karty do głosowania,Liczba kopert zwrotnych wrzuconych do urn,Komitet Wyborczy Nasz Dom Polska-Samoobrona Andrzeja Leppera,Komitet Wyborczy Nowa Prawica - Janusza Korwin-Mikke,Komitet Wyborczy Platforma Obywatelska RP,Komitet Wyborczy Polska Jest Najważniejsza,Komitet Wyborczy Polska Partia Pracy - Sierpień 80,Komitet Wyborczy Polskie Stronnictwo Ludowe,Komitet Wyborczy Prawica,Komitet Wyborczy Prawo i Sprawiedliwość,Komitet Wyborczy Ruch Palikota,Komitet Wyborczy Sojusz Lewicy Demokratycznej,Komitet Wyborczy Wyborców Mniejszość Niemiecka
31,246301,Chorzów,61,88185,2,43106,38,43098,2,3,43095,1656,41439,209,2,0,0,0,0,2,,869,21664,1392,438,1216,,8258,4759,2843,
31,246901,Katowice,166,249350,7,140380,127,140308,5,90,140218,3925,136293,1341,7,2,0,0,0,5,,3267,69506,5556,1013,4284,,29409,14819,8439,
31,247001,Mysłowice,42,60072,0,30980,25,30969,0,3,30966,1364,29602,150,0,0,0,0,0,0,,655,13146,1108,247,939,,7857,3529,2121,
31,247101,Piekary Śląskie,32,46882,1,22301,17,22289,1,0,22289,1075,21214,165,1,0,0,0,0,1,,423,9956,815,164,441,,6138,2049,1228,
31,247201,Ruda Śląska,80,114165,1,54763,32,54740,0,23,54717,2297,52420,236,1,1,0,0,0,0,,1020,23901,1923,480,1121,,15120,5288,3567,
31,247401,Siemianowice Śląskie,40,56564,0,27956,13,27950,0,4,27946,1064,26882,120,0,0,0,0,0,0,,563,13884,1090,193,462,,5698,3169,1823,
31,247601,Świętochłowice,27,42258,1,18381,6,18377,1,9,18368,732,17636,41,1,0,0,0,0,1,,344,8779,650,199,391,,3997,1986,1290,
31,247701,Tychy,67,104407,3,57124,46,57115,1,50,57065,2001,55064,264,3,2,0,1,0,1,,1353,25899,2210,507,1309,,14113,6327,3346,
32,240100,będziński,95,125263,6,62473,40,62459,6,27,62432,2766,59666,292,6,0,0,0,0,6,,,26393,1357,420,2079,466,11855,9102,7994,
32,241600,zawierciański,91,102018,0,47072,50,47070,0,1,47069,2167,44902,337,0,0,0,0,0,0,,,16091,803,413,5202,292,10404,6135,5562,
32,246501,Dąbrowa Górnicza,67,102930,1,51349,27,51337,1,5,51332,1814,49518,210,1,0,0,0,0,1,,,21703,1029,421,2292,344,9816,7937,5976,
32,246801,Jaworzno,45,76671,1,38358,24,38348,1,9,38339,1521,36818,134,1,0,0,0,0,1,,,17469,780,216,977,255,9141,4657,3323,
32,247501,Sosnowiec,117,178756,3,92136,36,92101,3,52,92049,2633,89416,421,3,0,0,0,0,3,,,38874,1887,715,1731,694,18237,13673,13605,
33,260100,buski,71,62705,1,25868,23,25864,1,12,25852,1378,24474,984,1,0,0,0,0,1,99,263,5043,326,83,7647,39,7055,2076,1843,
33,260200,jędrzejowski,74,72169,2,28771,16,28768,2,120,28648,1766,26882,206,2,0,0,0,0,2,93,293,4669,552,235,6885,108,8979,2796,2272,
33,260300,kazimierski,26,29526,0,9863,9,9863,0,0,9863,605,9258,65,0,0,0,0,0,0,114,100,1662,108,65,3235,13,2733,646,582,
33,260400,kielecki,165,162693,0,69873,35,69859,0,70,69789,4605,65184,393,0,0,0,0,0,0,204,959,13180,1127,294,15477,278,23366,4382,5917,
33,260500,konecki,67,69760,0,28822,24,28819,0,93,28726,1815,26911,212,0,0,0,0,0,0,69,315,6876,496,182,4237,95,9639,1977,3025,
33,260600,opatowski,54,45600,0,17798,21,17796,0,1,17795,1328,16467,131,0,0,0,0,0,0,82,142,2157,144,106,6406,51,4586,1452,1341,
33,260700,ostrowiecki,79,95317,0,38734,38,38734,0,40,38694,2160,36534,203,0,0,0,0,0,0,70,475,10440,521,230,7049,133,9869,3901,3846,
