OKW,TERYT,Powiat,Liczba obwodów,Uprawnieni do głosowania,Otrzymane karty do głosowania,Karty niewykorzystane,Karty wydane (frekwencja),Głosy oddane,Głosy ważne,Głosy nieważne,Bochniarz Henryka Teodora,Borowski Marek Stefan,Bubel Leszek Henryk,Ilasz Liwiusz Marian,Kaczyński Lech Aleksander,Kalinowski Jarosław,Korwin-Mikke Janusz Ryszard,Lepper Andrzej Zbigniew,Pyszko Jan,Słomka Adam Andrzej,Tusk Donald Franciszek,Tymiński Stanisław
15,102100,brzeziński,25,24487,23550,11943,11607,11604,11512,92,134,933,15,18,3754,494,152,3672,10,9,2295,26
14,106101,m. Łódź,396,626835,615533,278134,337391,337267,335147,2120,6066,54798,562,502,101266,2361,7877,23354,221,183,137173,784
16,106201,m. Piotrków Trybunalski,39,64150,62075,27700,34375,34360,34157,203,465,4753,61,94,12420,335,579,4551,23,25,10794,57
18,106301,m. Skierniewice,25,38628,37432,17323,20109,20105,19989,116,315,3176,47,60,6386,341,416,2082,20,12,7107,27
22,120100,bocheński,72,76126,72397,31895,40502,40491,40203,288,336,2080,26,65,19694,922,458,5396,22,23,11141,40
22,120200,brzeski,65,68281,65170,30159,35011,35001,34750,251,267,1478,42,59,17520,732,360,4484,21,16,9733,38
20,120300,chrzanowski,81,103995,100717,48703,52012,51993,51611,382,669,6818,56,137,16908,445,836,5910,16,35,19686,95
22,120400,dąbrowski,47,45472,43359,22199,21160,21152,21009,143,163,750,14,32,10808,1010,168,4640,12,6,3376,30
21,120500,gorlicki,89,83601,81744,41175,40569,40550,40262,288,291,2529,44,104,17849,956,510,7373,28,17,10500,61
19,120600,krakowski,164,187976,181642,86291,95352,95335,94746,589,832,4890,88,167,40244,1576,1442,11536,42,42,33777,110
21,120700,limanowski,94,89029,86838,40664,46174,46170,45805,365,291,1647,41,113,25930,965,367,6151,21,23,10211,45
20,120800,miechowski,58,41442,40501,23561,16940,16935,16751,184,132,1416,23,30,4457,769,178,6392,14,9,3298,33
20,120900,myślenicki,75,86532,82894,37398,45495,45488,45171,317,301,1772,46,78,23014,609,653,4987,25,20,13607,59
21,121000,nowosądecki,157,145498,138241,58483,79758,79728,79212,516,475,2789,65,166,45810,1472,619,10213,47,42,17424,90
21,121100,nowotarski,139,136466,129222,63390,65832,65820,65399,421,437,2196,83,150,31575,753,634,6776,39,25,22660,71
20,121200,olkuski,80,92832,89466,44955,44512,44499,44169,330,576,5185,54,110,14455,671,799,8820,23,15,13376,85
20,121300,oświęcimski,100,122421,119145,53164,65980,65958,65524,434,815,7084,52,144,25780,836,904,5849,46,33,23879,102
20,121400,proszowicki,37,34390,33665,19993,13672,13670,13580,90,89,750,8,15,3893,825,146,5440,5,12,2380,17
21,121500,Suski,57,62842,60217,27880,32337,32330,32060,270,240,1269,32,69,15649,471,282,3904,15,26,10034,69
22,121600,tarnowski,129,144386,137366,64387,72979,72959,72447,512,492,2553,66,136,39246,1739,592,10998,34,40,16461,90
21,121700,tatrzański,49,52785,49774,22800,26974,26960,26801,159,202,1056,36,29,12208,208,276,1690,7,13,11046,30
20,121800,wadowicki,98,119251,114753,52223,62531,62519,62139,380,632,3925,56,137,27501,928,630,6894,27,27,21285,97
20,121900,wielicki,70,79254,76066,35248,40818,40788,40543,245,312,1933,36,66,17861,574,606,3249,15,20,15834,37
19,126101,m. Kraków,444,593748,578316,225655,352682,352548,350991,1557,4322,31233,293,385,125232,1644,7969,10257,110,121,169169,256
21,126201,m. Nowy Sącz,48,65599,64774,27433,37341,37334,37127,207,426,3310,33,76,18057,303,714,2003,21,19,12116,49
22,126301,m. Tarnów,68,95029,91380,41218,50162,50154,49880,274,664,4867,42,73,21564,334,984,2275,14,27,18985,51
27,140100,białobrzeski,22,25950,24504,12633,11871,11871,11758,113,70,583,18,24,4270,509,97,3867,7,6,2292,15
