Okręg,Kod pow.,Powiat,Upr.,Frekw.,Odd.,Ważne,2 - Polska Partia Pracy,3 - Liga Polskich Rodzin,6 - Prawo i Sprawiedliwość,8 - Platforma Obywatelska,10 - Polskie Stronnictwo Ludowe,15 - Samoobrona,19 - Mniejszość Niemiecka,20 - Lewica i DemokraciD,21 - Patia Kobiet,22 - Samoobrona Patriotyczna
14,121100,nowotarski,139438,66124,66056,64531,490,758,33516,20407,5760,620,,2980,,
14,121700,tatrzański,53074,27439,27434,26958,146,236,11617,10213,3390,172,,1184,,
14,126201,m. Nowy Sącz,66349,40771,40736,40232,232,468,17295,15229,2027,252,,4729,,
15,120100,bocheński,77854,42417,42359,41346,375,773,20052,12309,4489,474,,2874,,
15,120200,brzeski,69514,36034,36022,34928,309,788,16989,10608,3983,369,,1882,,
15,120400,dąbrowski,46157,21172,21161,20532,138,240,10635,5437,2835,343,,904,,
15,121400,proszowicki,34721,14408,14406,14014,125,171,5008,2427,4773,432,,1078,,
15,121600,tarnowski,147573,74498,74470,72066,680,955,38525,17337,9807,937,,3825,,
15,121900,wielicki,82276,44715,44639,43738,450,546,17555,18670,3383,356,,2778,,
15,126301,m. Tarnów,94847,55743,55693,54699,376,926,19627,23850,2329,323,,7268,,
16,140200,ciechanowski,73221,34555,34540,33827,313,343,11700,9602,6281,767,,4821,,
16,140400,gostyniński,38060,17519,17513,17038,139,119,6182,3767,4873,359,,1599,,
16,141300,mławski,58428,25659,25632,24942,214,204,8404,7114,5666,606,,2734,,
16,141900,płocki,83067,34699,34692,33633,296,286,12727,6771,9911,837,,2805,,
16,142000,płoński,70523,29340,29322,28586,258,454,10783,7002,6616,674,,2799,,
16,142200,przasnyski,42215,18791,18761,18232,175,216,7249,3825,4755,458,,1554,,
16,142700,sierpecki,42415,17826,17820,17224,178,168,6495,3825,3959,707,,1892,,
16,142800,sochaczewski,66484,32353,32341,31752,262,334,12819,9687,5306,503,,2841,,
16,143700,żuromiński,32252,13430,13415,13013,94,114,4534,2338,3943,273,,1717,,
16,143800,żyrardowski,59560,30817,30802,30182,311,342,11008,12238,2748,387,,3148,,
16,146201,m. Płock,102180,59479,59423,58552,471,468,17331,24521,6779,364,,8618,,
