Okręg,TERYT,Powiat,L. obw.,Upr.,"Wydane
karty","Głosy
oddane","Głosy
ważne",1 - Komitet Wyborczy Unia Polityki Realnej,2 - Komitet Wyborczy Polskie Stronnictwo Ludowe,3 - Komitet Wyborczy Samoobrona Rzeczpospolitej Polskiej,4 - Komitet Wyborczy Polska Partia Pracy,5 - Komitet Wyborczy Libertas,6 - Koalicyjny Komitet Wyborczy Sojusz Lewicy Demokratycznej - Unia Pracy,7 - Koalicyjny Komitet Wyborczy Porozumienie dla Przyszłości - CentroLewica (PD+SDPL+Zieloni 2004),8 - Komitet Wyborczy Prawica Rzeczypospolitej,9 - Komitet Wyborczy Platforma Obywatelska RP,10 - Komitet Wyborczy Prawo i Sprawiedliwość,11 - Komitet Wyborczy Polska Partia Socjalistyczna,12 - Koalicyjny Komitet Wyborczy Naprzód Polsko - Piast
5,1406,grójecki,75,78523,15924,15914,15611,158,3669,522,112,735,960,356,263,3833,5003,,
5,1407,kozienicki,55,51632,8827,8816,8632,109,1117,428,68,286,641,184,154,2488,3157,,
4,1408,legionowski,52,78549,24709,24660,24405,234,756,107,104,199,2031,670,979,14165,5160,,
5,1409,lipski,41,30580,4365,4361,4229,43,1337,240,46,104,532,77,71,646,1133,,
5,1410,łosicki,36,26794,4993,4993,4864,42,1875,168,27,52,186,253,86,700,1475,,
5,1411,makowski,49,37745,7378,7376,7174,53,2641,173,105,81,424,100,103,1189,2305,,
5,1412,miński,91,112510,26973,26966,26462,323,3069,329,188,370,1551,753,784,10947,8148,,
5,1413,mławski,49,58821,9241,9234,8995,61,1892,245,80,135,960,196,97,2715,2614,,
4,1414,nowodworski,45,61059,12357,12316,12141,85,968,130,79,123,1661,314,527,5109,3145,,
5,1415,ostrołęcki,88,66670,10475,10466,10273,65,3596,347,85,138,342,169,183,1739,3609,,
5,1416,ostrowski,67,60274,11419,11418,11199,71,2926,246,73,154,552,165,161,2308,4543,,
4,1417,otwocki,73,92471,27998,27968,27576,322,1977,145,146,235,1704,617,1994,11744,8692,,
4,1418,piaseczyński,92,115935,37949,37923,37538,416,2998,201,124,282,2891,1063,2126,19718,7719,,
5,1419,płocki,83,84585,12839,12835,12469,90,4273,346,101,234,723,170,143,2683,3706,,
5,1420,płoński,60,70831,12097,12096,11764,80,3279,348,82,197,732,225,348,3239,3234,,
4,1421,pruszkowski,72,116921,40441,40389,40005,515,1493,189,144,347,3084,1161,1748,20902,10422,,
5,1422,przasnyski,55,42673,7658,7653,7524,73,1719,146,76,110,393,258,95,2203,2451,,
5,1423,przysuski,36,36034,7288,7288,7013,71,1883,291,64,350,341,111,294,1022,2586,,
5,1424,pułtuski,49,40173,7467,7464,7302,77,2447,147,66,121,403,154,102,1616,2169,,
5,1425,radomski,108,115039,20302,20273,19774,219,2754,481,167,647,1425,324,967,4565,8225,,
5,1426,siedlecki,66,63296,11203,11193,10937,85,3520,344,87,199,377,152,294,1647,4232,,
5,1427,sierpecki,35,42675,6290,6285,6127,63,1425,177,67,84,390,165,65,1763,1928,,
5,1428,sochaczewski,53,66829,12419,12406,12213,94,2428,152,49,184,1070,241,253,4133,3609,,
5,1429,sokołowski,55,46930,10658,10648,10399,113,2817,257,76,173,416,203,200,1983,4161,,
5,1430,szydłowiecki,30,32455,4860,4855,4719,43,616,102,45,183,360,93,138,1170,1969,,
4,1432,warszawski zachodni,55,79190,24991,24976,24759,342,1156,160,103,224,1652,726,1182,12650,6564,,
5,1433,węgrowski,52,54925,9848,9838,9637,79,2195,301,91,220,439,182,206,2120,3804,,
4,1434,wołomiński,124,160418,43408,43399,42848,521,2590,319,217,430,2968,953,2397,16906,15547,,
5,1435,wyszkowski,60,56915,11900,11899,11647,87,3613,168,79,98,367,152,202,3496,3385,,
5,1436,zwoleński,38,29821,4725,4725,4610,68,962,229,28,176,547,62,143,767,1628,,
5,1437,żuromiński,28,32653,4426,4410,4318,21,982,123,20,48,912,64,53,849,1246,,
5,1438,żyrardowski,51,59641,12761,12753,12480,111,1196,181,100,268,861,432,254,5565,3512,,
5,1461,"Ostrołęka, m.",29,43376,10519,10518,10338,104,1331,56,81,187,871,266,211,3513,3718,,
5,1462,"Płock, m.",69,101934,24523,24512,24149,205,2095,138,162,363,2653,621,305,11410,6197,,
5,1463,"Radom, m.",114,179787,49023,48962,48329,558,1725,245,289,1547,6126,1019,2428,16725,17667,,
5,1464,"Siedlce, m.",42,60884,15672,15658,15457,164,1265,94,110,302,1578,452,535,6185,4772,,
4,1465,Warszawa,840,1348903,586021,584891,580260,6728,9141,1366,2044,3829,65850,23759,23061,314970,129512,,
4,1499,Zagranica,189,25921,19319,19297,19031,310,371,60,59,225,1465,1035,828,9181,5497,,
12,1601,brzeski,72,73918,15540,15533,15231,176,951,494,160,188,1540,236,194,7204,4088,,
12,1602,głubczycki,46,39980,6817,6808,6622,86,591,277,82,153,601,80,187,2839,1726,,
12,1603,kędzierzyńsko-kozielski,59,80586,16515,16504,16144,219,1374,216,144,177,2400,215,268,8506,2625,,
12,1604,kluczborski,61,55655,10418,10417,10195,106,2543,226,67,93,704,166,161,3885,2244,,
12,1605,krapkowicki,50,54101,8216,8210,7983,107,1619,128,89,90,635,134,110,4116,955,,
12,1606,namysłowski,50,34869,7621,7619,7410,99,1413,276,103,72,863,97,102,2749,1636,,
12,1607,nyski,116,118367,22842,22832,22299,224,1841,713,254,298,2267,350,722,8853,6777,,
12,1608,oleski,51,54610,8363,8360,8094,104,1811,193,125,90,839,127,126,3407,1272,,
12,1609,opolski,104,108146,17487,17479,17050,220,3195,290,144,179,1182,241,294,9029,2276,,
12,1610,prudnicki,64,47190,8261,8258,8018,119,1172,275,103,81,732,103,130,3523,1780,,
12,1611,strzelecki,67,65049,10231,10225,9907,126,1709,183,106,93,776,114,191,5158,1451,,
12,1661,"Opole, m.",69,98399,31053,31044,30660,404,1130,199,190,232,3857,575,323,18873,4877,,
9,1801,bieszczadzki,28,18060,3258,3258,3190,34,245,61,29,30,501,35,68,1316,871,,
9,1802,brzozowski,57,52008,8623,8614,8410,77,729,253,46,83,398,72,133,2307,4312,,
9,1803,dębicki,103,105760,23768,23736,23116,219,1755,543,136,278,1861,268,591,5734,11731,,
9,1804,jarosławski,102,96909,20953,20944,20513,201,3707,608,117,143,1114,204,744,4632,9043,,
9,1805,jasielski,100,92628,18714,18689,18290,356,1923,238,128,130,984,154,302,5853,8222,,
9,1806,kolbuszowski,60,48555,10414,10405,10169,177,902,130,33,60,392,81,2324,2116,3954,,
9,1807,krośnieński,94,88100,16484,16473,16152,196,1259,363,139,138,1017,161,322,5082,7475,,
9,1808,leżajski,52,55111,11758,11751,11546,112,867,217,60,151,436,207,574,3361,5561,,
9,1809,lubaczowski,53,46497,9314,9311,9098,65,3809,320,50,260,531,88,195,1439,2341,,
9,1810,łańcucki,51,61411,14762,14755,14528,156,1494,192,67,159,671,176,273,2620,8720,,
9,1811,mielecki,112,106923,25601,25579,25093,309,3862,303,189,358,1995,327,396,6324,11030,,
9,1812,niżański,62,53636,9648,9636,9386,132,940,203,63,179,662,103,578,2107,4419,,
9,1813,przemyski,85,57373,9971,9965,9663,104,1336,268,98,97,635,105,295,3032,3693,,
9,1814,przeworski,69,62702,12403,12388,12086,98,3386,248,63,88,562,275,445,2465,4456,,
9,1815,ropczycko-sędziszowski,65,56053,12208,12208,11919,127,3200,204,81,301,433,126,323,1672,5452,,
9,1816,rzeszowski,123,127553,28205,28174,27652,248,4335,345,213,243,1760,395,694,6062,13357,,
9,1817,sanocki,71,77597,15629,15605,15323,225,881,185,81,144,1031,197,214,7332,5033,,
9,1818,stalowowolski,76,88511,19799,19789,19388,281,566,196,123,170,2215,427,442,6345,8623,,
9,1819,strzyżowski,62,49039,9121,9113,8898,93,1504,212,58,99,506,246,316,1929,3935,,
9,1820,tarnobrzeski,44,43738,8397,8394,8147,82,1399,128,56,107,493,115,272,1964,3531,,
9,1821,leski,27,22512,4758,4754,4656,52,349,69,32,14,302,50,71,2379,1338,,
9,1861,"Krosno, m.",26,39295,10087,10087,9974,108,301,68,33,71,1037,236,194,4417,3509,,
9,1862,"Przemyśl, m.",39,53705,14538,14502,14272,112,399,114,93,92,1328,291,281,6424,5138,,
9,1863,"Rzeszów, m.",87,135788,46295,46214,45703,625,6040,193,187,304,5249,1534,802,16064,14705,,
9,1864,"Tarnobrzeg, m.",32,40170,9901,9891,9714,121,497,73,99,54,1034,221,287,4116,3212,,
3,2001,augustowski,38,47666,8161,8149,8022,88,1017,409,50,71,688,243,190,2558,2694,14,
3,2002,białostocki,106,111432,24592,24577,24187,303,1852,372,108,266,1815,713,464,7744,10504,46,
3,2003,bielski,49,49291,9763,9754,9615,73,666,227,53,57,1667,183,134,1914,4632,9,
3,2004,grajewski,37,39508,6106,6102,5965,68,1357,144,48,70,382,101,82,1620,2081,12,
3,2005,hajnowski,45,41178,6244,6235,6101,63,492,153,58,31,1749,386,51,2280,821,17,
3,2006,kolneński,36,31704,4904,4903,4793,44,1254,228,38,69,269,51,51,880,1894,15,
3,2007,łomżyński,43,40491,6270,6263,6121,63,971,252,38,99,367,45,363,804,3101,18,
3,2008,moniecki,31,34829,5445,5442,5333,42,1013,204,34,55,292,148,98,1126,2313,8,
3,2009,sejneński,22,17177,2344,2343,2295,12,544,76,13,22,282,26,73,745,495,7,
3,2010,siemiatycki,47,39969,6945,6946,6822,62,904,180,108,67,807,147,82,1509,2935,21,
3,2011,sokólski,58,59179,9927,9918,9743,64,2653,223,43,84,648,194,132,2046,3639,17,
3,2012,suwalski,28,28140,3950,3949,3858,51,902,222,29,26,282,37,177,945,1175,12,
