Województwo,TERYT,Powiat,L.obw.,Upr.,Frekw.,Gł. odd.,Gł. ważne,KACZYŃSKI Jarosław Aleksander,KOMOROWSKI Bronisław Maria
pomorskie,220600,kościerski,45,55424,31711,31702,31399,14365,17034
pomorskie,220700,kwidzyński,53,63805,29889,29889,29567,10653,18914
pomorskie,220800,lęborski,43,55296,31113,30994,30671,10771,19900
pomorskie,220900,malborski,37,50100,24710,24706,24385,8124,16261
pomorskie,221000,nowodworski,25,35920,20369,20365,20145,6847,13298
pomorskie,221100,pucki,49,88348,62399,62378,61890,20636,41254
pomorskie,221200,słupski,73,82286,40822,40816,40403,12890,27513
pomorskie,221300,starogardzki,88,96721,50323,50306,49780,23516,26264
pomorskie,221400,tczewski,74,87601,45485,45481,44946,17786,27160
pomorskie,221500,wejherowski,94,148158,86055,86032,85077,33043,52034
pomorskie,221600,sztumski,34,34158,14794,14794,14606,5017,9589
pomorskie,226101,Gdańsk,216,363888,235588,235644,232715,74937,157778
pomorskie,226201,Gdynia,120,206079,138412,138357,136498,39087,97411
pomorskie,226301,Słupsk,46,76061,42644,42626,42143,13284,28859
pomorskie,226401,Sopot,21,37250,27076,27073,26761,7413,19348
pomorskie,229901,Statki - Gdańsk,5,253,251,251,246,89,157
śląskie,240100,będziński,94,123904,66552,66532,65550,23341,42209
śląskie,240200,bielski,85,123706,75568,75549,74771,33909,40862
śląskie,240300,cieszyński,119,143103,84833,84825,83880,30708,53172
śląskie,240400,częstochowski,111,109580,56218,56214,55515,28642,26873
śląskie,240500,gliwicki,72,90910,44086,44081,43597,18878,24719
śląskie,240600,kłobucki,60,69357,34497,34492,34048,17677,16371
śląskie,240700,lubliniecki,55,62613,31358,31352,30962,14028,16934
śląskie,240800,mikołowski,52,73147,41584,41581,41153,18658,22495
śląskie,240900,myszkowski,52,59370,30353,30349,29981,14679,15302
śląskie,241000,pszczyński,63,82754,48970,48962,48456,27093,21363
śląskie,241100,raciborski,69,89338,40113,40111,39695,14105,25590
śląskie,241200,rybnicki,43,59100,31675,31672,31352,17134,14218
śląskie,241300,tarnogórski,88,111722,58408,58401,57765,24364,33401
śląskie,241400,bieruńsko-lędziński,32,44770,25275,25268,25011,14709,10302
śląskie,241500,wodzisławski,93,124642,66773,66759,66101,34159,31942
śląskie,241600,zawierciański,90,102444,54273,54269,53588,25611,27977
śląskie,241700,żywiecki,105,123087,72435,72423,71718,39802,31916
śląskie,246101,Bielsko-Biała,97,138943,86511,86494,85607,33355,52252
śląskie,246201,Bytom,98,136128,66005,65998,65181,25382,39799
śląskie,246301,Chorzów,60,86997,44177,44171,43609,14264,29345
śląskie,246401,Częstochowa,134,192652,111486,111423,110109,43968,66141
śląskie,246501,Dąbrowa Górnicza,67,102140,54759,54742,53992,19330,34662
śląskie,246601,Gliwice,114,148054,83759,83749,82781,27541,55240
śląskie,246701,Jastrzębie-Zdrój,52,72590,40490,40487,40100,22305,17795
śląskie,246801,Jaworzno,45,75734,41224,41217,40761,16658,24103
śląskie,246901,Katowice,165,246478,141683,141648,139885,50691,89194
śląskie,247001,Mysłowice,42,58916,32781,32772,32385,15109,17276
śląskie,247101,Piekary Śląskie,32,46604,24634,24621,24353,11543,12810
śląskie,247201,Ruda Śląska,80,112635,58132,58102,57400,27541,29859
śląskie,247301,Rybnik,73,110713,60478,60475,59831,27340,32491
śląskie,247401,Siemianowice Śląskie,40,55783,29312,29309,28919,9880,19039
śląskie,247501,Sosnowiec,118,177308,95598,95585,94236,34175,60061
śląskie,247601,Świętochłowice,27,42004,19352,19348,19098,7325,11773
śląskie,247701,Tychy,67,103366,60465,60460,59788,24359,35429
śląskie,247801,Zabrze,90,143997,64704,64698,63860,23700,40160
śląskie,247901,Żory,32,47958,26062,26061,25762,11912,13850
świętokrzyskie,260100,buski,69,63223,31865,31861,31529,19387,12142
świętokrzyskie,260200,jędrzejowski,75,72802,36747,36745,36354,24265,12089
świętokrzyskie,260300,kazimierski,26,29955,12726,12701,12563,8276,4287
świętokrzyskie,260400,kielecki,165,160844,86989,86978,85997,59830,26167
świętokrzyskie,260500,konecki,66,70216,37557,37555,37059,23200,13859
świętokrzyskie,260600,opatowski,52,45581,21336,21333,21031,14541,6490
świętokrzyskie,260700,ostrowiecki,79,95426,46931,46930,46378,24293,22085
świętokrzyskie,260800,pińczowski,34,35077,16427,16427,16263,9655,6608
świętokrzyskie,260900,sandomierski,59,66616,33140,33135,32741,20113,12628
świętokrzyskie,261000,skarżyski,58,65838,35868,35865,35417,18664,16753
świętokrzyskie,261100,starachowicki,67,77241,41014,41007,40561,23238,17323
świętokrzyskie,261200,staszowski,59,60446,30802,30801,30529,21068,9461
świętokrzyskie,261300,włoszczowski,43,38433,20341,20341,20112,13937,6175
świętokrzyskie,266101,Kielce,96,164561,101046,100997,99730,44876,54854
warmińsko-mazurskie,280100,bartoszycki,37,50543,22316,22313,22067,8103,13964
warmińsko-mazurskie,280200,braniewski,35,34996,15221,15221,15039,5606,9433
warmińsko-mazurskie,280300,działdowski,52,52668,25638,25638,25365,12417,12948
warmińsko-mazurskie,280400,elbląski,42,45163,19027,19027,18778,7349,11429
warmińsko-mazurskie,280500,ełcki,52,68274,32317,32313,31912,13072,18840
warmińsko-mazurskie,280600,giżycki,41,49343,26281,26271,25916,8105,17811
warmińsko-mazurskie,280700,iławski,62,74270,36134,36129,35756,14951,20805
warmińsko-mazurskie,280800,kętrzyński,51,54464,24014,24013,23707,8267,15440
warmińsko-mazurskie,280900,lidzbarski,31,34336,15944,15939,15716,5734,9982
warmińsko-mazurskie,281000,mrągowski,34,44003,23062,23058,22772,7670,15102
warmińsko-mazurskie,281100,nidzicki,30,27123,12978,12977,12798,6011,6787
warmińsko-mazurskie,281200,nowomiejski,31,34402,16258,16245,16020,7998,8022
warmińsko-mazurskie,281300,olecki,28,27635,13014,13012,12861,5022,7839
warmińsko-mazurskie,281400,olsztyński,109,96211,46094,46088,45467,15343,30124
warmińsko-mazurskie,281500,ostródzki,78,85447,41045,41043,40601,14359,26242
warmińsko-mazurskie,281600,piski,43,49542,25554,25549,25238,10846,14392
warmińsko-mazurskie,281700,szczycieński,56,58952,29362,29354,28959,11911,17048
warmińsko-mazurskie,281800,gołdapski,22,22491,10004,10004,9890,3394,6496
warmińsko-mazurskie,281900,węgorzewski,20,20373,9605,9604,9514,3104,6410
warmińsko-mazurskie,286101,Elbląg,62,96912,51579,51565,50953,19004,31949
warmińsko-mazurskie,286201,Olsztyn,95,134564,82341,82313,81074,26798,54276
wielkopolskie,300100,chodzieski,34,37146,19790,19790,19561,5829,13732
wielkopolskie,300200,czarnkowsko-trzcianecki,65,68379,34570,34570,34157,11895,22262
wielkopolskie,300300,gnieźnieński,83,113422,60006,59988,59178,23931,35247
wielkopolskie,300400,gostyński,50,60079,28630,28627,28264,12734,15530
wielkopolskie,300500,grodziski,28,38216,18687,18680,18431,7694,10737
wielkopolskie,300600,jarociński,38,56191,28042,28040,27605,12927,14678
wielkopolskie,300700,kaliski,62,64372,31471,31469,31049,19847,11202
wielkopolskie,300800,kępiński,43,44025,23343,23341,23085,10752,12333
wielkopolskie,300900,kolski,61,71536,35982,35966,35534,22908,12626
wielkopolskie,301000,koniński,90,99440,50471,50462,49849,32612,17237
wielkopolskie,301100,kościański,52,62068,31646,31637,31144,12526,18618
wielkopolskie,301200,krotoszyński,44,60765,31061,31047,30609,14758,15851
wielkopolskie,301300,leszczyński,36,40625,20135,20133,19887,8085,11802
wielkopolskie,301400,międzychodzki,24,29303,14393,14389,14153,4373,9780
wielkopolskie,301500,nowotomyski,47,56465,29613,29609,29286,9959,19327
wielkopolskie,301600,obornicki,41,44633,23458,23455,23200,7811,15389
wielkopolskie,301700,ostrowski,98,127331,68528,68516,67702,32380,35322
wielkopolskie,301800,ostrzeszowski,50,43498,21566,21563,21257,10313,10944
wielkopolskie,301900,pilski,82,106556,57550,57540,56810,19955,36855
wielkopolskie,302000,pleszewski,52,49364,24283,24281,23920,11731,12189
wielkopolskie,302100,poznański,178,243166,146151,146091,144361,43891,100470
wielkopolskie,302200,rawicki,40,47429,22991,22989,22670,8300,14370
wielkopolskie,302300,słupecki,38,48171,23987,23980,23605,11988,11617
wielkopolskie,302400,szamotulski,50,69927,35449,35444,35042,11445,23597
wielkopolskie,302500,średzki,34,43462,22317,22301,21993,9068,12925
wielkopolskie,302600,śremski,39,46546,24115,24108,23779,9514,14265
wielkopolskie,302700,turecki,54,66658,35299,35295,34910,21953,12957
wielkopolskie,302800,wągrowiecki,43,53641,26458,26456,26097,9607,16490
wielkopolskie,302900,wolsztyński,37,43733,23390,23386,23081,8042,15039
wielkopolskie,303000,wrzesiński,49,59434,30511,30509,30147,13342,16805
wielkopolskie,303100,złotowski,45,54885,26420,26416,26158,8976,17182
wielkopolskie,306101,Kalisz,55,83977,48136,48126,47563,18272,29291
wielkopolskie,306201,Konin,46,63963,36735,36733,36231,16516,19715
wielkopolskie,306301,Leszno,34,50286,28273,28267,27924,8599,19325
wielkopolskie,306401,Poznań,298,431897,272947,272770,269384,74604,194780
zachodniopomorskie,320100,białogardzki,35,38536,17383,17383,17192,5356,11836
zachodniopomorskie,320200,choszczeński,33,40907,17089,17086,16888,6046,10842
zachodniopomorskie,320300,drawski,46,48077,22377,22375,22140,7117,15023
zachodniopomorskie,320400,goleniowski,48,64570,30548,30541,30141,9916,20225
zachodniopomorskie,320500,gryficki,41,61274,34764,34754,34443,10884,23559
zachodniopomorskie,320600,gryfiński,55,65785,30064,30057,29658,11435,18223
zachodniopomorskie,320700,kamieński,38,49735,28745,28736,28483,8904,19579
zachodniopomorskie,320800,kołobrzeski,49,76935,47593,47596,47133,15401,31732
zachodniopomorskie,320900,koszaliński,57,58689,31299,31294,30963,9812,21151
zachodniopomorskie,321000,myśliborski,48,53735,24752,24746,24502,8755,15747
zachodniopomorskie,321100,policki,36,51708,27816,27810,27433,9264,18169
zachodniopomorskie,321200,pyrzycki,28,32225,14421,14418,14222,6249,7973
zachodniopomorskie,321300,sławieński,43,53744,28076,28034,27781,9749,18032
zachodniopomorskie,321400,stargardzki,73,95220,46619,46617,46068,16216,29852
