TERYT,Powiat,Obwody,Uprawnieni,Karty wydane,Głosy oddane,Głosy nieważne,Głosy ważne,Dariusz Maciej GRABOWSKI,Piotr IKONOWICZ,Jarosław KALINOWSKI,Janusz KORWIN-MIKKE,Marian KRZAKLEWSKI,Aleksander KWAŚNIEWSKI,Andrzej LEPPER,Jan ŁOPUSZAŃSKI,Andrzej Marian OLECHOWSKI,Bogdan PAWŁOWSKI,Lech WAŁĘSA,Tadeusz Adam WILECKI
405,golubsko-dobrzyński,27,32867,18473,18471,192,18279,58,20,1996,121,1934,11119,1124,90,1638,16,136,27
406,grudziądzki,32,28063,15368,15365,122,15243,70,12,1384,86,1201,9825,1312,38,1192,3,106,14
407,inowrocławski,119,127272,82999,82977,803,82174,354,196,3742,747,6888,58546,2208,471,8294,65,528,135
408,lipnowski,48,49686,25035,25032,341,24691,97,45,2766,122,2470,14943,1181,79,2588,24,328,48
409,mogileński,36,35209,23004,23000,264,22736,62,34,2106,162,1530,15875,801,95,1906,16,124,25
410,nakielski,60,62245,39545,39534,381,39153,152,63,2036,357,3508,26499,1361,204,4559,27,334,53
411,radziejowski,41,33337,19381,19378,255,19123,64,71,2352,110,1446,12511,1223,53,1144,9,107,33
412,rypiński,32,33984,17425,17422,199,17223,65,38,1684,124,1987,10524,681,68,1858,18,155,21
413,sępoleński,30,30071,18951,18948,200,18748,76,22,1076,128,1818,12475,940,83,1926,14,160,30
414,świecki,69,73420,43098,43087,492,42595,219,70,2421,400,3958,27810,1856,207,5088,40,441,85
415,toruński,44,58473,31381,31360,374,30986,123,45,2390,308,3693,18745,1366,193,3732,17,334,40
416,tucholski,37,34310,22171,22173,247,21926,123,26,1497,201,2353,13581,997,206,2667,21,199,55
417,wąbrzeski,21,26226,14784,14779,147,14632,53,23,1232,96,1157,9576,875,50,1446,11,91,22
418,włocławski,71,65002,35315,35309,493,34816,121,69,3968,204,2613,22670,2274,144,2427,21,259,46
419,żniński,55,52712,34440,34434,373,34061,146,65,2495,242,2481,23534,1519,291,2968,27,242,51
461,Bydgoszcz,204,292721,197892,197810,1403,196407,1053,432,2637,3330,28940,119319,2271,1774,34135,149,2035,332
462,Grudziądz,52,78236,49282,49265,377,48888,191,88,636,524,4738,33766,894,238,7266,33,441,73
463,Toruń,115,158545,103361,103304,685,102619,510,213,1543,1801,16458,55489,1428,796,23017,77,1132,155
464,Włocławek,60,95511,62232,62181,567,61614,291,226,1054,736,6136,42277,1062,258,8881,59,559,75
601,bialski,104,87520,49902,49858,642,49216,208,143,9432,360,7643,21723,3867,450,4716,59,478,137
602,biłgorajski,93,78920,46975,46965,532,46433,246,85,11874,445,7933,16722,3406,430,4746,51,336,159
603,chełmski,84,57057,28715,28709,446,28263,120,59,4658,186,3347,14684,2692,122,2102,26,184,83
604,hrubieszowski,63,57322,31271,31262,329,30933,142,52,6567,196,4320,14806,2287,172,2079,25,218,69
605,janowski,36,37548,23024,23012,286,22726,78,27,7645,201,5449,5718,1465,209,1684,39,154,57
606,krasnostawski,89,62688,34986,34979,466,34513,162,65,8019,324,3925,15864,2754,154,2895,26,258,67
607,kraśnicki,83,78963,46310,46252,591,45661,215,113,9230,475,7362,19784,2617,313,5041,64,341,106
608,lubartowski,86,69124,40936,40924,606,40318,291,98,7943,439,5609,18334,2745,438,3971,57,316,77
609,lubelski,114,99868,55763,55737,727,55010,216,95,15753,577,7768,20086,4193,518,5270,47,359,128
610,łęczyński,47,40466,22691,22686,253,22433,124,38,3247,261,2855,11446,1611,209,2425,29,132,56
611,łukowski,86,81076,46720,46685,661,46024,238,93,9855,417,6236,20513,3516,375,4256,88,371,66
612,opolski,57,50097,27604,27593,407,27186,117,63,7738,279,2664,12013,1747,148,2122,31,213,51
613,parczewski,32,29306,17189,17178,213,16965,70,26,3745,123,2289,7788,1087,143,1542,19,95,38
614,puławski,87,93666,55568,55549,634,54915,428,161,6666,987,8535,25154,2393,738,9166,84,489,114
615,radzyński,48,47716,28275,28263,363,27900,154,40,7696,230,3880,10976,2034,316,2310,25,186,53
616,rycki,64,47308,28366,28341,343,27998,152,75,4726,294,2709,15136,1534,248,2817,44,203,60
617,świdnicki,52,56595,32453,32445,336,32109,239,97,3657,653,5386,14495,1700,407,5037,60,289,89
618,tomaszowski,93,70249,40093,40078,503,39575,161,67,10217,358,5509,17301,2677,307,2590,28,291,69
619,włodawski,44,32267,18507,18495,259,18236,117,40,2859,190,2519,9237,1143,125,1833,20,114,39
620,zamojski,110,85523,47742,47736,750,46986,187,74,12782,291,9058,16639,3629,453,3407,41,333,92
661,Biała Podlaska,26,42233,26624,26608,209,26399,167,107,1367,402,4677,13859,729,473,4209,44,303,62
662,Chełm,35,53344,32297,32288,258,32030,225,106,1300,484,4989,18441,898,178,4991,32,308,78
663,Lublin,190,272386,178843,178702,1526,177176,1335,596,6369,4431,38790,80527,2972,2902,36463,232,2039,520
664,Zamość,31,50778,32212,32192,291,31901,235,64,1965,506,6704,16008,752,446,4873,44,226,78
801,gorzowski,47,45794,26158,26141,279,25862,81,49,929,253,2703,17320,805,86,3380,14,207,35
802,krośnieński,46,43995,25773,25769,260,25509,107,66,544,249,2556,17906,643,51,3125,18,204,40
803,międzyrzecki,48,45023,27427,27420,222,27198,124,49,890,283,2651,19257,707,61,2951,17,171,37
804,nowosolski,80,94049,56978,56950,521,56429,285,86,1900,614,7131,36624,1510,198,7522,37,451,71
805,słubicki,26,34149,20124,20115,202,19913,85,36,475,198,2061,13666,540,62,2643,11,113,23
806,strzelecko-drezdenecki,35,37968,22202,22192,185,22007,68,29,778,170,1906,15971,686,53,2144,13,160,29
807,sulęciński,33,27062,15565,15557,177,15380,72,20,611,137,1953,9992,488,44,1856,8,150,49
808,świebodziński,34,41719,26044,26025,259,25766,90,42,856,315,3261,16668,588,105,3607,21,188,25
809,zielonogórski,55,63189,37929,37916,386,37530,154,54,1051,453,4128,25169,883,139,5145,22,292,40
810,żagański,54,63720,37455,37444,359,37085,171,74,1298,314,4090,25467,995,118,4149,41,314,54
811,żarski,61,76118,44429,44416,458,43958,187,73,825,423,4948,30221,1071,129,5552,41,411,77
861,Gorzów Wielkopolski,63,96402,62162,62145,497,61648,269,146,948,972,8964,37525,882,297,10927,46,594,78
862,Zielona Góra,56,90241,61124,61077,418,60659,299,163,838,1151,8410,36322,789,206,11833,47,538,63
1001,bełchatowski,64,82636,50192,50166,783,49383,308,224,3160,791,5461,29087,2561,581,6454,68,491,197
1002,kutnowski,78,85697,52158,52140,545,51595,226,141,5584,514,4936,32134,2737,257,4584,64,331,87
1003,łaski,39,39668,22491,22487,261,22226,148,68,1980,324,2554,12587,1628,234,2483,31,158,31
1004,łęczycki,47,43797,24885,24873,346,24527,102,54,3642,173,2354,13317,2747,107,1839,14,136,42
1005,łowicki,64,65457,39835,39796,486,39310,163,59,9575,342,3667,18870,1831,461,3940,45,307,50
1006,łódzki wschodni,72,71028,41100,41092,592,40500,199,96,3778,685,6942,19363,2339,375,6160,52,424,87
1007,opoczyński,68,60091,35849,35838,540,35298,190,94,6683,398,5240,16076,2314,486,3224,43,393,157
1008,pabianicki,67,95432,59807,59752,577,59175,324,210,1955,1203,8492,32867,1925,736,10578,95,663,127
1009,pajęczański,37,41654,24317,24311,314,23997,99,45,2158,252,2360,14791,1640,120,2337,18,127,50
1010,piotrkowski,74,68659,37358,37342,568,36774,195,87,7474,372,4915,15589,3794,294,3528,62,307,157
1011,poddębicki,50,34355,19603,19600,343,19257,55,44,2977,133,1697,10633,2054,83,1398,27,125,31
1012,radomszczański,84,93973,54788,54761,772,53989,232,194,4774,533,5256,32954,2767,310,6290,58,466,155
1013,rawski,30,38600,20823,20816,253,20563,79,46,4304,168,1933,9945,1480,151,2219,27,167,44
1014,sieradzki,94,94019,58998,58979,743,58236,259,155,8576,579,6514,31650,3719,346,5851,64,411,112
1015,skierniewicki,36,29499,17541,17537,246,17291,66,27,5103,148,1445,7819,1130,163,1252,17,95,26
1016,tomaszowski,82,96616,56629,56616,929,55687,311,203,5418,713,8536,29345,2167,326,7780,71,587,230
1017,wieluński,77,61079,39039,39033,468,38565,145,79,4604,415,3245,23363,2172,191,4050,33,234,34
1018,wieruszowski,31,32475,20338,20326,216,20110,83,32,2622,182,2118,11859,1099,134,1827,20,108,26
1019,zduńskowolski,40,51843,33183,33175,354,32821,171,69,1692,490,4250,19694,1158,233,4689,42,274,59
1020,zgierski,98,125488,75665,75646,878,74768,371,204,3362,1152,10139,43259,3093,567,11705,95,674,147
1061,Łódź,389,640015,413246,412883,3783,409100,2017,1304,4726,10212,56257,240412,6218,3073,79665,525,4022,669
1062,Piotrków Trybunalski,39,63427,39361,39338,390,38948,323,153,1196,892,5874,22011,954,426,6439,66,435,179
1063,Skierniewice,24,36868,24000,23985,151,23834,150,67,898,414,2223,14817,374,560,4059,35,191,46
1201,bocheński,68,70399,43324,43310,647,42663,247,76,4319,563,9252,16503,1188,442,9444,33,536,60
1202,brzeski,64,64214,38794,38772,730,38042,145,57,3543,361,9294,13647,1335,297,8747,25,532,59
