TERYT,Powiat,Województwo,L. obw.,Liczba wyborców uprawnionych do głosowania,Komisja otrzymała kart do głosowania,Nie wykorzystano kart do głosowania,"Liczba wyborców, którym wydano karty do głosowania",Liczba wyborców głosujących przez pełnomocnika,Liczba wyborców głosujących na podstawie zaświadczenia,"Liczba wyborców, którym wysłano pakiety wyborcze",Liczba otrzymanych kopert zwrotnych,w których nie było oświadczenia,w których oświadczenie nie było podpisane,w których nie było koperty na kartę do głosowania,w których znajdowała się niezaklejona koperta,Liczba kopert na kartę do głosowania wrzuconych do urny,Liczba kart wyjętych z urny,w tym liczba kart wyjętych z kopert,Liczba kart nieważnych,Liczba kart ważnych,Liczba głosów nieważnych,Liczba głosów ważnych,Duda Andrzej Sebastian,Komorowski Bronisław Maria
1413,mławski,mazowieckie,60,58526,50607,20563,30044,22,273,21,20,-,-,-,-,20,30064,20,1,30063,351,29712,18420,11292
1414,nowodworski,mazowieckie,52,63010,53854,18346,35498,34,512,4,4,-,-,-,-,4,35499,4,-,35499,518,34981,19076,15905
1415,ostrołęcki,mazowieckie,90,69706,59518,23548,35969,17,275,4,4,-,-,-,-,4,35972,4,-,35972,395,35577,25456,10121
1416,ostrowski,mazowieckie,72,59700,50512,17380,33132,32,335,12,12,-,-,-,-,12,33142,12,-,33142,362,32780,23703,9077
1417,otwocki,mazowieckie,83,96573,82427,19442,62985,27,854,45,43,-,-,-,-,43,63025,43,7,63018,928,62090,35517,26573
1418,piaseczyński,mazowieckie,112,130932,111096,25146,85959,31,1842,115,113,2,2,-,-,109,86058,109,8,86050,1293,84757,38936,45821
1419,płocki,mazowieckie,109,88070,75823,31177,44646,24,335,17,17,2,-,-,-,15,44661,15,-,44661,612,44049,29716,14333
1420,płoński,mazowieckie,74,71214,61780,27082,34698,23,486,5,5,-,-,-,-,5,34701,5,-,34701,422,34279,21544,12735
1421,pruszkowski,mazowieckie,85,123504,105670,23028,82642,46,1277,78,71,2,-,-,-,69,82704,69,10,82694,1245,81449,38421,43028
1422,przasnyski,mazowieckie,61,42206,36365,14796,21569,13,269,4,4,-,-,-,-,4,21571,4,-,21571,247,21324,14425,6899
