country,country_code,nutslevel,nuts2016,regionname,type,year,party_abbreviation,party_english,party_native,partyfacts_id,partyvote,electorate,totalvote,validvote
Spain,ES,3,ES211,Alava,EP,1999,IU-EUIA,UNITED LEFT,IZQUIERDA UNIDA,247,6493,243813,155836,154341
Spain,ES,3,ES211,Alava,EP,1999,OTHER,NA,NA,NA,2371,243813,155836,154341
Spain,ES,3,ES211,Alava,EP,1999,PP,PEOPLE'S ALLIANCE-PARTY / PEOPLE'S PARTY,ALIANZA-PARTIDO POPULAR / PARTIDO POPULAR,441,48831,243813,155836,154341
Spain,ES,3,ES211,Alava,EP,1999,PSOE,SPANISH SOCIALIST WORKERS PARTY,PARTIDO SOCIALISTA OBRERO ESPANOL,1338,31476,243813,155836,154341
Spain,ES,3,ES211,Alava,EP,1999,VERDES,EUROPE OF THE PEOPLE - THE GREENS,EUROPA DE LOS PUEBLOS - VERDES,1643,685,243813,155836,154341
Spain,ES,3,ES212,Guipuzcoa,EP,1999,BNG,GALICIAN NATIONALIST BLOCK,BLOQUE NACIONALISTA GALEGO,1011,248,583973,383977,381340
Spain,ES,3,ES212,Guipuzcoa,EP,1999,CE,UNITED NATIONAL MOVEMENT,ERTIANI NATSIONALURI MODZRAOBA,2172,52,583973,383977,381340
Spain,ES,3,ES212,Guipuzcoa,EP,1999,CIU,CONVERGENCE AND UNITY,CONVERGENCIA I UNIO,139,95,583973,383977,381340
Spain,ES,3,ES212,Guipuzcoa,EP,1999,CN+EP,NA,NA,NA,127455,583973,383977,381340
Spain,ES,3,ES212,Guipuzcoa,EP,1999,HB,UNITED PEOPLE,HERRI BATASUNA,473,104407,583973,383977,381340
Spain,ES,3,ES212,Guipuzcoa,EP,1999,IU-EUIA,UNITED LEFT,IZQUIERDA UNIDA,247,11507,583973,383977,381340
Spain,ES,3,ES212,Guipuzcoa,EP,1999,OTHER,NA,NA,NA,3398,583973,383977,381340
