,index,election_date,election_type,harmonised_code,harmonised_name,type,name,party_name,votes,nuts3_code,nuts3_name
7647,3,2000-11-26,house,RO423,Hunedoara,2,PD,Partidul Democrat,20165,RO423,Hunedoara
7648,4,2000-11-26,house,RO423,Hunedoara,2,UDMR,UNIUNEA DEMOCRATA MAGHIARA DIN ROMANIA,11803,RO423,Hunedoara
7649,5,2000-11-26,house,RO423,Hunedoara,2,ApR,Alianța pentru România,11548,RO423,Hunedoara
7650,6,2000-11-26,house,RO423,Hunedoara,2,CDR,CONVENTIA DEMOCRATA ROMANA 2000,9374,RO423,Hunedoara
7651,7,2000-11-26,house,RO423,Hunedoara,2,PMR,,5602,RO423,Hunedoara
7652,8,2000-11-26,house,RO423,Hunedoara,2,PUNR,,4620,RO423,Hunedoara
7653,9,2000-11-26,house,RO423,Hunedoara,2,ECOLOGISTII,Partidul Ecologist Român,3646,RO423,Hunedoara
7654,10,2000-11-26,house,RO423,Hunedoara,2,PSAP,,3621,RO423,Hunedoara
7655,11,2000-11-26,house,RO423,Hunedoara,2,PSM,Partidul Socialist al Muncii,3258,RO423,Hunedoara
7656,12,2000-11-26,house,RO423,Hunedoara,2,PPU,,2953,RO423,Hunedoara
7657,13,2000-11-26,house,RO423,Hunedoara,2,PLDR,,2294,RO423,Hunedoara
7658,14,2000-11-26,house,RO423,Hunedoara,2,P ROMII,,1999,RO423,Hunedoara
7659,15,2000-11-26,house,RO423,Hunedoara,2,PNL,,1731,RO423,Hunedoara
7660,16,2000-11-26,house,RO423,Hunedoara,2,AMSR,,1479,RO423,Hunedoara
7661,17,2000-11-26,house,RO423,Hunedoara,2,U - ARMENI,,1354,RO423,Hunedoara
7662,18,2000-11-26,house,RO423,Hunedoara,2,PVR,,1196,RO423,Hunedoara
7663,19,2000-11-26,house,RO423,Hunedoara,2,U - CROATI,,1038,RO423,Hunedoara
7664,20,2000-11-26,house,RO423,Hunedoara,2,PNDC,,1015,RO423,Hunedoara
7665,21,2000-11-26,house,RO423,Hunedoara,2,PSDCTP,,710,RO423,Hunedoara
7666,22,2000-11-26,house,RO423,Hunedoara,2,PNG,Partidul Noua Generație,534,RO423,Hunedoara
7667,23,2000-11-26,house,RO423,Hunedoara,2,PRO,,531,RO423,Hunedoara
7668,24,2000-11-26,house,RO423,Hunedoara,2,UBBR,,435,RO423,Hunedoara
7669,25,2000-11-26,house,RO423,Hunedoara,2,C ITRO - IS2,,395,RO423,Hunedoara
7670,26,2000-11-26,house,RO423,Hunedoara,2,L C- ITALIENI,,376,RO423,Hunedoara
7671,27,2000-11-26,house,RO423,Hunedoara,2,G2K,,349,RO423,Hunedoara
7672,28,2000-11-26,house,RO423,Hunedoara,2,PLRSD,,345,RO423,Hunedoara
7673,29,2000-11-26,house,RO423,Hunedoara,2,PUPPD,,323,RO423,Hunedoara
7674,30,2000-11-26,house,RO423,Hunedoara,2,PMP,,305,RO423,Hunedoara
7675,31,2000-11-26,house,RO423,Hunedoara,2,U - RUTENI,,207,RO423,Hunedoara
7676,32,2000-11-26,house,RO423,Hunedoara,2,U - ELENA,,199,RO423,Hunedoara
7677,33,2000-11-26,house,RO423,Hunedoara,2,UCAR,,194,RO423,Hunedoara
7678,0,2009-11-22,president_b,RO123,Covasna,0,eligible_voters,eligible_voters,186478,RO123,Covasna
7679,1,2009-11-22,president_b,RO123,Covasna,1,issued_ballots,issued_ballots,69921,RO123,Covasna
7680,0,2009-11-22,president_b,RO123,Covasna,2,Traian Basescu,PDL,40917,RO123,Covasna
7681,1,2009-11-22,president_b,RO123,Covasna,2,PSD,,27520,RO123,Covasna
7682,0,2008-11-30,house,RO315,Ialomita,0,eligible_voters,eligible_voters,246087,RO315,Ialomiţa
7683,1,2008-11-30,house,RO315,Ialomita,1,issued_ballots,issued_ballots,91239,RO315,Ialomiţa
