"DATA_ELEZIONE";"TIPO_ELEZIONE";"CIRCOSCRIZIONE";"REGIONE";"PROVINCIA";"COMUNE";"ELETTORI";"ELETTORI_MASCHI";"VOTANTI";"VOTANTI_MASCHI";"SCHEDEBIANCHE";"LISTA";"VOTI_LISTA"
26/5/2019 00:00:00;"E";"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALLUVIONI PIOVERA";1781;847;863;450;12;"+EUROPA - ITALIA IN COMUNE - PDE ITALIA";18
26/5/2019 00:00:00;"E";"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALLUVIONI PIOVERA";1781;847;863;450;12;"EUROPA VERDE";10
26/5/2019 00:00:00;"E";"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALLUVIONI PIOVERA";1781;847;863;450;12;"PARTITO PIRATA";2
26/5/2019 00:00:00;"E";"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALLUVIONI PIOVERA";1781;847;863;450;12;"MOVIMENTO 5 STELLE";108
26/5/2019 00:00:00;"E";"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALLUVIONI PIOVERA";1781;847;863;450;12;"FRATELLI D'ITALIA";39
26/5/2019 00:00:00;"E";"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALLUVIONI PIOVERA";1781;847;863;450;12;"FORZA ITALIA";99
26/5/2019 00:00:00;"E";"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALLUVIONI PIOVERA";1781;847;863;450;12;"PARTITO ANIMALISTA";3
26/5/2019 00:00:00;"E";"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALLUVIONI PIOVERA";1781;847;863;450;12;"FORZA NUOVA";0
26/5/2019 00:00:00;"E";"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALLUVIONI PIOVERA";1781;847;863;450;12;"CASAPOUND ITALIA - DESTRE UNITE";1
26/5/2019 00:00:00;"E";"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALTAVILLA MONFERRATO";430;225;260;138;9;"LEGA SALVINI PREMIER";134
26/5/2019 00:00:00;"E";"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALTAVILLA MONFERRATO";430;225;260;138;9;"CASAPOUND ITALIA - DESTRE UNITE";3
26/5/2019 00:00:00;"E";"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALTAVILLA MONFERRATO";430;225;260;138;9;"POPOLARI PER L'ITALIA";0
26/5/2019 00:00:00;"E";"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALTAVILLA MONFERRATO";430;225;260;138;9;"PARTITO DEMOCRATICO";42
26/5/2019 00:00:00;"E";"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALTAVILLA MONFERRATO";430;225;260;138;9;"PARTITO COMUNISTA";3
26/5/2019 00:00:00;"E";"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALTAVILLA MONFERRATO";430;225;260;138;9;"POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE";0
26/5/2019 00:00:00;"E";"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALTAVILLA MONFERRATO";430;225;260;138;9;"LA SINISTRA";1
26/5/2019 00:00:00;"E";"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALTAVILLA MONFERRATO";430;225;260;138;9;"+EUROPA - ITALIA IN COMUNE - PDE ITALIA";5
26/5/2019 00:00:00;"E";"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALTAVILLA MONFERRATO";430;225;260;138;9;"EUROPA VERDE";3
26/5/2019 00:00:00;"E";"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALTAVILLA MONFERRATO";430;225;260;138;9;"MOVIMENTO 5 STELLE";19
26/5/2019 00:00:00;"E";"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALTAVILLA MONFERRATO";430;225;260;138;9;"PARTITO PIRATA";1
26/5/2019 00:00:00;"E";"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALTAVILLA MONFERRATO";430;225;260;138;9;"FRATELLI D'ITALIA";14
26/5/2019 00:00:00;"E";"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALTAVILLA MONFERRATO";430;225;260;138;9;"FORZA ITALIA";19
26/5/2019 00:00:00;"E";"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALTAVILLA MONFERRATO";430;225;260;138;9;"PARTITO ANIMALISTA";0
26/5/2019 00:00:00;"E";"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALTAVILLA MONFERRATO";430;225;260;138;9;"AUTONOMIE PER L'EUROPA";0
26/5/2019 00:00:00;"E";"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALTAVILLA MONFERRATO";430;225;260;138;9;"FORZA NUOVA";0
26/5/2019 00:00:00;"E";"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALZANO SCRIVIA";294;158;225;122;12;"CASAPOUND ITALIA - DESTRE UNITE";1
26/5/2019 00:00:00;"E";"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALZANO SCRIVIA";294;158;225;122;12;"EUROPA VERDE";0
26/5/2019 00:00:00;"E";"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALZANO SCRIVIA";294;158;225;122;12;"AUTONOMIE PER L'EUROPA";0
26/5/2019 00:00:00;"E";"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALZANO SCRIVIA";294;158;225;122;12;"PARTITO DEMOCRATICO";20
26/5/2019 00:00:00;"E";"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALZANO SCRIVIA";294;158;225;122;12;"PARTITO ANIMALISTA";1
26/5/2019 00:00:00;"E";"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALZANO SCRIVIA";294;158;225;122;12;"LA SINISTRA";0
26/5/2019 00:00:00;"E";"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALZANO SCRIVIA";294;158;225;122;12;"FORZA ITALIA";28
26/5/2019 00:00:00;"E";"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALZANO SCRIVIA";294;158;225;122;12;"FRATELLI D'ITALIA";19
26/5/2019 00:00:00;"E";"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALZANO SCRIVIA";294;158;225;122;12;"POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE";0
26/5/2019 00:00:00;"E";"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALZANO SCRIVIA";294;158;225;122;12;"PARTITO PIRATA";0
