"CIRCOSCRIZIONE";"REGIONE";"PROVINCIA";"COMUNE";"ELETTORI";"ELETTORI_MASCHI";"VOTANTI";"VOTANTI_MASCHI";"SCHEDE_BIANCHE";"LISTA";"VOTI_LISTA"
"IV : ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"ORTUCCHIO";1582;767;1099;560;43;"IO CAMBIO - MAIE";"1"
"IV : ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"ORTUCCHIO";1582;767;1099;560;43;"ITALIA DEI VALORI";"24"
"IV : ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"ORTUCCHIO";1582;767;1099;560;43;"FRATELLI D'ITALIA - ALLEANZA NAZIONALE";"30"
"IV : ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"ORTUCCHIO";1582;767;1099;560;43;"VERDI EUROPEI-GREEN ITALIA";"2"
"IV : ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"ORTUCCHIO";1582;767;1099;560;43;"LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO";"18"
"IV : ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"ORTUCCHIO";1582;767;1099;560;43;"MOVIMENTO 5 STELLE BEPPEGRILLO.IT";"233"
"IV : ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"ORTUCCHIO";1582;767;1099;560;43;"L'ALTRA EUROPA CON TSIPRAS";"39"
"IV : ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"OVINDOLI";1453;775;679;370;28;"LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO";"21"
"IV : ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"OVINDOLI";1453;775;679;370;28;"NUOVO CENTRO DESTRA - UDC";"41"
"IV : ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"OVINDOLI";1453;775;679;370;28;"FORZA ITALIA";"127"
"IV : ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"OVINDOLI";1453;775;679;370;28;"PARTITO DEMOCRATICO";"161"
"IV : ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"OVINDOLI";1453;775;679;370;28;"IO CAMBIO - MAIE";"1"
"IV : ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"OVINDOLI";1453;775;679;370;28;"SCELTA EUROPEA";"2"
"IV : ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"OVINDOLI";1453;775;679;370;28;"ITALIA DEI VALORI";"4"
"IV : ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"OVINDOLI";1453;775;679;370;28;"FRATELLI D'ITALIA - ALLEANZA NAZIONALE";"51"
"IV : ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"OVINDOLI";1453;775;679;370;28;"MOVIMENTO 5 STELLE BEPPEGRILLO.IT";"192"
"IV : ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"OVINDOLI";1453;775;679;370;28;"L'ALTRA EUROPA CON TSIPRAS";"6"
"IV : ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"OVINDOLI";1453;775;679;370;28;"VERDI EUROPEI-GREEN ITALIA";"1"
"IV : ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"PACENTRO";1735;847;921;452;125;"PARTITO DEMOCRATICO";"212"
"IV : ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"PACENTRO";1735;847;921;452;125;"MOVIMENTO 5 STELLE BEPPEGRILLO.IT";"201"
"IV : ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"PACENTRO";1735;847;921;452;125;"NUOVO CENTRO DESTRA - UDC";"25"
"IV : ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"PACENTRO";1735;847;921;452;125;"FORZA ITALIA";"194"
"IV : ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"PACENTRO";1735;847;921;452;125;"VERDI EUROPEI-GREEN ITALIA";"4"
"IV : ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"PACENTRO";1735;847;921;452;125;"L'ALTRA EUROPA CON TSIPRAS";"39"
"IV : ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"PACENTRO";1735;847;921;452;125;"SCELTA EUROPEA";"3"
"IV : ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"PACENTRO";1735;847;921;452;125;"FRATELLI D'ITALIA - ALLEANZA NAZIONALE";"71"
"IV : ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"PACENTRO";1735;847;921;452;125;"ITALIA DEI VALORI";"11"
"IV : ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"PACENTRO";1735;847;921;452;125;"IO CAMBIO - MAIE";"2"
"IV : ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"PACENTRO";1735;847;921;452;125;"LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO";"13"
"IV : ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"PERETO";611;309;396;198;17;"PARTITO DEMOCRATICO";"170"
"IV : ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"PERETO";611;309;396;198;17;"FORZA ITALIA";"61"
"IV : ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"PERETO";611;309;396;198;17;"NUOVO CENTRO DESTRA - UDC";"2"
"IV : ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"PERETO";611;309;396;198;17;"IO CAMBIO - MAIE";"0"
"IV : ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"PERETO";611;309;396;198;17;"LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO";"6"
"IV : ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"PERETO";611;309;396;198;17;"FRATELLI D'ITALIA - ALLEANZA NAZIONALE";"23"
"IV : ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"PERETO";611;309;396;198;17;"VERDI EUROPEI-GREEN ITALIA";"2"
"IV : ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"PERETO";611;309;396;198;17;"MOVIMENTO 5 STELLE BEPPEGRILLO.IT";"79"
"IV : ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"PERETO";611;309;396;198;17;"ITALIA DEI VALORI";"2"
"IV : ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"PERETO";611;309;396;198;17;"SCELTA EUROPEA";"0"
"IV : ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"PERETO";611;309;396;198;17;"L'ALTRA EUROPA CON TSIPRAS";"8"
"IV : ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"PESCASSEROLI";1843;888;1105;569;29;"PARTITO DEMOCRATICO";"345"
"IV : ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"PESCASSEROLI";1843;888;1105;569;29;"LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO";"10"
"IV : ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"PESCASSEROLI";1843;888;1105;569;29;"ITALIA DEI VALORI";"7"
"IV : ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"PESCASSEROLI";1843;888;1105;569;29;"SCELTA EUROPEA";"7"
"IV : ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"PESCASSEROLI";1843;888;1105;569;29;"IO CAMBIO - MAIE";"3"
"IV : ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"PESCASSEROLI";1843;888;1105;569;29;"L'ALTRA EUROPA CON TSIPRAS";"104"
"IV : ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"PESCASSEROLI";1843;888;1105;569;29;"MOVIMENTO 5 STELLE BEPPEGRILLO.IT";"148"
"IV : ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"PESCASSEROLI";1843;888;1105;569;29;"FRATELLI D'ITALIA - ALLEANZA NAZIONALE";"31"
"IV : ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"PESCASSEROLI";1843;888;1105;569;29;"NUOVO CENTRO DESTRA - UDC";"154"
"IV : ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"PESCASSEROLI";1843;888;1105;569;29;"FORZA ITALIA";"183"
"IV : ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"PESCASSEROLI";1843;888;1105;569;29;"VERDI EUROPEI-GREEN ITALIA";"4"
"IV : ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"PESCINA";3604;1726;2475;1231;130;"LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO";"58"
"IV : ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"PESCINA";3604;1726;2475;1231;130;"NUOVO CENTRO DESTRA - UDC";"203"
"IV : ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"PESCINA";3604;1726;2475;1231;130;"FORZA ITALIA";"353"
"IV : ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"PESCINA";3604;1726;2475;1231;130;"PARTITO DEMOCRATICO";"655"
"IV : ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"PESCINA";3604;1726;2475;1231;130;"IO CAMBIO - MAIE";"4"
"IV : ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"PESCINA";3604;1726;2475;1231;130;"SCELTA EUROPEA";"22"
"IV : ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"PESCINA";3604;1726;2475;1231;130;"VERDI EUROPEI-GREEN ITALIA";"11"
"IV : ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"PESCINA";3604;1726;2475;1231;130;"ITALIA DEI VALORI";"24"
"IV : ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"PESCINA";3604;1726;2475;1231;130;"FRATELLI D'ITALIA - ALLEANZA NAZIONALE";"97"
"IV : ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"PESCINA";3604;1726;2475;1231;130;"MOVIMENTO 5 STELLE BEPPEGRILLO.IT";"659"
"IV : ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"PESCINA";3604;1726;2475;1231;130;"L'ALTRA EUROPA CON TSIPRAS";"96"
"IV : ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"PESCOCOSTANZO";1155;573;589;310;21;"FRATELLI D'ITALIA - ALLEANZA NAZIONALE";"34"
"IV : ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"PESCOCOSTANZO";1155;573;589;310;21;"MOVIMENTO 5 STELLE BEPPEGRILLO.IT";"108"
"IV : ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"PESCOCOSTANZO";1155;573;589;310;21;"NUOVO CENTRO DESTRA - UDC";"9"
"IV : ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"PESCOCOSTANZO";1155;573;589;310;21;"FORZA ITALIA";"164"
"IV : ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"PESCOCOSTANZO";1155;573;589;310;21;"IO CAMBIO - MAIE";"0"
"IV : ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"PESCOCOSTANZO";1155;573;589;310;21;"SCELTA EUROPEA";"0"
"IV : ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"PESCOCOSTANZO";1155;573;589;310;21;"VERDI EUROPEI-GREEN ITALIA";"1"
"IV : ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"PESCOCOSTANZO";1155;573;589;310;21;"PARTITO DEMOCRATICO";"182"
"IV : ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"PESCOCOSTANZO";1155;573;589;310;21;"L'ALTRA EUROPA CON TSIPRAS";"28"
"IV : ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"PESCOCOSTANZO";1155;573;589;310;21;"ITALIA DEI VALORI";"20"
"IV : ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"PESCOCOSTANZO";1155;573;589;310;21;"LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO";"7"
"IV : ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"PETTORANO SUL GIZIO";1738;863;674;362;24;"LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO";"3"
"IV : ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"PETTORANO SUL GIZIO";1738;863;674;362;24;"ITALIA DEI VALORI";"5"
"IV : ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"PETTORANO SUL GIZIO";1738;863;674;362;24;"PARTITO DEMOCRATICO";"240"
"IV : ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"PETTORANO SUL GIZIO";1738;863;674;362;24;"SCELTA EUROPEA";"0"
"IV : ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"PETTORANO SUL GIZIO";1738;863;674;362;24;"IO CAMBIO - MAIE";"1"
"IV : ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"PETTORANO SUL GIZIO";1738;863;674;362;24;"L'ALTRA EUROPA CON TSIPRAS";"25"
"IV : ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"PETTORANO SUL GIZIO";1738;863;674;362;24;"MOVIMENTO 5 STELLE BEPPEGRILLO.IT";"165"
"IV : ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"PETTORANO SUL GIZIO";1738;863;674;362;24;"FORZA ITALIA";"111"
"IV : ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"PETTORANO SUL GIZIO";1738;863;674;362;24;"NUOVO CENTRO DESTRA - UDC";"9"
"IV : ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"PETTORANO SUL GIZIO";1738;863;674;362;24;"VERDI EUROPEI-GREEN ITALIA";"2"
"IV : ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"PETTORANO SUL GIZIO";1738;863;674;362;24;"FRATELLI D'ITALIA - ALLEANZA NAZIONALE";"25"
"IV : ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"PIZZOLI";2918;1453;1998;1020;74;"LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO";"34"
"IV : ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"PIZZOLI";2918;1453;1998;1020;74;"MOVIMENTO 5 STELLE BEPPEGRILLO.IT";"475"
"IV : ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"PIZZOLI";2918;1453;1998;1020;74;"ITALIA DEI VALORI";"22"
"IV : ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"PIZZOLI";2918;1453;1998;1020;74;"PARTITO DEMOCRATICO";"666"
"IV : ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"PIZZOLI";2918;1453;1998;1020;74;"IO CAMBIO - MAIE";"4"
"IV : ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"PIZZOLI";2918;1453;1998;1020;74;"SCELTA EUROPEA";"7"
"IV : ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"PIZZOLI";2918;1453;1998;1020;74;"FORZA ITALIA";"381"
"IV : ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"PIZZOLI";2918;1453;1998;1020;74;"NUOVO CENTRO DESTRA - UDC";"42"
"IV : ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"PIZZOLI";2918;1453;1998;1020;74;"VERDI EUROPEI-GREEN ITALIA";"4"
"IV : ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"PIZZOLI";2918;1453;1998;1020;74;"L'ALTRA EUROPA CON TSIPRAS";"65"
"IV : ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"PIZZOLI";2918;1453;1998;1020;74;"FRATELLI D'ITALIA - ALLEANZA NAZIONALE";"87"
"IV : ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"POGGIO PICENZE";772;372;523;263;13;"PARTITO DEMOCRATICO";"182"
"IV : ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"POGGIO PICENZE";772;372;523;263;13;"NUOVO CENTRO DESTRA - UDC";"25"
"IV : ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"POGGIO PICENZE";772;372;523;263;13;"FORZA ITALIA";"98"
"IV : ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"POGGIO PICENZE";772;372;523;263;13;"LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO";"6"
"IV : ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"POGGIO PICENZE";772;372;523;263;13;"FRATELLI D'ITALIA - ALLEANZA NAZIONALE";"27"
"IV : ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"POGGIO PICENZE";772;372;523;263;13;"MOVIMENTO 5 STELLE BEPPEGRILLO.IT";"117"
"IV : ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"POGGIO PICENZE";772;372;523;263;13;"VERDI EUROPEI-GREEN ITALIA";"0"
"IV : ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"POGGIO PICENZE";772;372;523;263;13;"ITALIA DEI VALORI";"2"
"IV : ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"POGGIO PICENZE";772;372;523;263;13;"SCELTA EUROPEA";"4"
"IV : ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"POGGIO PICENZE";772;372;523;263;13;"IO CAMBIO - MAIE";"0"
"IV : ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"POGGIO PICENZE";772;372;523;263;13;"L'ALTRA EUROPA CON TSIPRAS";"19"
"IV : ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"PRATA D'ANSIDONIA";488;247;282;150;11;"PARTITO DEMOCRATICO";"138"
"IV : ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"PRATA D'ANSIDONIA";488;247;282;150;11;"MOVIMENTO 5 STELLE BEPPEGRILLO.IT";"52"
"IV : ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"PRATA D'ANSIDONIA";488;247;282;150;11;"L'ALTRA EUROPA CON TSIPRAS";"4"
"IV : ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"PRATA D'ANSIDONIA";488;247;282;150;11;"FORZA ITALIA";"30"
"IV : ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"PRATA D'ANSIDONIA";488;247;282;150;11;"NUOVO CENTRO DESTRA - UDC";"11"
"IV : ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"PRATA D'ANSIDONIA";488;247;282;150;11;"VERDI EUROPEI-GREEN ITALIA";"0"
"IV : ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"PRATA D'ANSIDONIA";488;247;282;150;11;"FRATELLI D'ITALIA - ALLEANZA NAZIONALE";"16"
"IV : ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"PRATA D'ANSIDONIA";488;247;282;150;11;"ITALIA DEI VALORI";"2"
"IV : ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"PRATA D'ANSIDONIA";488;247;282;150;11;"SCELTA EUROPEA";"4"
"IV : ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"PRATA D'ANSIDONIA";488;247;282;150;11;"IO CAMBIO - MAIE";"0"
"IV : ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"PRATA D'ANSIDONIA";488;247;282;150;11;"LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO";"1"
"IV : ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"PRATOLA PELIGNA";7480;3697;4212;2164;145;"NUOVO CENTRO DESTRA - UDC";"181"
"IV : ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"PRATOLA PELIGNA";7480;3697;4212;2164;145;"FORZA ITALIA";"865"
"IV : ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"PRATOLA PELIGNA";7480;3697;4212;2164;145;"PARTITO DEMOCRATICO";"1147"
"IV : ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"PRATOLA PELIGNA";7480;3697;4212;2164;145;"IO CAMBIO - MAIE";"7"
"IV : ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"PRATOLA PELIGNA";7480;3697;4212;2164;145;"SCELTA EUROPEA";"20"
"IV : ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"PRATOLA PELIGNA";7480;3697;4212;2164;145;"ITALIA DEI VALORI";"68"
"IV : ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"PRATOLA PELIGNA";7480;3697;4212;2164;145;"FRATELLI D'ITALIA - ALLEANZA NAZIONALE";"251"
"IV : ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"PRATOLA PELIGNA";7480;3697;4212;2164;145;"LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO";"56"
"IV : ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"PRATOLA PELIGNA";7480;3697;4212;2164;145;"MOVIMENTO 5 STELLE BEPPEGRILLO.IT";"1136"
"IV : ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"PRATOLA PELIGNA";7480;3697;4212;2164;145;"L'ALTRA EUROPA CON TSIPRAS";"119"
"IV : ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"PRATOLA PELIGNA";7480;3697;4212;2164;145;"VERDI EUROPEI-GREEN ITALIA";"12"
"IV : ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"PREZZA";1192;591;611;299;68;"FORZA ITALIA";"118"
"IV : ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"PREZZA";1192;591;611;299;68;"NUOVO CENTRO DESTRA - UDC";"54"
"IV : ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"PREZZA";1192;591;611;299;68;"PARTITO DEMOCRATICO";"142"
"IV : ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"PREZZA";1192;591;611;299;68;"IO CAMBIO - MAIE";"1"
"IV : ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"PREZZA";1192;591;611;299;68;"SCELTA EUROPEA";"6"
"IV : ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"PREZZA";1192;591;611;299;68;"ITALIA DEI VALORI";"12"
"IV : ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"PREZZA";1192;591;611;299;68;"FRATELLI D'ITALIA - ALLEANZA NAZIONALE";"36"
"IV : ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"PREZZA";1192;591;611;299;68;"VERDI EUROPEI-GREEN ITALIA";"1"
"IV : ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"PREZZA";1192;591;611;299;68;"LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO";"5"
"IV : ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"PREZZA";1192;591;611;299;68;"MOVIMENTO 5 STELLE BEPPEGRILLO.IT";"121"
"IV : ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"PREZZA";1192;591;611;299;68;"L'ALTRA EUROPA CON TSIPRAS";"19"
"IV : ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"RAIANO";2741;1322;1592;796;57;"LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO";"26"
"IV : ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"RAIANO";2741;1322;1592;796;57;"FORZA ITALIA";"297"
"IV : ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"RAIANO";2741;1322;1592;796;57;"PARTITO DEMOCRATICO";"493"
"IV : ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"RAIANO";2741;1322;1592;796;57;"ITALIA DEI VALORI";"29"
"IV : ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"RAIANO";2741;1322;1592;796;57;"IO CAMBIO - MAIE";"0"
"IV : ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"RAIANO";2741;1322;1592;796;57;"SCELTA EUROPEA";"7"
"IV : ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"RAIANO";2741;1322;1592;796;57;"VERDI EUROPEI-GREEN ITALIA";"9"
"IV : ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"RAIANO";2741;1322;1592;796;57;"FRATELLI D'ITALIA - ALLEANZA NAZIONALE";"101"
"IV : ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"RAIANO";2741;1322;1592;796;57;"NUOVO CENTRO DESTRA - UDC";"43"
"IV : ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"RAIANO";2741;1322;1592;796;57;"MOVIMENTO 5 STELLE BEPPEGRILLO.IT";"398"
"IV : ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"RAIANO";2741;1322;1592;796;57;"L'ALTRA EUROPA CON TSIPRAS";"46"
"IV : ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"RIVISONDOLI";731;381;332;196;6;"PARTITO DEMOCRATICO";"95"
"IV : ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"RIVISONDOLI";731;381;332;196;6;"FORZA ITALIA";"86"
"IV : ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"RIVISONDOLI";731;381;332;196;6;"NUOVO CENTRO DESTRA - UDC";"6"
"IV : ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"RIVISONDOLI";731;381;332;196;6;"IO CAMBIO - MAIE";"0"
"IV : ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"RIVISONDOLI";731;381;332;196;6;"LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO";"5"
"IV : ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"RIVISONDOLI";731;381;332;196;6;"FRATELLI D'ITALIA - ALLEANZA NAZIONALE";"18"
"IV : ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"RIVISONDOLI";731;381;332;196;6;"VERDI EUROPEI-GREEN ITALIA";"2"
"IV : ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"RIVISONDOLI";731;381;332;196;6;"MOVIMENTO 5 STELLE BEPPEGRILLO.IT";"73"
"IV : ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"RIVISONDOLI";731;381;332;196;6;"ITALIA DEI VALORI";"9"
"IV : ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"RIVISONDOLI";731;381;332;196;6;"SCELTA EUROPEA";"1"
"IV : ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"RIVISONDOLI";731;381;332;196;6;"L'ALTRA EUROPA CON TSIPRAS";"14"
"IV : ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"ROCCACASALE";791;401;350;182;15;"MOVIMENTO 5 STELLE BEPPEGRILLO.IT";"113"
"IV : ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"ROCCACASALE";791;401;350;182;15;"FRATELLI D'ITALIA - ALLEANZA NAZIONALE";"16"
"IV : ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"ROCCACASALE";791;401;350;182;15;"VERDI EUROPEI-GREEN ITALIA";"1"
"IV : ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"ROCCACASALE";791;401;350;182;15;"NUOVO CENTRO DESTRA - UDC";"10"
"IV : ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"ROCCACASALE";791;401;350;182;15;"FORZA ITALIA";"81"
"IV : ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"ROCCACASALE";791;401;350;182;15;"IO CAMBIO - MAIE";"0"
