"DATA_ELEZIONE";"DESCCIRCEUROPEA";"DESCREGIONE";"DESCPROVINCIA";"DESCCOMUNE";"ELETTORI";"ELETTORI_M";"ELETTORI_F";"VOTANTI";"VOTANTI_M";"VOTANTI_F";"NUMSCHEDEBIANCHE";"NUMSCHEDECONTESTAT";"DESCLISTA";"NUMVOTI"
9/6/2024 00:00:00;"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALICE BEL COLLE";611;317;294;318;178;140;10;0;"PACE TERRA DIGNITA'";3
9/6/2024 00:00:00;"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALICE BEL COLLE";611;317;294;318;178;140;10;0;"FRATELLI D'ITALIA";90
9/6/2024 00:00:00;"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALICE BEL COLLE";611;317;294;318;178;140;10;0;"RASSEMBLEMENT VALDÔTAIN";0
9/6/2024 00:00:00;"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALICE BEL COLLE";611;317;294;318;178;140;10;0;"FORZA ITALIA - NOI MODERATI - PPE";37
9/6/2024 00:00:00;"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALICE BEL COLLE";611;317;294;318;178;140;10;0;"STATI UNITI D'EUROPA";12
9/6/2024 00:00:00;"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALICE BEL COLLE";611;317;294;318;178;140;10;0;"LEGA SALVINI PREMIER";63
9/6/2024 00:00:00;"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALICE BEL COLLE";611;317;294;318;178;140;10;0;"MOVIMENTO 5 STELLE";9
9/6/2024 00:00:00;"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALICE BEL COLLE";611;317;294;318;178;140;10;0;"LIBERTA'";3
9/6/2024 00:00:00;"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALLUVIONI PIOVERA";1755;843;912;656;334;322;14;0;"LEGA SALVINI PREMIER";94
9/6/2024 00:00:00;"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALLUVIONI PIOVERA";1755;843;912;656;334;322;14;0;"STATI UNITI D'EUROPA";24
9/6/2024 00:00:00;"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALLUVIONI PIOVERA";1755;843;912;656;334;322;14;0;"FRATELLI D'ITALIA";209
9/6/2024 00:00:00;"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALLUVIONI PIOVERA";1755;843;912;656;334;322;14;0;"ALTERNATIVA POPOLARE";2
9/6/2024 00:00:00;"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALLUVIONI PIOVERA";1755;843;912;656;334;322;14;0;"AZIONE - SIAMO EUROPEI";19
9/6/2024 00:00:00;"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALLUVIONI PIOVERA";1755;843;912;656;334;322;14;0;"PARTITO DEMOCRATICO";106
9/6/2024 00:00:00;"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALLUVIONI PIOVERA";1755;843;912;656;334;322;14;0;"ALLEANZA VERDI E SINISTRA";20
9/6/2024 00:00:00;"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALLUVIONI PIOVERA";1755;843;912;656;334;322;14;0;"PACE TERRA DIGNITA'";6
9/6/2024 00:00:00;"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALLUVIONI PIOVERA";1755;843;912;656;334;322;14;0;"LIBERTA'";2
9/6/2024 00:00:00;"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALLUVIONI PIOVERA";1755;843;912;656;334;322;14;0;"RASSEMBLEMENT VALDÔTAIN";6
9/6/2024 00:00:00;"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALLUVIONI PIOVERA";1755;843;912;656;334;322;14;0;"FORZA ITALIA - NOI MODERATI - PPE";85
9/6/2024 00:00:00;"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALLUVIONI PIOVERA";1755;843;912;656;334;322;14;0;"MOVIMENTO 5 STELLE";37
9/6/2024 00:00:00;"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALTAVILLA MONFERRATO";411;208;203;232;122;110;7;0;"AZIONE - SIAMO EUROPEI";8
9/6/2024 00:00:00;"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALTAVILLA MONFERRATO";411;208;203;232;122;110;7;0;"FRATELLI D'ITALIA";72
9/6/2024 00:00:00;"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALTAVILLA MONFERRATO";411;208;203;232;122;110;7;0;"STATI UNITI D'EUROPA";5
9/6/2024 00:00:00;"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALTAVILLA MONFERRATO";411;208;203;232;122;110;7;0;"LEGA SALVINI PREMIER";53
9/6/2024 00:00:00;"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALTAVILLA MONFERRATO";411;208;203;232;122;110;7;0;"MOVIMENTO 5 STELLE";11
9/6/2024 00:00:00;"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALTAVILLA MONFERRATO";411;208;203;232;122;110;7;0;"ALTERNATIVA POPOLARE";1
9/6/2024 00:00:00;"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALTAVILLA MONFERRATO";411;208;203;232;122;110;7;0;"PARTITO DEMOCRATICO";31
9/6/2024 00:00:00;"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALTAVILLA MONFERRATO";411;208;203;232;122;110;7;0;"ALLEANZA VERDI E SINISTRA";13
9/6/2024 00:00:00;"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALTAVILLA MONFERRATO";411;208;203;232;122;110;7;0;"PACE TERRA DIGNITA'";1
9/6/2024 00:00:00;"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALTAVILLA MONFERRATO";411;208;203;232;122;110;7;0;"LIBERTA'";1
9/6/2024 00:00:00;"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALTAVILLA MONFERRATO";411;208;203;232;122;110;7;0;"RASSEMBLEMENT VALDÔTAIN";0
9/6/2024 00:00:00;"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALTAVILLA MONFERRATO";411;208;203;232;122;110;7;0;"FORZA ITALIA - NOI MODERATI - PPE";15
9/6/2024 00:00:00;"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALZANO SCRIVIA";296;157;139;227;124;103;24;0;"ALTERNATIVA POPOLARE";1
9/6/2024 00:00:00;"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALZANO SCRIVIA";296;157;139;227;124;103;24;0;"FRATELLI D'ITALIA";72
9/6/2024 00:00:00;"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALZANO SCRIVIA";296;157;139;227;124;103;24;0;"STATI UNITI D'EUROPA";10
9/6/2024 00:00:00;"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALZANO SCRIVIA";296;157;139;227;124;103;24;0;"LEGA SALVINI PREMIER";41
9/6/2024 00:00:00;"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALZANO SCRIVIA";296;157;139;227;124;103;24;0;"MOVIMENTO 5 STELLE";13
9/6/2024 00:00:00;"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALZANO SCRIVIA";296;157;139;227;124;103;24;0;"FORZA ITALIA - NOI MODERATI - PPE";23
9/6/2024 00:00:00;"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALZANO SCRIVIA";296;157;139;227;124;103;24;0;"RASSEMBLEMENT VALDÔTAIN";0
9/6/2024 00:00:00;"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALZANO SCRIVIA";296;157;139;227;124;103;24;0;"AZIONE - SIAMO EUROPEI";2
9/6/2024 00:00:00;"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALZANO SCRIVIA";296;157;139;227;124;103;24;0;"PARTITO DEMOCRATICO";17
