"CIRCOSCRIZIONE";"REGIONE";"PROVINCIA";"COMUNE";"ELETTORI";"ELETTORI_MASCHI";"VOTANTI";"VOTANTI_MASCHI";"SCHEDE_BIANCHE";"LISTA";"VOTILISTA"
"ITALIA MERIDIONALE";"Abruzzi";"L'Aquila ";"COLLARMELE";917;448;808;392;78;"DIPIETRO OCCHETTO";"11"
"ITALIA MERIDIONALE";"Abruzzi";"L'Aquila ";"COLLARMELE";917;448;808;392;78;"LEGA NORD";"1"
"ITALIA MERIDIONALE";"Abruzzi";"L'Aquila ";"COLLARMELE";917;448;808;392;78;"UNITI NELL'ULIVO";"172"
"ITALIA MERIDIONALE";"Abruzzi";"L'Aquila ";"COLLARMELE";917;448;808;392;78;"SOCIALISTI UNITI";"11"
"ITALIA MERIDIONALE";"Abruzzi";"L'Aquila ";"COLLARMELE";917;448;808;392;78;"FIAMMA TRICOLORE";"11"
"ITALIA MERIDIONALE";"Abruzzi";"L'Aquila ";"COLLARMELE";917;448;808;392;78;"MOV.IDEA SOC. RAUTI";"3"
"ITALIA MERIDIONALE";"Campania ";"Salerno";"PERDIFUMO";1775;871;1102;558;126;"ALLEANZA LOMBARDA AUTONOMIA";"2"
"ITALIA MERIDIONALE";"Campania ";"Salerno";"PERDIFUMO";1775;871;1102;558;126;"DIPIETRO OCCHETTO";"18"
"ITALIA MERIDIONALE";"Campania ";"Salerno";"PERDIFUMO";1775;871;1102;558;126;"LEGA NORD";"0"
"ITALIA MERIDIONALE";"Campania ";"Salerno";"PERDIFUMO";1775;871;1102;558;126;"RIFONDAZIONE COMUNISTA";"39"
"ITALIA MERIDIONALE";"Campania ";"Salerno";"PERDIFUMO";1775;871;1102;558;126;"LISTA EMMA BONINO";"12"
"ITALIA MERIDIONALE";"Campania ";"Salerno";"PERDIFUMO";1775;871;1102;558;126;"PRI I LIBERAL SGARBI";"20"
"ITALIA MERIDIONALE";"Campania ";"Salerno";"PERDIFUMO";1775;871;1102;558;126;"PAESE NUOVO";"27"
