COLLEGIO;COMUNE;ELETTORI_TOTALI;ELETTORI_MASCHI;VOTANTI_TOTALI;VOTANTI_MASCHI;SCHEDE_BIANCHE;LISTA;VOTI_LISTA;ELETTO;COGNOME;NOME;SESSO
VALLE D'AOSTA;EMARESE;189;101;158;83;4;UNION VALDOTAINE PROGRESSISTE;46;N;VIERIN;LAURENT;M
VALLE D'AOSTA;EMARESE;189;101;158;83;4;FRATELLI D'ITALIA;6;N;MELONI;GIORGIA;F
VALLE D'AOSTA;EMARESE;189;101;158;83;4;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;22;N;COGNETTA;ROBERTO UGO MASSIMO;M
VALLE D'AOSTA;EMARESE;189;101;158;83;4;AUTONOMIE LIBERTE' DEMOCRATIE;12;N;GUICHARDAZ;JEAN PIERRE;M
VALLE D'AOSTA;EMARESE;189;101;158;83;4;NATION VAL D'OUTA;0;N;CAMPION;EROS;M
VALLE D'AOSTA;EMARESE;189;101;158;83;4;FARE PER FERMARE IL DECLINO;1;N;BUILLET;FABRIZIO;M
VALLE D'AOSTA;EMARESE;189;101;158;83;4;VALLEE D'AOSTE;57;E;MARGUERETTAZ;RUDI FRANCO;M
VALLE D'AOSTA;EMARESE;189;101;158;83;4;UNIONE DI CENTRO;3;N;BRINGHEN;LUCA;M
VALLE D'AOSTA;EMARESE;189;101;158;83;4;CASAPOUND ITALIA;1;N;LADU;ANDREA;M
VALLE D'AOSTA;EMARESE;189;101;158;83;4;LEGA NORD;0;N;SPELGATTI;NICOLETTA;F
VALLE D'AOSTA;ETROUBLES;392;208;297;158;4;UNION VALDOTAINE PROGRESSISTE;71;N;VIERIN;LAURENT;M
VALLE D'AOSTA;ETROUBLES;392;208;297;158;4;FRATELLI D'ITALIA;10;N;MELONI;GIORGIA;F
VALLE D'AOSTA;ETROUBLES;392;208;297;158;4;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;44;N;COGNETTA;ROBERTO UGO MASSIMO;M
VALLE D'AOSTA;ETROUBLES;392;208;297;158;4;AUTONOMIE LIBERTE' DEMOCRATIE;49;N;GUICHARDAZ;JEAN PIERRE;M
VALLE D'AOSTA;ETROUBLES;392;208;297;158;4;NATION VAL D'OUTA;2;N;CAMPION;EROS;M
VALLE D'AOSTA;ETROUBLES;392;208;297;158;4;FARE PER FERMARE IL DECLINO;17;N;BUILLET;FABRIZIO;M
VALLE D'AOSTA;ETROUBLES;392;208;297;158;4;VALLEE D'AOSTE;87;E;MARGUERETTAZ;RUDI FRANCO;M
