,teryt_code,eligible_voters,issued_ballots,spd,cdu,gruene,csu,rep,fdp,oedp,bp,cm,liga,solidariaet,bsa,apd,bfb,familie,dsu,graue,naturgesetz,autonome,npd,forum,pbc,pass,pds,pead,statt
432,A_14047,67885,46640,9509,16952,2021,0,1382,1767,117,29,47,53,34,20,566,351,0,771,510,162,31,75,447,75,593,8119,28,111
433,A_14048,36347,27160,6588,10095,1039,0,772,1187,61,25,51,109,24,17,388,206,0,469,220,88,24,166,266,74,352,3219,18,63
434,A_14049,41643,30993,5482,12557,1003,0,1434,966,56,19,92,71,22,15,337,315,0,505,232,98,20,157,326,192,406,4404,20,75
435,A_14050,37294,27613,3685,13255,1067,0,1083,1111,73,15,54,45,37,13,297,224,0,381,293,105,21,73,217,40,377,3313,30,65
436,A_14051,58640,43922,9476,17369,1628,0,1690,1704,96,54,179,224,23,11,518,427,0,554,337,112,26,89,460,224,506,5265,28,94
437,A_14052,40755,28835,7127,9661,1253,0,1112,1562,63,35,44,40,20,18,364,281,0,178,238,107,18,50,246,31,355,4427,25,57
438,A_14053,40321,26425,5153,9065,1073,0,1286,759,78,30,38,22,24,16,386,212,0,301,265,126,25,43,255,35,408,5406,32,64
439,A_14054,51873,36647,8641,13345,1833,0,1779,1597,116,48,126,85,29,19,376,323,0,473,405,117,30,64,437,112,415,4399,26,129
440,A_14055,37250,26869,6289,9557,1483,0,920,859,78,45,51,32,33,10,354,299,0,493,294,120,23,66,295,106,301,3726,24,80
441,A_14056,60860,43961,6438,17684,1803,0,1671,1575,96,102,99,71,54,30,612,1031,0,687,673,136,50,105,475,127,693,6943,51,139
442,A_14057,43369,33457,6397,14466,1137,0,1251,1078,58,36,171,171,32,17,384,302,0,432,205,92,29,75,467,209,404,3899,23,75
443,A_14058,61554,47240,9047,19195,1955,0,1640,2090,93,59,201,176,41,38,559,333,0,1028,387,154,34,90,459,334,517,5725,34,134
446,A_15101,73984,46117,10909,12992,3400,0,1090,2132,125,58,50,37,126,87,815,553,0,531,561,163,100,106,579,103,837,9089,39,168
447,A_15112,56559,36670,9626,10836,1369,0,1002,2013,91,81,54,55,64,54,478,627,0,115,378,95,31,108,409,73,766,6685,44,187
