,teryt_code,eligible_voters,issued_ballots,spd,cdu,fdp,linke,gruene,csu,npd,rep,familie,tierschutz,pbc,mlpd,bueso,bp,psg,volksabstimmung,zentrum,adm,cm,dkp,dvu,violetten,fwd,oedp,piraten,rrp,renter
143,A_06636,85480,63170,21291,17595,8017,6629,5465,0,697,231,0,463,0,15,67,0,0,0,0,0,0,0,42,0,0,0,878,0,0
144,A_07111,82692,56567,12758,19171,9696,4712,6627,0,492,147,402,0,94,15,0,0,0,0,0,0,0,0,33,0,0,144,1360,0,0
145,A_07131,100614,74578,13192,30251,14999,5387,6699,0,616,203,556,0,100,20,0,0,0,0,0,0,0,0,55,0,0,255,1193,0,0
146,A_07132,103285,72588,17640,26111,11748,6783,5513,0,853,301,675,0,515,37,0,0,0,0,0,0,0,0,68,0,0,130,1093,0,0
147,A_07133,121777,87259,22849,29238,13616,8124,7938,0,942,353,731,0,166,22,0,0,0,0,0,0,0,0,74,0,0,184,1452,0,0
148,A_07134,68792,45932,12135,14062,7574,6073,3127,0,618,194,427,0,82,14,0,0,0,0,0,0,0,0,84,0,0,76,578,0,0
149,A_07135,52051,38128,6798,16748,7323,2552,2331,0,320,126,361,0,85,3,0,0,0,0,0,0,0,0,22,0,0,62,576,0,0
150,A_07137,167286,117038,27188,44604,20349,8659,9292,0,1010,365,1001,0,277,19,0,0,0,0,0,0,0,0,68,0,0,242,1867,0,0
151,A_07138,139283,100211,24639,35196,17006,8577,8492,0,967,388,873,0,507,35,0,0,0,0,0,0,0,0,55,0,0,197,1665,0,0
152,A_07140,81702,59170,13094,21275,10582,5015,5322,0,529,251,564,0,248,10,0,0,0,0,0,0,0,0,56,0,0,164,933,0,0
153,A_07141,99023,71248,19588,21940,11678,6168,6767,0,768,340,738,0,155,19,0,0,0,0,0,0,0,0,61,0,0,186,1293,0,0
154,A_07143,155828,113048,24783,40914,20994,9670,9016,0,1389,424,1171,0,429,20,0,0,0,0,0,0,0,0,78,0,0,205,2129,0,0
155,A_07211,80780,54963,12333,18056,7966,5093,8537,0,420,102,316,0,58,12,0,0,0,0,0,0,0,0,19,0,0,137,1260,0,0
156,A_07231,89788,64311,12438,25087,11894,5569,5305,0,607,203,717,0,90,17,0,0,0,0,0,0,0,0,51,0,0,140,966,0,0
157,A_07232,74202,52901,9871,21013,9888,4164,4732,0,416,126,564,0,58,10,0,0,0,0,0,0,0,0,29,0,0,104,761,0,0
158,A_07233,49987,35682,6665,14449,7061,2910,2497,0,286,133,317,0,54,7,0,0,0,0,0,0,0,0,34,0,0,80,504,0,0
159,A_07235,110911,83375,18015,32154,12388,7977,7919,0,672,245,795,0,96,15,0,0,0,0,0,0,0,0,55,0,0,147,1223,0,0
160,A_07311,34231,23541,5555,8451,3319,2516,1849,0,282,383,198,0,61,12,0,0,0,0,0,0,0,0,28,0,0,24,379,0,0
