,teryt_code,eligible_voters,issued_ballots,cdu,spd,gruene,fdp,linke,csu,fw,rep,tierschutz,familie,piraten,oedp,pbc,volksabstimmung,bp,cm,auf,dkp,bueso,psg,afd,pro_nrw,mlpd,npd,partei
253,A_09182,72572,30495,0,4505,4284,1348,547,12608,1316,82,373,81,239,702,23,67,814,30,86,9,10,6,3052,9,7,92,99
254,A_09183,84607,31554,0,4055,2904,735,737,15077,1457,168,346,109,237,1382,42,59,926,50,109,13,32,6,2730,11,5,152,99
255,A_09184,235289,116090,0,26255,16371,5931,2722,41772,3099,488,1276,303,1515,2974,79,168,1265,77,277,33,31,18,10247,42,18,281,488
256,A_09185,70878,29953,0,4091,2127,604,621,15350,2148,147,314,98,262,512,29,74,484,38,75,12,6,3,2514,12,6,174,107
257,A_09186,91211,39910,0,6820,3544,956,886,18471,1903,201,412,160,400,1188,62,130,697,52,101,17,8,10,3200,11,6,273,205
258,A_09187,191063,79735,0,11167,10076,2310,1841,34166,2965,655,841,213,716,2918,84,144,2905,111,323,33,36,16,7391,24,16,264,272
259,A_09188,96460,49854,0,9420,8185,3363,1129,17748,1415,139,606,124,551,1313,21,69,649,32,121,13,13,9,4499,8,8,118,175
260,A_09189,132926,52553,0,8070,7962,1307,1288,22251,2001,289,529,131,380,2003,102,98,1644,106,238,10,49,11,3544,12,11,205,155
261,A_09190,100654,44488,0,7267,5558,1338,1164,17200,2001,138,488,169,414,2140,37,114,1178,47,184,19,11,10,4572,21,7,142,128
262,A_09261,48822,18488,0,3227,2703,621,660,7106,765,64,282,42,242,601,12,39,254,13,41,16,7,4,1525,6,7,82,112
263,A_09262,38468,14490,0,2963,1980,596,613,5403,265,51,158,35,202,653,8,17,130,18,13,6,2,3,1156,5,6,67,92
264,A_09263,34667,11029,0,1796,725,280,321,5450,308,62,121,20,87,547,14,38,179,8,9,4,4,6,804,4,7,143,41
265,A_09271,91418,27570,0,3849,1757,531,669,14167,1692,150,300,75,187,714,55,69,488,43,44,5,1,2,2348,9,7,245,70
266,A_09272,63709,16875,0,2504,983,289,380,8815,896,75,158,38,101,438,18,37,566,27,40,7,1,3,1235,7,4,157,38
267,A_09273,87352,32825,0,5161,2388,591,647,17119,1398,118,304,89,273,1332,27,55,746,29,62,16,5,6,2022,3,3,246,77
268,A_09274,116297,46391,0,5951,4330,1017,888,22077,4593,189,486,128,431,1577,24,78,1030,51,134,13,6,11,2885,7,5,223,130
269,A_09275,149285,45962,0,7160,3254,988,1256,23258,1797,201,534,106,327,1571,46,133,887,70,116,13,9,9,3625,14,9,313,104
270,A_09276,62610,16498,0,2437,929,314,386,8436,867,92,161,42,119,538,19,33,301,24,38,6,2,6,1501,5,2,136,35
271,A_09277,91946,30433,0,3589,2119,631,615,16488,1178,110,377,73,226,1424,10,53,723,47,66,9,11,4,2231,20,6,198,84
272,A_09278,76667,30366,0,3467,1337,559,417,17174,1836,165,249,72,156,1820,18,64,630,26,46,11,4,9,1796,5,8,337,70
273,A_09279,71650,25503,0,3452,1438,458,473,13893,1089,181,246,88,164,1126,17,61,604,36,67,8,7,1,1648,9,2,256,87
274,A_09361,33217,11512,0,2821,892,291,417,4652,259,40,115,15,127,419,22,28,124,15,28,2,3,1,1096,4,5,63,35
275,A_09362,103432,41675,0,9570,7249,1331,1859,13228,1239,75,431,76,804,1528,36,55,286,33,80,41,6,12,3162,16,12,138,314
276,A_09363,33246,11551,0,2888,967,256,366,4700,285,33,94,26,93,227,20,45,109,9,11,3,3,6,1216,5,5,94,44
277,A_09371,82522,33538,0,7452,2260,547,760,15416,1663,136,268,103,272,1101,50,64,420,29,61,9,2,5,2365,10,13,258,121
278,A_09372,102140,31749,0,4112,1863,500,511,16985,2705,123,291,79,249,775,46,57,699,49,60,19,5,12,2192,5,6,200,69
279,A_09373,99620,42576,0,5783,3477,694,936,22669,2496,138,370,132,350,1109,45,92,543,57,96,8,7,3,2874,5,6,388,159
280,A_09374,76683,31408,0,6554,1771,433,516,15391,1663,106,293,91,218,764,25,74,436,37,59,6,8,6,2408,7,9,306,82
281,A_09375,146252,61865,0,11049,5357,1279,1299,27280,5705,292,644,167,505,1687,68,117,844,65,125,32,17,11,4449,18,18,358,223
282,A_09376,114360,41070,0,8588,2172,479,813,20184,1741,218,426,135,309,1302,38,94,713,48,124,14,9,13,3001,7,11,341,127
283,A_09377,60297,24073,0,4131,1203,322,391,13390,1520,52,218,87,158,367,29,69,211,42,67,2,4,5,1416,13,8,216,56
284,A_09461,55010,22127,0,4381,4631,785,989,7235,429,74,204,62,419,527,24,42,204,24,50,23,6,5,1550,4,28,182,168
285,A_09462,57280,21750,0,5277,3133,1177,767,7220,530,93,233,62,428,334,127,35,122,29,54,8,8,2,1757,8,13,89,161
286,A_09463,32359,12559,0,3496,1712,414,503,4351,181,33,134,36,147,218,31,25,45,8,8,6,3,1,995,0,3,87,89
287,A_09464,34221,11294,0,2701,929,298,421,4676,244,48,119,39,170,108,112,16,60,24,31,8,4,0,1075,11,4,96,46
288,A_09471,115598,46669,0,7739,3923,1043,1175,23289,1566,391,459,224,471,809,101,178,740,66,153,5,14,10,3186,11,23,736,167
289,A_09472,85177,34697,0,7676,2741,819,746,15370,2305,264,347,150,280,393,99,76,294,46,96,8,3,4,2556,10,4,194,96
290,A_09473,70794,28104,0,7788,2183,567,729,11785,1107,86,249,119,217,396,45,55,161,21,35,4,5,6,2053,6,26,252,109
291,A_09474,89698,39835,0,7920,4579,1076,1117,16624,2481,371,417,119,378,574,83,102,262,38,98,20,9,8,2874,10,12,371,162
292,A_09475,79214,32049,0,8325,1881,551,848,14386,1275,180,327,118,309,343,194,65,185,52,127,9,3,8,2381,14,11,217,108
293,A_09476,56593,21125,0,5317,1071,379,437,10360,849,92,175,63,150,181,53,48,108,37,40,7,5,4,1286,5,11,246,56
294,A_09477,60402,23288,0,5653,1661,572,637,10167,1128,101,222,82,212,295,47,62,101,35,43,8,3,6,1915,4,10,150,87
295,A_09478,54645,21779,0,3846,1322,377,403,11513,1062,83,205,66,230,387,57,52,136,19,35,2,7,6,1525,3,2,277,81
296,A_09479,60370,22246,0,6240,1381,409,601,9400,806,101,286,78,191,205,68,69,196,18,35,9,3,5,1652,8,6,258,95
297,A_09561,31263,11331,0,3040,1529,247,512,3451,360,47,123,34,122,572,48,41,72,13,24,12,2,1,882,4,1,86,62
298,A_09562,77383,37320,0,10476,7021,1534,1753,9752,923,54,312,110,828,1154,62,64,109,31,73,17,16,9,2473,9,23,131,298
299,A_09563,86007,31368,0,9179,4957,945,2228,8124,576,136,338,96,656,473,57,70,170,22,94,31,4,9,2542,5,16,220,275
300,A_09564,349601,143804,0,42711,20688,4300,8180,39577,2700,558,1675,467,2719,3016,224,327,609,87,256,166,27,45,12070,63,111,1311,1106
301,A_09565,30006,12459,0,3003,1923,367,550,4279,330,40,133,47,137,254,29,22,79,13,18,6,0,0,1028,4,3,86,56
302,A_09571,139801,55113,0,11590,6081,1302,1550,22036,3242,212,503,248,540,1779,259,161,435,104,145,28,5,7,3988,23,11,495,175
303,A_09572,102993,48417,0,12111,6879,1535,1307,17124,2448,110,436,143,586,714,111,96,308,29,76,8,8,9,3671,12,16,276,250
304,A_09573,90790,40010,0,11080,4815,939,1371,13555,1594,153,452,144,531,611,105,104,238,37,97,17,7,10,3442,17,10,326,215
305,A_09574,129375,57895,0,15411,7502,1507,1881,19597,3169,329,632,165,679,1111,116,128,313,54,174,21,12,8,4275,18,8,315,237
306,A_09575,77421,33005,0,7038,3384,752,853,13807,1937,116,317,188,341,1035,91,69,228,51,80,10,4,10,2111,4,16,296,126
307,A_09576,97193,41456,0,9122,5087,902,1317,16273,2517,147,484,153,438,743,78,118,274,43,91,12,7,17,2999,11,10,284,162
308,A_09577,72500,29964,0,6545,3303,573,751,12559,1178,100,259,90,304,1248,89,52,227,52,92,6,12,7,2058,11,9,170,131
309,A_09661,49917,17112,0,3939,2560,680,688,5822,264,83,185,45,279,448,15,33,104,21,32,9,4,7,1443,7,30,165,126
310,A_09662,38947,13598,0,3717,1208,465,864,5025,254,146,108,23,169,190,24,24,52,14,35,8,2,4,989,9,22,88,67
311,A_09663,99770,41643,0,9510,8235,1795,1765,12881,722,213,413,92,1029,989,44,43,115,40,92,30,9,9,2895,15,6,122,446
312,A_09671,134223,53199,0,11845,5557,1640,1387,22104,1773,351,570,239,617,789,42,167,362,90,102,20,20,16,4404,21,29,442,263
313,A_09672,84410,35211,0,6518,2748,915,1016,17523,1165,276,300,134,364,753,67,116,224,52,128,15,9,8,2347,14,10,227,105
