,teryt_code,eligible_voters,issued_ballots,cdu,spd,gruene,linke,afd,csu,fdp,fw,piraten,tierschutz,npd,fpd,oedp,partei,ajddvpfdm,bayern,dkp,mlpd,sgvi,tierschutzdo,afmtn,bcfd,bfig,bg,direkt,diem25,dw,grauen,rechte,violetten,liebe,frauen,grauepanther,lkr,mwfdwga,nlds,oel,humanisten,pfdtd,pfg,volt
101,A_05558,173128,120049,45667,18389,28810,3401,6513,0,7871,572,648,1206,129,1183,425,1910,105,60,12,25,6,148,111,43,48,41,34,182,24,179,49,64,77,128,151,76,73,32,43,137,165,142,527
102,A_05562,469806,274015,69705,64106,50554,10973,31144,0,15959,1572,1926,5283,485,2501,916,6106,453,178,105,224,28,725,460,197,1348,175,183,495,44,692,228,218,227,363,737,194,199,120,127,427,791,436,1152
103,A_05566,340622,221206,75685,43335,51259,7499,12331,0,13251,1222,1282,2374,263,1455,829,3886,228,99,33,37,27,415,154,95,286,116,112,303,33,305,99,141,140,205,343,113,88,71,95,269,233,201,928
104,A_05570,209212,135952,48014,23999,29822,4323,9035,0,9035,935,819,1527,145,988,489,2396,134,78,22,17,10,198,151,135,308,74,62,200,14,207,46,64,107,138,204,92,70,51,54,163,229,161,513
105,A_05711,237243,151344,32604,28265,42289,9850,11498,0,8251,880,1195,2135,172,812,793,4827,170,89,82,74,18,220,174,522,971,131,83,643,21,242,99,99,134,147,260,139,101,61,277,331,212,184,1175
106,A_05754,263291,164120,52419,27534,39536,5613,12505,0,10355,1471,1014,2186,215,1279,854,2914,177,108,31,25,14,305,181,392,427,109,82,249,21,262,84,139,137,178,289,144,132,74,90,206,277,208,760
107,A_05758,191048,113252,29137,25721,24222,4512,11158,0,6463,1428,722,1834,153,829,372,2067,151,64,34,43,3,234,157,449,299,67,56,169,17,206,74,82,107,126,204,80,82,24,72,132,224,132,481
108,A_05762,111469,69376,27446,11333,11659,2174,5650,0,4449,488,437,836,119,641,493,1165,84,53,16,7,6,117,59,119,100,35,24,73,14,116,39,39,82,81,125,58,35,32,27,82,131,84,245
109,A_05766,267750,164091,41966,35954,34841,6171,15680,0,10678,1922,1084,2396,223,1290,773,3314,212,100,31,33,7,351,229,1456,428,100,81,278,27,309,77,123,150,186,305,145,128,44,100,223,296,224,692
110,A_05770,240181,141876,38637,33064,28989,5066,12816,0,8706,1124,939,1937,221,1005,583,2879,193,53,44,22,17,229,175,877,225,107,60,231,23,263,79,88,117,126,242,176,84,53,69,207,276,183,617
111,A_05774,230946,139286,49607,19044,31362,4946,11131,0,9196,870,945,1662,158,1030,641,3170,179,88,30,20,7,235,145,398,313,81,65,315,20,210,51,96,157,175,207,123,74,60,84,313,198,155,731
112,A_05911,271416,165855,32600,37844,40110,9336,15598,0,9186,962,1273,2751,328,1038,710,5341,242,96,78,220,39,443,221,183,731,144,86,590,25,312,215,144,150,273,381,136,153,109,172,421,401,269,1180
113,A_05913,412595,241207,46156,54803,59764,13420,22013,0,14207,1400,2218,3975,441,1440,1097,7752,354,119,162,180,22,648,367,146,1340,243,186,860,19,525,633,192,211,313,622,174,200,128,262,481,513,321,1621
114,A_05914,130560,72691,17401,16076,13200,3151,9077,0,4644,542,537,1419,170,561,348,1610,107,64,30,83,7,162,119,95,736,44,40,174,17,189,62,58,81,93,196,69,54,32,48,102,212,124,316
115,A_05915,125696,72575,19513,16598,13850,2960,7847,0,4182,488,579,1140,148,465,250,1403,111,40,19,17,7,193,95,46,468,39,39,106,13,127,108,41,47,79,131,61,47,20,37,91,160,88,321
116,A_05916,110657,59376,11770,15717,10264,2971,7776,0,2991,333,590,1188,141,476,166,1422,90,29,23,80,7,196,108,81,663,45,38,121,12,159,40,60,58,108,182,42,42,26,36,126,185,101,266
117,A_05954,251943,156316,35800,35666,36561,6316,14231,0,10042,832,1530,2831,249,1058,717,3819,180,91,78,134,13,352,213,245,411,124,104,417,36,339,79,121,146,186,329,95,96,77,126,211,357,202,700
118,A_05958,201504,125070,51683,21337,19880,3535,9206,0,8422,1035,651,1507,174,915,494,2252,173,66,14,25,6,234,137,87,113,50,41,141,31,181,42,97,102,136,215,97,65,42,36,141,221,170,508
