,teryt_code,eligible_voters,issued_ballots,cdu,gruene,spd,afd,csu,linke,fdp,partei,fw,tierschutz,oedp,fpd,volt,piraten,mera25,heimat,aptierschutz,pfsv,bfig,bcfd,humanisten,mwfdwga,dkp,mlpd,sgvi,abg,bdp,bundnisd,bsw,dava,klimaliste,pasdlg,pdv,pdf,v_partei3
296,A_09561,30164,18154,0,2133,2085,2852,6222,284,546,286,740,258,526,75,446,114,23,13,53,10,11,32,39,23,7,6,1,13,43,64,975,35,16,33,9,99,31
297,A_09562,78137,57496,0,12235,7189,4421,16403,1443,2695,1284,1562,640,1557,138,2841,439,220,22,153,23,47,97,357,64,20,18,8,26,197,200,2005,205,101,205,44,285,123
298,A_09563,88186,52576,0,8372,7389,6255,15670,1381,2034,1169,1316,816,778,171,1981,387,170,23,193,26,46,158,237,69,38,29,9,30,216,182,2381,242,53,203,43,291,106
299,A_09564,339439,203664,0,33556,25909,22208,64205,6136,7865,4482,4567,2752,3284,545,7612,1784,998,115,709,117,167,280,793,266,137,93,39,115,644,700,9011,1144,177,948,128,1145,415
300,A_09565,30244,19311,0,2456,2533,2359,7197,307,655,280,730,256,299,86,472,107,33,11,74,8,7,43,53,25,6,3,2,12,135,72,793,53,5,37,11,120,18
301,A_09571,143229,95355,0,8284,7877,13953,40779,1025,2508,1171,7496,986,1848,472,1248,489,88,83,263,46,23,318,210,130,19,17,10,88,344,311,4117,83,27,164,57,476,113
302,A_09572,107445,76507,0,10722,8219,8317,30595,960,3137,1238,4033,761,1158,272,1911,404,96,55,225,29,27,142,201,73,15,14,2,45,249,304,2327,80,51,147,52,393,106
303,A_09573,93021,61892,0,7170,7514,7914,24903,795,2094,939,2625,730,898,241,1345,343,73,42,223,23,30,115,163,56,8,9,1,33,240,197,2363,122,26,95,40,281,96
304,A_09574,132507,92199,0,11770,10527,10676,35879,1301,3191,1355,5675,1088,1416,338,1763,590,139,77,322,43,40,183,200,110,12,14,5,49,327,318,3279,267,47,234,75,466,157
305,A_09575,79013,55292,0,4671,4491,7429,24383,587,1521,741,5153,569,829,248,830,229,52,40,158,27,11,87,123,61,8,11,5,47,268,163,1874,44,18,83,37,212,75
306,A_09576,100651,68552,0,6685,7117,8938,29259,744,2088,1019,4630,839,894,297,1030,295,64,39,239,35,35,111,132,67,20,13,7,52,295,245,2525,93,32,110,43,306,89
307,A_09577,73800,47736,0,4061,4546,6273,20596,527,1226,609,3582,530,1026,207,678,244,61,38,154,12,13,129,90,64,12,4,2,30,182,134,2039,75,22,88,46,230,64
308,A_09661,51031,31040,0,4387,3476,3994,10362,618,1580,659,818,429,689,118,1032,162,88,24,121,20,30,24,82,45,10,18,4,17,92,119,1296,92,14,183,23,191,66
309,A_09662,37011,19248,0,1839,2411,3304,6687,414,666,289,572,185,241,81,405,102,42,9,70,9,26,21,44,35,9,22,3,19,68,58,1180,197,9,31,7,91,50
310,A_09663,97109,64426,0,13539,6693,5203,18610,1924,3381,1453,1673,794,1194,156,4421,363,302,24,167,31,53,79,385,64,22,23,10,36,238,180,2145,85,81,372,31,397,121
311,A_09671,134502,91395,0,9418,9449,12168,37712,1116,4067,1412,4191,1232,1163,490,1817,326,125,103,384,47,56,78,174,128,22,22,10,79,243,366,3276,245,44,216,67,615,175
312,A_09672,83372,55649,0,3970,4316,8195,26145,565,1925,679,3601,497,652,272,727,159,39,54,195,16,26,76,90,86,14,10,3,70,211,193,2198,13,18,81,21,281,81
313,A_09673,63749,42905,0,3051,2847,6174,20924,528,1290,623,2891,354,355,239,566,134,50,45,109,15,14,68,91,53,11,7,5,63,138,141,1600,8,18,72,26,187,69
314,A_09674,68454,46533,0,2999,3809,7661,21135,492,1292,606,3222,396,816,251,571,188,40,45,137,19,9,45,86,53,30,6,3,66,218,153,1693,15,15,71,30,183,61
315,A_09675,70298,47360,0,4470,4100,5794,20623,524,1597,633,3970,468,703,217,844,187,48,52,153,16,28,72,106,64,12,3,2,46,184,155,1657,44,28,87,30,260,71
316,A_09676,96662,63740,0,5422,6100,9044,27374,751,2472,945,4076,746,739,339,891,232,90,55,263,31,24,70,91,78,7,4,7,58,287,212,2240,305,24,98,39,338,108
317,A_09677,100126,69092,0,6054,6797,8390,31219,692,2344,873,5077,707,788,307,1021,238,56,54,237,22,31,74,114,71,11,15,7,58,196,225,2494,77,24,93,41,367,113
318,A_09678,91436,62849,0,4975,5479,8705,29141,675,1790,866,3881,639,693,346,883,252,49,47,193,33,37,102,113,74,10,14,13,84,257,220,2423,45,30,84,53,314,112
319,A_09679,129348,94301,0,11650,9782,9330,40966,1080,3705,1306,4792,952,1433,419,2407,376,106,51,309,45,53,98,222,113,11,19,7,102,330,373,3006,60,56,177,63,561,112
320,A_09761,190593,112527,0,19566,11791,13589,33450,3145,4627,3077,3920,1395,2410,365,3727,664,506,58,364,69,102,215,404,158,41,74,15,112,577,385,5116,693,91,425,82,637,372
321,A_09762,31987,18542,0,2138,1535,2888,6923,329,676,348,1002,223,336,67,310,119,42,7,68,6,13,32,37,19,5,5,3,13,83,67,922,61,6,46,17,108,48
322,A_09763,49091,28100,0,3892,2450,3922,8981,470,1387,734,1500,451,541,95,1003,115,71,21,116,5,14,50,60,35,5,6,3,22,205,98,1267,125,19,76,15,204,53
