code_start,year_start,name_start,code_latest,name_latest,proportion_population,proportion_area,name_chain
A_06438000,1990,Offenbach,A_06438000,Offenbach,1.0,1.0,Offenbach
A_06439000,1990,Rheingau-Taunus-Kreis,A_06439000,Rheingau-Taunus-Kreis,1.0,1.0,Rheingau-Taunus-Kreis
A_06440000,1990,Wetteraukreis,A_06440000,Wetteraukreis,1.0,1.0,Wetteraukreis
A_06531000,1990,Gießen,A_06531000,Gießen,1.0,1.0,Gießen
A_06532000,1990,Lahn-Dill-Kreis,A_06532000,Lahn-Dill-Kreis,1.0,1.0,Lahn-Dill-Kreis
A_06533000,1990,Limburg-Weilburg,A_06533000,Limburg-Weilburg,1.0,1.0,Limburg-Weilburg
A_06534000,1990,Marburg-Biedenkopf,A_06534000,Marburg-Biedenkopf,1.0,1.0,Marburg-Biedenkopf
A_06535000,1990,Vogelsbergkreis,A_06535000,Vogelsbergkreis,1.0,1.0,Vogelsbergkreis
A_06611000,1990,KS Kassel,A_06611000,"Kassel, documenta-Stadt",1.0,1.0,"KS Kassel -> Kassel, Kreisfreie Stadt -> Kassel, Stadt -> Kassel, documenta-Stadt"
A_06631000,1990,Fulda,A_06631000,Fulda,1.0,1.0,Fulda
A_06632000,1990,Hersfeld-Rotenburg,A_06632000,Hersfeld-Rotenburg,1.0,1.0,Hersfeld-Rotenburg
A_06633000,1990,Kassel,A_06633000,Kassel,1.0,1.0,Kassel
A_06634000,1990,Schwalm-Eder-Kreis,A_06634000,Schwalm-Eder-Kreis,1.0,1.0,Schwalm-Eder-Kreis
A_06635000,1990,Waldeck-Frankenberg,A_06635000,Waldeck-Frankenberg,1.0,1.0,Waldeck-Frankenberg
A_06636000,1990,Werra-Meißner-Kreis,A_06636000,Werra-Meißner-Kreis,1.0,1.0,Werra-Meißner-Kreis
A_07111000,1990,KS Koblenz,A_07111000,"Koblenz, kreisfreie Stadt",1.0,1.0,"KS Koblenz -> Koblenz, Kreisfreie Stadt -> Koblenz, Stadt -> Koblenz, kreisfreie Stadt"
A_07131000,1990,Ahrweiler,A_07131000,Ahrweiler,1.0,1.0,Ahrweiler
A_07132000,1990,Altenkirchen (Westerwald),A_07132000,Altenkirchen (Westerwald),1.0,1.0,Altenkirchen (Westerwald) -> Altenkirchen (Westerwald -> Altenkirchen (Westerwald)
A_07133000,1990,Bad Kreuznach,A_07133000,Bad Kreuznach,1.0,1.0,Bad Kreuznach
A_07134000,1990,Birkenfeld,A_07134000,Birkenfeld,1.0,1.0,Birkenfeld
A_07135000,1990,Cochem-Zell,A_07135000,Cochem-Zell,0.982848644030252,0.961662939452447,Cochem-Zell
A_07135000,1990,Cochem-Zell,A_07140000,Rhein-Hunsrück-Kreis,0.0171513559697478,0.0383370605475532,Cochem-Zell -> Rhein-Hunsrück-Kreis
A_07137000,1990,Mayen-Koblenz,A_07137000,Mayen-Koblenz,1.0,1.0,Mayen-Koblenz
A_07138000,1990,Neuwied,A_07138000,Neuwied,1.0,1.0,Neuwied
A_07140000,1990,Rhein-Hunsrück-Kreis,A_07140000,Rhein-Hunsrück-Kreis,1.0,1.0,Rhein-Hunsrück-Kreis
A_07141000,1990,Rhein-Lahn-Kreis,A_07141000,Rhein-Lahn-Kreis,1.0,1.0,Rhein-Lahn-Kreis
A_07143000,1990,Westerwaldkreis,A_07143000,Westerwaldkreis,1.0,1.0,Westerwaldkreis
A_07211000,1990,KS Trier,A_07211000,"Trier, kreisfreie Stadt",1.0,1.0,"KS Trier -> Trier, Kreisfreie Stadt -> Trier, Stadt -> Trier, kreisfreie Stadt"
A_07231000,1990,Bernkastel-Wittlich,A_07231000,Bernkastel-Wittlich,1.0,1.0,Bernkastel-Wittlich
A_07232000,1990,Bitburg-Prüm,A_07232000,Eifelkreis Bitburg-Prüm,1.0,1.0,Bitburg-Prüm -> Eifelkreis Bitburg-Prüm
A_07233000,1990,Daun,A_07233000,Vulkaneifel,1.0,1.0,Daun -> Vulkaneifel
A_07235000,1990,Trier-Saarburg,A_07235000,Trier-Saarburg,1.0,1.0,Trier-Saarburg
A_07311000,1990,KS Frankenthal (Pfalz),A_07311000,"Frankenthal (Pfalz), kreisfreie Stadt",1.0,1.0,"KS Frankenthal (Pfalz) -> Frankenthal (Pfalz), Kreisfreie Stadt -> Frankenthal (Pfalz), Stadt -> Frankenthal (Pfalz), kreisfreie Stadt"
A_07312000,1990,KS Kaiserslautern,A_07312000,"Kaiserslautern, kreisfreie Stadt",1.0,1.0,"KS Kaiserslautern -> Kaiserslautern, Kreisfreie Stadt -> Kaiserslautern, Stadt -> Kaiserslautern, kreisfreie Stadt"
A_07313000,1990,KS Landau in der Pfalz,A_07313000,"Landau in der Pfalz, kreisfreie Stadt",1.0,1.0,"KS Landau in der Pfalz -> Landau in der Pfalz, Kreisfreie Stadt -> Landau in der Pfalz, Stadt -> Landau in der Pfalz, kreisfreie Stadt"
A_07314000,1990,KS Ludwigshafen am Rhein,A_07314000,"Ludwigshafen am Rhein, kreisfreie Stadt",1.0,1.0,"KS Ludwigshafen am Rhein -> Ludwigshafen am Rhein, Kreisfreie Stadt -> Ludwigshafen am Rhein, Stadt -> Ludwigshafen am Rhein, kreisfreie Stadt"
A_07315000,1990,KS Mainz,A_07315000,"Mainz, kreisfreie Stadt",1.0,1.0,"KS Mainz -> Mainz, Kreisfreie Stadt -> Mainz, kreisfreie Stadt -> Mainz, Stadt -> Mainz, kreisfreie Stadt"
A_07316000,1990,KS Neustadt an der Weinst,A_07316000,"Neustadt an der Weinstraße, kreisfreie Stadt",1.0,1.0,"KS Neustadt an der Weinst -> KS Neustadt an der Weinstraße -> KS Neustadt an der Weins -> KS Neustadt an der Weinstraße -> Neustadt an der Weinstraße, Kreisfreie -> Neustadt an der Weinstraße, Stadt -> Neustadt an der Weinstraße, kreisfreie Stadt"
A_07317000,1990,KS Pirmasens,A_07317000,"Pirmasens, kreisfreie Stadt",1.0,1.0,"KS Pirmasens -> Pirmasens, Kreisfreie Stadt -> Pirmasens, Stadt -> Pirmasens, kreisfreie Stadt"
