,teryt_code,eligible_voters,issued_ballots,cdu,spd,fdp,linke,gruene,csu,piraten,npd,tierschutz,rep,oedp,familie,21rrp,renter,bp,pbc,bueso,violetten,mlpd,volksabstimmung,psg,afd,big,prodeutschland,rechte,frauen,freiewahler,nichwahler,vernunft,partei
264,A_09374,76694,55089,0,12508,1740,1678,2315,28234,773,1019,330,146,616,0,20,0,567,0,6,40,8,0,0,2052,0,53,0,124,2223,0,71,0
265,A_09375,145722,103496,0,18677,4242,3184,6750,53635,1597,938,783,368,1564,0,19,0,997,0,10,115,18,0,0,4158,0,68,0,160,5253,0,84,0
266,A_09376,114345,75730,0,17444,2141,2634,3209,38947,1196,1021,560,223,956,0,26,0,1095,0,8,52,26,0,0,2496,0,58,0,143,2628,0,81,0
267,A_09377,60457,43071,0,8606,1394,1277,1673,24184,594,608,303,114,299,0,3,0,347,0,11,40,10,0,0,1288,0,44,0,86,1683,0,64,0
268,A_09461,54621,36047,0,7926,1909,1966,4740,14843,1022,331,252,113,307,0,13,0,126,0,6,39,38,0,0,1545,0,15,0,82,477,0,36,0
269,A_09462,56951,37600,0,9312,2506,1420,3458,16489,877,255,270,81,205,0,16,0,99,0,3,35,8,0,0,1657,0,14,0,81,543,0,29,0
270,A_09463,32384,21487,0,6158,1124,1109,2002,8557,418,245,132,24,141,0,4,0,58,0,4,20,8,0,0,1040,0,12,0,32,242,0,17,0
271,A_09464,34371,21741,0,5396,904,1163,1332,9880,514,250,188,79,75,0,7,0,117,0,3,17,6,0,0,1144,0,16,0,38,330,0,33,0
272,A_09471,115365,83051,0,14703,3311,2994,4789,44529,1762,1676,638,589,538,0,30,0,726,0,13,86,28,0,0,3329,0,66,0,261,2141,0,99,0
273,A_09472,85455,61821,0,14411,2338,1803,3315,32024,1028,639,403,306,275,0,19,0,250,0,7,57,10,0,0,2130,0,46,0,135,2084,0,58,0
274,A_09473,70831,50161,0,13999,1990,2088,2887,22842,735,796,319,108,251,0,15,0,147,0,7,58,21,0,0,2195,0,29,0,105,1126,0,40,0
275,A_09474,89546,66184,0,12768,3204,2273,5174,33037,1267,733,512,364,339,0,22,0,193,0,11,75,14,0,0,2706,0,41,0,130,2819,0,61,0
276,A_09475,79530,56235,0,14320,2042,2518,2853,27075,1059,603,484,194,266,0,13,0,255,0,5,35,8,0,0,2452,0,59,0,118,1334,0,71,0
277,A_09476,56888,39730,0,10551,1355,1218,1420,20168,632,580,227,86,144,0,6,0,100,0,6,31,10,0,0,1495,0,21,0,106,1067,0,42,0
278,A_09477,60507,42324,0,10679,1524,1667,2233,20563,734,451,331,109,240,0,12,0,136,0,2,36,11,0,0,1594,0,41,0,101,1431,0,41,0
279,A_09478,54755,37808,0,7831,1333,1195,1757,20285,723,655,243,108,300,0,3,0,196,0,5,45,3,0,0,1485,0,34,0,81,1064,0,38,0
280,A_09479,60668,40862,0,11690,1472,1938,2130,18264,684,608,358,173,163,0,20,0,225,0,6,35,5,0,0,1513,0,32,0,79,934,0,52,0
281,A_09561,31234,19389,0,5235,815,1017,1942,7735,397,203,147,50,253,0,22,0,130,0,1,25,2,0,0,778,0,21,0,28,418,0,12,0
282,A_09562,76971,57110,0,14538,3420,3010,7996,20905,1708,283,362,81,674,0,23,0,171,0,15,66,34,0,0,2328,0,29,0,74,979,0,56,0
283,A_09563,85689,55861,0,15851,2636,3902,5899,19880,1707,497,376,224,301,0,31,0,236,0,14,53,23,0,0,2685,0,45,0,91,895,0,61,0
284,A_09564,348914,233322,0,64154,11221,15305,25157,85719,6735,2462,1764,812,1564,0,157,0,595,0,35,257,197,0,0,10613,0,151,0,428,3639,0,253,0
285,A_09565,29916,21166,0,5519,1016,954,1992,8910,422,171,158,78,137,0,10,0,60,0,2,22,2,0,0,1030,0,9,0,30,457,0,25,0
286,A_09571,139866,97286,0,19895,4882,3635,8078,46397,1872,1277,675,412,1084,0,75,0,493,0,20,143,10,0,0,3482,0,105,0,225,3552,0,98,0
287,A_09572,102535,78076,0,18100,4020,2830,7399,35035,1603,634,539,208,470,0,28,0,336,0,11,60,11,0,0,3262,0,41,0,148,2705,0,57,0
288,A_09573,90538,67663,0,17166,3201,2921,5747,29075,1373,703,571,403,398,0,29,0,275,0,8,77,13,0,0,3084,0,52,0,119,1792,0,90,0
289,A_09574,129036,96834,0,24952,4269,3695,8969,41465,1842,823,731,489,580,0,29,0,276,0,14,98,10,0,0,3736,0,81,0,134,3760,0,107,0
290,A_09575,77376,54687,0,11468,2414,1993,4480,26640,1068,539,391,260,675,0,18,0,261,0,8,55,34,0,0,2055,0,35,0,95,1648,0,66,0
291,A_09576,97066,71931,0,16155,3198,2699,5278,34716,1410,648,504,314,515,0,39,0,284,0,4,82,14,0,0,2797,0,60,0,159,2432,0,85,0
292,A_09577,72543,49880,0,11560,1922,1716,3751,24508,1007,528,292,181,511,0,26,0,237,0,12,71,11,0,0,1690,0,51,0,98,1238,0,46,0
293,A_09661,50016,32918,0,7535,1859,1438,3442,14256,727,353,251,151,231,0,10,0,142,0,3,45,35,0,0,1316,0,19,0,66,482,0,46,0
294,A_09662,39119,23520,0,6072,1032,1836,1735,10005,481,204,127,190,123,0,9,0,88,0,3,18,27,0,0,848,0,34,0,27,380,0,14,0
295,A_09663,99818,68919,0,15618,4152,3347,10174,27301,2086,259,442,339,663,0,19,0,140,0,7,63,18,0,0,2787,0,41,0,129,814,0,71,0
296,A_09671,134155,98392,0,20873,5144,3253,7693,47485,1818,1197,847,588,560,0,42,0,421,0,12,145,40,0,0,3947,0,137,0,197,2420,0,120,0
297,A_09672,84663,59821,0,10263,2709,2574,4022,32498,1158,639,359,442,438,0,28,0,268,0,11,65,16,0,0,2115,0,55,0,109,1315,0,87,0
298,A_09673,64940,46107,0,7466,2221,2117,2977,25522,869,475,254,207,206,0,26,0,196,0,8,51,10,0,0,1469,0,28,0,83,1322,0,55,0
299,A_09674,68391,49427,0,10202,2412,2255,2875,24740,953,904,306,235,475,0,13,0,292,0,8,51,14,0,0,1404,0,42,0,119,1492,0,97,0
300,A_09675,69454,49423,0,9865,2145,1917,3502,24998,982,456,316,341,355,0,17,0,391,0,10,39,4,0,0,1555,0,31,0,92,1916,0,52,0
301,A_09676,96417,68772,0,14736,3381,2391,4570,33678,1201,784,487,374,518,0,106,0,244,0,16,81,14,0,0,2550,0,46,0,153,2472,0,65,0
302,A_09677,101345,74365,0,15750,3032,2448,5402,36275,1469,620,632,627,397,0,45,0,281,0,15,86,11,0,0,3033,0,44,0,148,3147,0,101,0
303,A_09678,91577,68332,0,12935,2729,3187,4666,36261,1030,673,409,587,381,0,30,0,349,0,10,57,21,0,0,2262,0,56,0,145,1745,0,89,0
304,A_09679,126779,97674,0,21607,4333,3290,9137,46886,1928,687,694,940,725,0,30,0,355,0,13,104,11,0,0,3601,0,53,0,190,2106,0,111,0
305,A_09761,187230,119202,0,26667,5466,6814,12951,50572,3140,776,898,516,953,0,104,0,609,0,39,191,80,0,0,6233,0,110,0,225,1696,0,121,0
306,A_09762,31405,19628,0,3405,959,852,1585,9964,425,137,152,62,185,0,4,0,232,0,1,17,8,0,0,938,0,11,0,53,468,0,26,0
307,A_09763,48019,29603,0,5835,1776,1459,2662,13660,533,138,239,277,362,0,22,0,130,0,7,35,14,0,0,1526,0,14,0,53,644,0,21,0
308,A_09764,29909,19125,0,3883,937,696,1414,9107,355,231,123,89,460,0,4,0,88,0,5,21,1,0,0,1045,0,14,0,35,424,0,14,0
309,A_09771,98501,71362,0,10997,3292,1982,4899,39742,1230,463,532,557,866,0,108,0,912,0,5,78,9,0,0,3551,0,48,0,135,1428,0,55,0
310,A_09772,184614,131682,0,23183,6105,4548,9429,69124,2357,987,1067,704,1153,0,275,0,990,0,28,173,38,0,0,6913,0,113,0,308,3102,0,144,0
