,teryt_code,eligible_voters,issued_ballots,cdu,spd,linke,gruene,csu,fdp,afd,piraten,npd,freiewahler,tierschutz,oedp,partei,bp,volksabstimmung,pdv,mlpd,bueso,sgp,rechte,addemokraten,tierschutzallianz,bstern,bge,dib,dkp,dm,grauen,du,mg,menschliche,humanisten,gesundheitsforschung,vpartei3
130,A_06531,199159,153223,44416,35881,13137,15509,0,16085,18292,623,604,2017,1453,374,1922,0,0,0,112,40,0,0,0,0,0,262,0,120,235,0,0,0,0,0,0,250
131,A_06532,190754,140329,46885,33964,9119,9342,0,13230,19258,491,850,1391,1308,336,1294,0,0,0,34,28,0,0,0,0,0,220,0,46,386,0,0,0,0,0,0,161
132,A_06533,129367,98560,34318,22187,6099,6802,0,11161,12344,318,345,1171,1102,95,752,0,0,0,19,16,0,0,0,0,0,160,0,13,127,0,0,0,0,0,0,152
133,A_06534,183296,142365,42377,37202,14420,13088,0,12191,16125,527,357,950,1148,312,1296,0,0,0,45,33,0,0,0,0,0,297,0,64,180,0,0,0,0,0,0,174
134,A_06535,85245,64773,20310,16648,4244,4226,0,6160,8933,180,418,821,585,87,377,0,0,0,12,12,0,0,0,0,0,108,0,13,94,0,0,0,0,0,0,82
135,A_06611,140832,102778,23945,25872,13805,13917,0,9038,10083,549,243,622,944,162,1203,0,0,0,145,17,0,0,0,0,0,376,0,47,258,0,0,0,0,0,0,163
136,A_06631,169854,131311,52627,20829,7163,8594,0,14021,20794,352,511,756,1040,299,1020,0,0,0,29,21,0,0,0,0,0,197,0,26,250,0,0,0,0,0,0,170
137,A_06632,94380,71926,21175,22419,4280,3628,0,6242,10382,227,402,583,550,55,433,0,0,0,21,16,0,0,0,0,0,76,0,12,105,0,0,0,0,0,0,75
138,A_06633,189184,148771,40689,49005,10820,10668,0,13247,16599,548,424,1075,1495,129,971,0,0,0,69,24,0,0,0,0,0,235,0,21,219,0,0,0,0,0,0,157
139,A_06634,143270,111857,30829,35770,7071,7199,0,9827,14122,385,511,1692,1035,90,740,0,0,0,22,15,0,0,0,0,0,148,0,25,136,0,0,0,0,0,0,131
140,A_06635,124064,93044,30300,24415,6142,6247,0,9970,11399,328,333,850,732,98,510,0,0,0,19,10,0,0,0,0,0,112,0,16,95,0,0,0,0,0,0,80
141,A_06636,81612,61800,17356,20318,4466,4215,0,4854,6791,203,206,646,481,80,421,0,0,0,14,11,0,0,0,0,0,126,0,21,105,0,0,0,0,0,0,72
142,A_07111,84958,63987,22712,14354,5105,6253,0,7193,5316,397,88,545,0,147,919,0,0,0,17,0,0,0,0,0,0,102,0,0,0,0,0,0,0,0,0,176
143,A_07131,101162,80230,33243,16190,4520,5723,0,10353,6997,313,251,596,0,221,659,0,0,0,16,0,0,0,0,0,0,169,0,0,0,0,0,0,0,0,0,202
144,A_07132,100773,75957,29170,19147,4750,3962,0,7488,8213,304,225,833,0,178,555,0,0,0,40,0,0,0,0,0,0,118,0,0,0,0,0,0,0,0,0,152
