,teryt_code,eligible_voters,issued_ballots,cdu,spd,gruene,csu,linke,fdp,rep,tierschutz,familie,oedp,frauen,volksabstimmung,pbc,cm,aufbruch,dkp,bp,psg,bueso,50plus,auf,dvu,grauen,violetten,ede,fbi,volksentscheide,fw,newropeans,piraten,rrp,renter
235,A_08435,152434,79651,31603,10922,12311,0,1995,11473,839,989,805,524,205,289,333,252,98,26,80,18,35,203,107,134,132,281,37,102,165,1323,49,629,317,699
236,A_08436,201576,105914,44818,11887,15371,0,2553,13928,1431,1281,1520,2091,330,377,535,434,159,39,108,35,42,302,215,150,146,277,40,94,189,1804,54,783,367,684
237,A_08437,96685,52386,25361,5666,4805,0,1052,6599,1286,592,731,218,142,183,213,189,86,24,31,13,28,102,67,73,85,113,16,62,100,691,17,346,158,363
240,A_09161,88885,30825,0,3638,3230,16124,908,2467,332,173,109,994,52,45,97,23,33,14,238,2,8,43,30,104,27,42,7,15,27,1318,10,323,90,115
241,A_09162,896703,387606,0,65266,82663,127500,12034,52506,2624,3372,1083,7356,689,541,518,387,500,396,3148,120,196,761,313,844,441,1010,170,239,384,11937,370,4424,2412,1810
242,A_09163,41249,16033,0,1786,2061,7562,398,1390,515,133,72,442,23,22,19,39,22,12,234,8,11,28,12,26,32,29,8,9,22,604,10,126,144,109
243,A_09171,82893,33822,0,3600,2481,18914,578,2686,461,199,123,738,43,54,29,71,42,17,508,9,44,49,22,51,35,48,5,16,31,1974,11,204,128,405
244,A_09172,74108,29585,0,2567,3169,16735,539,2237,579,221,103,608,41,37,81,105,29,15,420,10,1,40,37,65,34,53,7,9,18,1192,6,129,129,148
245,A_09173,90270,40813,0,3470,4886,21279,610,4176,369,292,158,804,62,93,44,69,86,18,753,4,15,59,43,69,40,120,11,30,41,1973,23,243,420,273
246,A_09174,98562,43730,0,4943,5093,21965,762,3914,410,389,214,1131,64,63,63,76,65,19,614,7,14,94,22,89,47,88,15,35,55,2360,14,325,285,234
247,A_09175,93164,46643,0,5277,6812,22104,749,4548,330,433,225,1148,81,85,53,69,88,23,595,9,13,86,33,63,53,103,12,25,49,2379,20,326,332,228
248,A_09176,94476,43694,0,4463,3153,25251,672,2608,371,217,204,1182,57,48,86,67,31,12,435,4,9,44,32,70,18,56,6,28,35,3707,19,273,112,142
249,A_09177,92806,40599,0,3467,4892,20291,647,3262,972,335,199,1486,53,70,33,50,51,17,652,8,8,69,45,49,36,73,15,39,43,2780,7,256,265,197
250,A_09178,117476,51034,0,4527,8298,23251,971,4426,476,414,256,1406,98,74,71,52,87,33,599,11,11,95,35,98,59,148,15,45,72,3946,52,494,353,255
251,A_09179,150785,71485,0,9039,11064,32527,1359,7078,569,605,278,1015,105,119,94,87,107,31,819,8,26,162,41,134,104,141,29,34,83,3799,38,541,622,472
252,A_09180,65121,27655,0,1789,2487,15742,358,2739,161,194,99,812,31,45,44,36,54,12,689,0,2,49,23,49,23,84,15,14,27,1248,12,104,302,203
253,A_09181,84986,38726,0,3528,5807,19184,749,3746,311,314,183,911,70,54,66,66,57,11,854,3,6,58,114,66,42,127,11,23,59,1520,18,268,151,126
254,A_09182,71502,33465,0,2892,3591,17962,467,3461,296,280,131,544,53,57,26,54,48,9,625,3,9,71,23,59,39,91,11,30,34,1754,7,170,197,204
255,A_09183,83938,34689,0,2614,2803,20470,511,2339,490,234,145,745,49,72,49,77,53,16,679,9,11,74,26,65,36,82,10,38,39,2100,11,215,145,223
256,A_09184,229521,115686,0,15663,17751,50278,1956,15381,977,936,516,2045,164,158,109,111,140,47,1141,13,42,243,73,191,112,224,34,85,117,4469,59,888,655,561
257,A_09185,69302,29366,0,2483,1888,17664,470,1955,270,194,141,314,51,52,39,45,27,11,383,4,3,47,14,68,21,41,4,28,23,2599,9,168,78,108
258,A_09186,88261,37665,0,3678,3345,20668,720,3189,349,247,191,815,64,70,53,49,52,14,508,3,10,65,30,76,28,48,8,18,43,2501,29,301,151,152
259,A_09187,185131,84692,0,6706,9644,44939,1169,7163,1885,644,341,2583,111,146,97,165,103,42,1893,15,44,134,79,136,74,304,16,69,112,4004,45,485,527,486
260,A_09188,94975,49098,0,5057,8361,21625,757,7443,290,345,158,900,53,72,52,48,64,10,481,6,18,90,38,93,32,133,15,22,51,1939,14,324,242,185
261,A_09189,130926,56609,0,5277,7033,30304,938,3978,697,377,181,1440,82,91,144,153,57,19,1522,10,31,78,38,105,58,234,8,39,44,2401,19,274,286,331
262,A_09190,98690,44135,0,4798,4987,22143,874,3685,423,332,262,1828,68,85,75,83,83,24,732,6,8,90,58,82,55,104,16,83,48,1866,13,245,330,329
263,A_09261,47340,18571,0,1942,2471,9344,430,1564,146,164,66,492,35,18,20,25,16,11,187,4,5,26,11,46,20,93,5,16,14,974,10,142,61,89
264,A_09262,38546,14578,0,2146,1617,6692,461,1510,111,96,27,849,25,8,18,18,14,4,99,2,3,19,15,26,29,27,4,5,13,409,19,137,51,54
265,A_09263,34297,11777,0,1262,610,6950,274,770,168,87,23,593,21,17,17,11,15,7,126,0,5,16,9,30,10,17,2,9,15,470,5,61,36,49
266,A_09271,90832,31812,0,2884,1905,17281,728,2381,760,239,121,849,45,38,80,44,31,10,558,5,7,38,23,75,24,52,6,21,27,2955,13,164,107,143
267,A_09272,63891,18737,0,1700,966,10542,484,1264,303,121,64,552,25,20,31,24,26,7,457,2,4,17,9,37,17,34,6,7,17,1653,6,69,75,98
268,A_09273,85508,34426,0,3584,2257,20028,597,2364,354,217,168,1026,56,54,29,46,34,18,339,5,1,43,26,96,15,70,5,10,30,2368,9,192,77,111
269,A_09274,114047,51506,0,3807,3807,28730,752,3443,721,380,236,1488,84,62,45,77,61,18,728,6,12,86,33,80,36,154,14,35,48,5485,31,322,136,183
270,A_09275,147761,50583,0,5234,3031,27876,1149,4032,597,372,222,2113,84,63,64,90,62,15,731,10,14,73,33,121,55,95,9,29,53,3330,19,218,183,252
271,A_09276,63345,19705,0,2004,852,11163,415,1293,346,107,66,677,44,23,33,24,19,10,358,1,3,15,14,32,13,20,2,10,14,1706,5,115,73,118
272,A_09277,91833,32804,0,2570,1946,18389,537,2458,326,241,116,1283,53,52,30,81,42,8,612,6,35,50,27,79,33,38,8,24,34,3004,29,169,104,186
273,A_09278,75392,32398,0,2036,1043,20187,397,1831,480,163,122,1926,42,37,18,16,19,7,488,3,11,27,18,54,22,36,8,25,26,2806,5,173,55,109
274,A_09279,70176,27275,0,2513,1173,16261,432,1665,560,171,120,987,54,45,20,45,41,16,459,3,5,32,20,52,22,55,1,19,20,1885,16,136,98,157
275,A_09361,33638,11929,0,1981,1047,5671,293,966,107,84,44,503,21,20,15,21,10,7,82,2,1,14,8,39,7,15,6,14,28,671,3,80,47,57
276,A_09362,100204,39187,0,5183,6477,17098,1318,3320,331,394,126,1307,77,57,60,50,35,26,284,10,9,41,29,87,34,91,14,19,35,1634,20,463,200,167
277,A_09363,33339,12029,0,2234,929,5674,321,956,157,97,60,228,32,22,27,16,13,7,134,2,2,15,9,28,7,19,4,13,116,597,3,84,39,66
278,A_09371,82815,34668,0,5225,2116,17384,738,2302,506,206,191,1215,65,68,69,53,46,18,365,11,4,48,28,96,29,33,10,36,56,2991,7,194,107,151
279,A_09372,101943,37194,0,2489,1747,21288,683,2051,426,273,146,760,64,51,66,55,55,11,531,7,10,30,37,92,23,37,4,22,33,5466,19,171,117,141
280,A_09373,97899,45546,0,3437,3076,27012,716,2542,422,284,197,784,62,56,55,80,55,17,380,4,10,112,43,120,29,73,9,35,36,4940,26,239,198,190
281,A_09374,77274,34350,0,5226,1597,17619,569,2026,386,218,151,686,74,80,31,60,25,8,534,5,5,42,23,89,17,33,4,27,772,3288,9,201,79,130
282,A_09375,142842,61968,0,6920,4954,32576,1233,4293,909,559,304,1802,114,68,90,87,57,13,720,12,21,80,47,121,52,153,18,55,49,5414,31,386,223,254
283,A_09376,114015,43735,0,6694,2222,23298,1032,2405,571,346,202,1151,91,75,58,60,54,15,604,5,9,69,33,125,31,59,4,40,75,3428,15,268,127,213
284,A_09377,61440,28450,0,3728,1255,15689,516,1744,358,233,149,297,45,47,36,70,26,18,329,4,9,49,18,61,23,32,1,25,311,2725,7,150,73,112
