,teryt_code,eligible_voters,issued_ballots,spd,cdu,csu,gruene,fdp,linke,offensived,rep,npd,tierschutz,graue,pbc,frauen,familie,bueso,bp,zentrum,deutschland,agfg,appd,50plus,mlpd,partei,psg,prodm
273,A_09471,111662,90007,19193,0,48677,4613,7419,2981,0,1797,2148,0,233,225,271,765,65,498,0,0,0,0,0,67,0,0,0
274,A_09472,85960,68689,19114,0,34356,3166,5484,2312,0,1191,1079,0,186,245,183,394,24,158,0,0,0,0,0,14,0,0,0
275,A_09473,71852,57035,19075,0,24940,2975,4678,2231,0,380,1248,0,144,94,153,362,22,91,0,0,0,0,0,51,0,0,0
276,A_09474,86715,70374,16890,0,36142,4800,6083,2120,0,1301,1012,0,161,297,160,414,31,208,0,0,0,0,0,22,0,0,0
277,A_09475,84329,65854,20564,0,30082,3022,5373,2689,0,663,942,0,215,480,165,466,38,203,0,0,0,0,0,17,0,0,0
278,A_09476,59816,46719,14380,0,22898,1544,3343,1489,0,312,1233,0,94,163,115,239,31,93,0,0,0,0,0,27,0,0,0
279,A_09477,62383,48738,15614,0,22334,2315,3697,2081,0,510,897,0,110,145,134,273,29,108,0,0,0,0,0,20,0,0,0
280,A_09478,55406,43130,10670,0,23225,1724,3065,1250,0,349,1200,0,96,110,115,255,29,105,0,0,0,0,0,17,0,0,0
281,A_09479,65562,49145,16998,0,20093,2484,3626,2213,0,470,1246,0,179,162,141,333,45,225,0,0,0,0,0,18,0,0,0
282,A_09561,30941,22522,7731,0,8586,2105,1825,934,0,243,293,0,75,148,70,151,10,38,0,0,0,0,0,13,0,0,0
283,A_09562,73870,58263,19450,0,21201,7553,5635,2138,0,195,478,0,180,183,100,275,66,92,0,0,0,0,0,42,0,0,0
284,A_09563,81228,58878,20806,0,21131,5497,4822,3071,0,413,1204,0,238,213,143,365,36,102,0,0,0,0,0,55,0,0,0
285,A_09564,338386,254954,87155,0,94931,25437,20732,12819,0,1562,4032,0,1137,883,570,1112,146,929,0,0,0,0,0,279,0,0,0
286,A_09565,28942,22393,7226,0,9070,1928,2029,954,0,162,270,0,73,147,45,117,5,93,0,0,0,0,0,7,0,0,0
287,A_09571,139238,108607,29192,0,51718,7805,8551,3862,0,1493,1787,0,321,937,358,768,65,255,0,0,0,0,0,63,0,0,0
288,A_09572,98785,81614,24583,0,36169,7170,7549,2436,0,453,1075,0,226,254,156,420,104,187,0,0,0,0,0,26,0,0,0
289,A_09573,87673,72102,23519,0,29679,5502,6588,2769,0,692,1117,0,260,303,182,443,31,164,0,0,0,0,0,33,0,0,0
290,A_09574,127822,104540,35034,0,43918,8329,8358,3696,0,670,1525,0,272,534,243,499,37,230,0,0,0,0,0,38,0,0,0
291,A_09575,77060,59879,16219,0,28838,4161,4907,2043,0,512,1053,0,173,268,153,519,37,147,0,0,0,0,0,33,0,0,0
292,A_09576,95472,78697,22849,0,37865,5030,5896,2637,0,543,1003,0,216,337,201,436,35,145,0,0,0,0,0,38,0,0,0
293,A_09577,72577,56406,16852,0,26747,3417,4058,1741,0,746,983,0,124,398,156,325,26,112,0,0,0,0,0,25,0,0,0
294,A_09661,49859,36395,10020,0,15428,3398,3849,1493,0,453,448,0,133,55,101,197,37,63,0,0,0,0,0,61,0,0,0
295,A_09662,39663,28274,9101,0,11023,1873,2228,2079,0,624,321,0,92,73,69,104,11,51,0,0,0,0,0,49,0,0,0
296,A_09663,98365,74987,21134,0,28539,10648,7768,3009,0,1552,301,0,288,220,169,344,41,123,0,0,0,0,0,42,0,0,0
297,A_09671,132365,107888,27763,0,51140,7652,11034,3459,0,1721,1159,0,302,143,312,855,55,274,0,0,0,0,0,91,0,0,0
298,A_09672,86077,67838,14156,0,35883,3906,6168,3185,0,1328,980,0,185,273,193,421,29,143,0,0,0,0,0,29,0,0,0
299,A_09673,65823,52295,10241,0,28547,2868,4786,2453,0,686,890,0,131,185,168,327,26,87,0,0,0,0,0,18,0,0,0
300,A_09674,68682,55157,13257,0,27215,2872,4934,2784,0,687,1375,0,125,145,188,446,31,148,0,0,0,0,0,49,0,0,0
301,A_09675,67878,53534,13755,0,25863,3552,4932,2002,0,808,863,0,136,180,168,394,30,131,0,0,0,0,0,19,0,0,0
302,A_09676,95989,76400,20256,0,37701,4820,6819,2196,0,1126,812,0,189,154,232,534,60,151,0,0,0,0,0,39,0,0,0
303,A_09677,101718,82022,21572,0,40460,5519,6478,2710,0,1592,868,0,247,324,234,476,64,159,0,0,0,0,0,45,0,0,0
304,A_09678,90704,74622,17033,0,37095,4827,6160,4097,0,1858,853,0,227,209,263,546,42,181,0,0,0,0,0,60,0,0,0
305,A_09679,123722,103422,28098,0,46880,9053,9170,3812,0,2624,627,0,326,299,258,638,55,225,0,0,0,0,0,28,0,0,0
306,A_09761,182835,133940,37559,0,57756,14322,11620,5483,0,1187,1450,0,438,302,320,610,232,401,0,0,0,0,0,107,0,0,0
307,A_09762,31886,23137,5166,0,11731,1582,2424,856,0,181,322,0,85,59,50,155,21,175,0,0,0,0,0,13,0,0,0
308,A_09763,46442,33450,8326,0,15667,2590,3587,1249,0,552,362,0,134,83,110,232,30,118,0,0,0,0,0,25,0,0,0
309,A_09764,29715,22200,5310,0,10671,1674,2207,695,0,208,396,0,87,155,55,179,14,64,0,0,0,0,0,8,0,0,0
310,A_09771,94771,77237,15062,0,42521,5620,7392,2076,0,1400,770,0,179,178,160,434,53,398,0,0,0,0,0,31,0,0,0
