,teryt_code,eligible_voters,issued_ballots,spd,cdu,csu,gruene,fdp,pds,deutschland,appd,apd,bp,bueso,bfb,c2000,cm,dpd,dvu,graue,rep,familie,frauen,hp,prodm,mlpd,tierschutz,npd,naturgesetz,forum,oedp,pbc,ab2000,nichwahler,pass,psg
119,A_06411,97353,80757,31338,23904,0,12479,6744,1556,0,67,0,0,12,222,90,39,0,476,292,1010,0,139,0,272,0,306,238,86,0,61,154,0,0,0,12
120,A_06412,381829,308087,108098,99634,0,43078,26635,7646,0,321,0,0,105,1536,305,140,0,3046,1372,7149,0,348,0,1835,0,1349,476,481,0,243,294,0,0,0,53
121,A_06413,68630,54299,21034,17911,0,5275,4038,1133,0,53,0,0,14,253,43,29,0,481,139,2091,0,61,0,389,0,205,170,64,0,43,35,0,0,0,11
122,A_06414,185832,151643,56877,52923,0,14753,13069,2372,0,135,0,0,118,949,108,104,0,1051,544,4792,0,140,0,637,0,426,129,98,0,90,329,0,0,0,25
123,A_06431,193655,164562,67124,60533,0,10796,11813,1674,0,133,0,0,38,334,112,103,0,1709,693,4497,0,127,0,1120,0,782,219,121,0,97,158,0,0,0,23
124,A_06432,202388,172499,73633,55313,0,15705,13904,2266,0,158,0,0,57,388,141,162,0,1211,509,2855,0,259,0,837,0,706,785,187,0,124,395,0,0,0,41
125,A_06433,166121,141110,64093,43409,0,11929,9116,2108,0,129,0,0,101,460,93,76,0,1199,372,3687,0,106,0,853,0,567,182,224,0,73,162,0,0,0,11
126,A_06434,162108,140250,44409,55093,0,12393,18066,1740,0,108,0,0,40,1038,124,57,0,936,275,2443,0,125,0,712,0,459,155,104,0,141,126,0,0,0,21
127,A_06435,289817,243611,97892,84792,0,17375,17615,3670,0,209,0,0,97,612,270,200,0,3697,554,8648,0,326,0,1575,0,988,366,158,0,140,377,0,0,0,49
128,A_06436,157716,137101,44542,54186,0,11548,15157,1545,0,126,0,0,40,2603,86,74,0,831,298,2593,0,96,0,669,0,472,178,170,0,105,101,0,0,0,18
129,A_06437,71232,60538,27844,19530,0,4050,3718,763,0,61,0,0,10,104,37,43,0,551,165,1517,0,39,0,299,0,253,209,47,0,42,117,0,0,0,10
130,A_06438,231478,197406,72114,75804,0,15739,17763,2331,0,162,0,0,52,958,126,180,0,1234,522,4323,0,125,0,1367,0,744,348,225,0,220,128,0,0,0,34
131,A_06439,134103,114677,42744,43084,0,9292,10406,1364,0,124,0,0,53,674,90,53,0,959,219,2441,0,117,0,498,0,393,110,77,0,89,206,0,0,0,18
132,A_06440,211682,177648,73043,61160,0,12623,14119,2205,0,182,0,0,65,1045,170,97,0,1526,304,3223,0,205,0,1268,0,664,2190,126,0,93,350,0,0,0,35
133,A_06531,184034,153632,63029,50122,0,12913,12837,2502,0,146,0,0,28,1103,97,59,0,1477,340,4035,0,132,0,1222,0,554,392,108,0,90,367,0,0,0,22
134,A_06532,192449,156534,67936,53198,0,8243,10396,1885,0,132,0,0,37,887,82,169,0,1677,225,4544,0,96,0,1504,0,444,1645,86,0,93,909,0,0,0,24
135,A_06533,128317,107285,42402,44511,0,5243,6569,1085,0,106,0,0,31,393,82,65,0,1117,198,2055,0,95,0,702,0,299,203,59,0,64,89,0,0,0,24
136,A_06534,181430,153443,65679,50302,0,13927,9506,2845,0,187,0,0,121,350,123,256,0,1008,209,4532,0,132,0,1001,0,370,442,155,0,140,345,0,0,0,19
137,A_06535,91406,77061,33646,24892,0,4203,6696,996,0,73,0,0,17,647,53,42,0,1131,106,2049,0,64,0,558,0,224,115,42,0,42,170,0,0,0,15
138,A_06611,140372,115731,50883,33953,0,13845,6998,2511,0,88,0,0,24,838,187,67,0,867,370,1692,0,134,0,781,0,387,116,88,0,60,145,0,0,0,40
139,A_06631,160839,138284,41419,66558,0,7023,8565,1572,0,118,0,0,35,1544,153,178,0,2801,295,3402,0,147,0,913,0,399,155,64,0,96,298,0,0,0,28
140,A_06632,102716,88455,44409,26823,0,4177,4387,889,0,76,0,0,18,2437,37,59,0,1344,154,1051,0,55,0,513,0,213,160,30,0,17,114,0,0,0,12
141,A_06633,190870,167288,91286,44920,0,10231,9290,1940,0,93,0,0,29,1319,119,59,0,1347,404,1891,0,134,0,1144,0,518,150,106,0,44,146,0,0,0,31
142,A_06634,149857,130522,67938,36936,0,6926,8440,1458,0,109,0,0,27,876,98,51,0,1055,289,2418,0,95,0,887,0,370,259,39,0,44,143,0,0,0,14
143,A_06635,129433,108645,47729,36600,0,5598,9051,1188,0,73,0,0,25,547,77,75,0,905,272,2959,0,83,0,960,0,307,211,46,0,119,198,0,0,0,18
144,A_06636,91535,78816,40757,22067,0,4575,5090,972,0,57,0,0,12,459,44,27,0,498,126,1698,0,47,0,674,0,210,83,94,0,34,59,0,0,0,14
145,A_07111,83678,68413,27218,27256,0,5133,4775,796,0,0,0,0,0,86,0,0,0,472,202,551,0,61,0,516,0,256,81,45,0,113,81,0,0,0,0
146,A_07131,95798,80978,25976,38688,0,4559,7140,672,0,0,0,0,0,161,0,0,0,452,211,759,0,41,0,480,0,282,115,54,0,235,85,0,0,0,0
147,A_07132,101523,84740,36013,33831,0,4276,5395,756,0,0,0,0,0,88,0,0,0,514,135,1032,0,55,0,739,0,273,124,59,0,95,395,0,0,0,0
148,A_07133,119204,99702,44781,35097,0,5900,7210,965,0,0,0,0,0,147,0,0,0,754,228,1662,0,78,0,687,0,461,179,68,0,115,157,0,0,0,0
149,A_07134,71068,57514,26785,19653,0,2575,3976,580,0,0,0,0,0,67,0,0,0,634,141,1144,0,63,0,587,0,259,107,49,0,44,92,0,0,0,0
150,A_07135,51503,44373,13392,23413,0,1831,3186,260,0,0,0,0,0,38,0,0,0,212,117,428,0,52,0,312,0,170,49,28,0,28,68,0,0,0,0
151,A_07137,159390,133480,55069,56123,0,6789,8448,957,0,0,0,0,0,132,0,0,0,839,269,1162,0,91,0,843,0,411,154,72,0,173,270,0,0,0,0
152,A_07138,135849,114373,47591,44747,0,6558,8141,1238,0,0,0,0,0,136,0,0,0,936,323,1064,0,96,0,939,0,457,133,80,0,200,310,0,0,0,0
153,A_07140,79618,66844,25289,27920,0,3767,5314,579,0,0,0,0,0,78,0,0,0,475,140,834,0,73,0,443,0,248,61,54,0,100,122,0,0,0,0
154,A_07141,98685,82894,37863,28575,0,4634,5881,836,0,0,0,0,0,207,0,0,0,892,167,1187,0,58,0,642,0,367,112,82,0,68,125,0,0,0,0
155,A_07143,148264,125150,49733,51903,0,6362,8412,1249,0,0,0,0,0,183,0,0,0,1043,335,1853,0,158,0,1056,0,555,208,119,0,98,301,0,0,0,0
156,A_07211,75854,59786,24583,21945,0,6099,3659,693,0,0,0,0,0,33,0,0,0,222,262,649,0,34,0,261,0,173,34,32,0,89,60,0,0,0,0
