,teryt_code,eligible_voters,issued_ballots,spd,cdu,csu,gruene,fdp,pds,rep,graue,tierschutz,npd,oedp,pbc,frauen,bp,familie,cm,bueso,hp,violetten,aufbruch,zentrum,kpd,prg,schill
115,A_05970,218988,177268,73305,66870,0,12274,15569,1775,916,248,635,390,287,1214,107,0,320,112,15,24,26,0,25,0,0,1293
116,A_05974,228436,184172,70312,73152,0,13136,18903,1824,1581,340,595,301,63,140,182,0,468,180,22,15,37,0,63,0,0,745
117,A_05978,315197,256054,133332,72930,0,18448,19698,2714,1041,429,997,807,55,218,267,0,524,120,24,25,44,0,45,0,0,1719
118,A_06411,97323,77484,28911,22748,0,15443,5800,1557,267,171,386,183,47,122,0,0,0,35,49,0,0,0,0,0,0,378
119,A_06412,383726,295529,99816,96219,0,53778,24463,7190,1817,675,2055,999,216,354,0,0,0,119,166,0,0,0,0,0,0,2707
120,A_06413,68061,50467,18659,17962,0,6114,3708,1008,564,120,339,230,30,72,0,0,0,37,18,0,0,0,0,0,0,586
121,A_06414,186838,143782,52034,51054,0,19605,12233,2047,1375,266,653,256,102,248,0,0,0,85,171,0,0,0,0,0,0,1236
122,A_06431,196599,158915,61830,61007,0,14374,12345,1434,1534,393,1172,368,96,371,0,0,0,119,58,0,0,0,0,0,0,693
123,A_06432,208098,171041,69120,57859,0,20178,13800,2096,929,398,1163,626,117,443,0,0,0,159,49,0,0,0,0,0,0,778
124,A_06433,169053,136988,58534,43275,0,15307,10446,1863,1846,307,843,394,106,235,0,0,0,86,71,0,0,0,0,0,0,769
125,A_06434,164196,137015,41178,58107,0,16150,15143,1561,967,196,677,203,121,160,0,0,0,93,62,0,0,0,0,0,0,684
126,A_06435,294876,236484,91665,89246,0,20720,18850,2844,3055,428,1554,691,159,341,0,0,0,188,84,0,0,0,0,0,0,1658
127,A_06436,162039,136572,43003,57291,0,15582,14007,1401,880,252,672,338,126,140,0,0,0,74,41,0,0,0,0,0,0,740
128,A_06437,72928,58474,25371,20423,0,4799,4100,710,678,85,326,148,36,92,0,0,0,60,21,0,0,0,0,0,0,242
129,A_06438,235926,194171,66070,79077,0,20948,17326,2200,1187,381,1005,520,173,176,0,0,0,199,80,0,0,0,0,0,0,1430
130,A_06439,136273,112278,40503,43510,0,12140,10362,1122,791,179,576,260,97,159,0,0,0,39,55,0,0,0,0,0,0,738
131,A_06440,217333,174377,66357,64350,0,17309,15243,1788,774,311,911,1705,104,376,0,0,0,95,53,0,0,0,0,0,0,1033
132,A_06531,187203,149769,59618,52251,0,15284,13327,2275,1006,222,686,621,106,468,0,0,0,102,58,0,0,0,0,0,0,719
133,A_06532,193937,148829,60567,57073,0,10346,10950,1437,1182,165,675,1189,110,1136,0,0,0,168,20,0,0,0,0,0,0,872
134,A_06533,130838,103565,37468,46491,0,6914,7232,849,695,172,519,332,49,121,0,0,0,59,36,0,0,0,0,0,0,556
135,A_06534,181936,144891,60301,50292,0,14955,10068,2660,1669,160,685,308,113,587,0,0,0,162,120,0,0,0,0,0,0,620
136,A_06535,91849,72839,29895,26888,0,4810,6693,760,774,87,333,298,48,139,0,0,0,54,23,0,0,0,0,0,0,371
137,A_06611,138007,105527,46143,30875,0,14987,6782,2324,312,354,500,371,72,156,0,0,0,71,37,0,0,0,0,0,0,905
138,A_06631,163908,134188,37358,70377,0,8630,9492,1127,988,204,577,832,138,211,0,0,0,166,49,0,0,0,0,0,0,1067
139,A_06632,101578,81912,39582,27353,0,4812,5334,883,484,136,435,397,24,164,0,0,0,56,24,0,0,0,0,0,0,593
140,A_06633,192323,159756,82986,45465,0,12384,10560,1600,616,322,682,417,65,193,0,0,0,80,49,0,0,0,0,0,0,1227
141,A_06634,150496,122154,60991,37306,0,8423,8652,1272,774,163,514,479,66,182,0,0,0,76,29,0,0,0,0,0,0,658
142,A_06635,129871,101354,42362,37601,0,6903,8795,1033,806,157,431,305,75,273,0,0,0,68,17,0,0,0,0,0,0,513
143,A_06636,89639,71966,35174,21954,0,5137,5216,850,463,127,351,143,28,64,0,0,0,34,14,0,0,0,0,0,0,608
144,A_07111,82159,63643,24070,25404,0,5823,5508,737,205,0,365,172,132,105,0,0,0,0,0,0,0,0,0,0,0,315
145,A_07131,98391,80093,23294,38374,0,6246,8674,662,332,0,512,206,187,104,0,0,0,0,0,0,0,0,0,0,0,384
146,A_07132,103109,82348,31195,34510,0,5315,7276,687,404,0,524,198,69,613,0,0,0,0,0,0,0,0,0,0,0,403
147,A_07133,120556,95843,39503,34513,0,7413,9312,942,622,0,736,401,136,224,0,0,0,0,0,0,0,0,0,0,0,443
148,A_07134,70841,53165,22170,18585,0,3015,5488,577,703,0,403,205,52,82,0,0,0,0,0,0,0,0,0,0,0,237
149,A_07135,52169,42762,11960,22840,0,1927,4166,253,169,0,285,141,26,110,0,0,0,0,0,0,0,0,0,0,0,164
150,A_07137,163513,129492,48192,55564,0,8804,11412,934,511,0,796,317,157,312,0,0,0,0,0,0,0,0,0,0,0,595
151,A_07138,137907,110324,42040,44855,0,8003,9946,1120,466,0,811,294,117,622,0,0,0,0,0,0,0,0,0,0,0,560
152,A_07140,81259,65882,23356,28022,0,4402,6906,611,318,0,474,181,104,219,0,0,0,0,0,0,0,0,0,0,0,305
153,A_07141,99720,80141,34268,28633,0,5938,7256,798,549,0,522,264,83,260,0,0,0,0,0,0,0,0,0,0,0,467
154,A_07143,152235,122815,43986,54086,0,7540,11015,1078,676,0,862,452,106,634,0,0,0,0,0,0,0,0,0,0,0,634
155,A_07211,75732,56626,22338,20008,0,7294,4456,731,192,0,359,308,73,128,0,0,0,0,0,0,0,0,0,0,0,146
156,A_07231,89936,71209,23328,31605,0,4934,7820,586,392,0,577,285,75,127,0,0,0,0,0,0,0,0,0,0,0,332
157,A_07232,74453,58996,19689,27062,0,3762,5855,348,243,0,424,216,92,116,0,0,0,0,0,0,0,0,0,0,0,214
158,A_07233,49992,40363,12013,20737,0,2369,3482,301,190,0,277,95,43,103,0,0,0,0,0,0,0,0,0,0,0,177
159,A_07235,107761,88599,34901,35174,0,6744,7521,713,358,0,660,436,105,151,0,0,0,0,0,0,0,0,0,0,0,316
160,A_07311,34366,27133,10161,11253,0,1964,2002,263,421,0,177,167,18,81,0,0,0,0,0,0,0,0,0,0,0,165
161,A_07312,72941,53308,21161,18622,0,5123,4599,663,567,0,579,356,72,163,0,0,0,0,0,0,0,0,0,0,0,445
162,A_07313,31234,24544,8982,8899,0,2882,2281,320,163,0,228,135,59,140,0,0,0,0,0,0,0,0,0,0,0,118
163,A_07314,103608,79244,33802,27721,0,5974,5626,1091,1593,0,734,513,91,162,0,0,0,0,0,0,0,0,0,0,0,700
164,A_07315,128322,104185,37514,35986,0,14995,9837,1629,1357,0,556,151,497,126,0,0,0,0,0,0,0,0,0,0,0,484
165,A_07316,41380,33661,11007,14325,0,3452,2919,357,372,0,257,103,63,140,0,0,0,0,0,0,0,0,0,0,0,162
166,A_07317,35363,25697,9669,10061,0,1283,1926,300,995,0,233,88,49,85,0,0,0,0,0,0,0,0,0,0,0,138
167,A_07318,36046,28375,10347,10745,0,2993,2228,401,614,0,235,69,97,66,0,0,0,0,0,0,0,0,0,0,0,166
168,A_07319,58584,44010,17817,15988,0,3340,3737,557,612,0,423,205,44,139,0,0,0,0,0,0,0,0,0,0,0,323
169,A_07320,28137,21225,8904,7150,0,1448,1930,303,273,0,236,167,109,113,0,0,0,0,0,0,0,0,0,0,0,181
170,A_07331,94058,77188,31993,26976,0,5786,7673,717,783,0,698,457,81,256,0,0,0,0,0,0,0,0,0,0,0,535
171,A_07332,104090,85821,32289,32083,0,7299,8644,820,1103,0,817,433,113,311,0,0,0,0,0,0,0,0,0,0,0,582
172,A_07333,59435,46702,20232,15479,0,3253,4269,519,645,0,499,448,52,138,0,0,0,0,0,0,0,0,0,0,0,319
173,A_07334,89717,73135,26320,30144,0,4948,6445,561,1373,0,616,483,248,288,0,0,0,0,0,0,0,0,0,0,0,569
174,A_07335,83229,67155,26533,25995,0,4295,5438,597,849,0,652,491,104,361,0,0,0,0,0,0,0,0,0,0,0,541
175,A_07336,61943,48586,24107,13925,0,2883,3582,560,984,0,503,337,55,160,0,0,0,0,0,0,0,0,0,0,0,366
176,A_07337,84752,70624,24661,28651,0,5704,6773,680,601,0,759,518,120,361,0,0,0,0,0,0,0,0,0,0,0,450
177,A_07338,112884,95757,35684,38017,0,7563,8742,775,1439,0,885,331,122,237,0,0,0,0,0,0,0,0,0,0,0,695
178,A_07339,148612,124633,47885,45487,0,12196,12933,1300,1050,0,927,322,287,216,0,0,0,0,0,0,0,0,0,0,0,617
179,A_07340,82642,68176,23365,29532,0,3735,6084,608,1326,0,723,376,125,268,0,0,0,0,0,0,0,0,0,0,0,507
180,A_08111,357253,289509,102231,100542,0,46344,24489,4093,2762,843,1453,492,371,680,389,0,0,114,173,0,0,0,0,0,231,1337
181,A_08115,246593,205778,67435,85673,0,23287,18133,1668,2085,418,1003,486,243,1751,319,0,0,100,42,0,0,0,0,0,139,953
182,A_08116,348818,292147,98927,120507,0,33745,23135,2250,4385,504,1480,534,412,1399,448,0,0,184,48,0,0,0,0,0,228,1157
183,A_08117,179165,145541,51212,60611,0,14678,10822,1068,2363,142,750,345,181,669,251,0,0,94,27,0,0,0,0,0,133,468
184,A_08118,342077,286672,99861,112909,0,34411,23200,2641,3972,853,1306,562,339,1520,435,0,0,159,70,0,0,0,0,0,284,1075
185,A_08119,286027,235041,77616,96998,0,27372,19724,1915,2899,384,980,537,410,1751,363,0,0,127,56,0,0,0,0,0,219,1311
186,A_08121,77645,60173,22256,24425,0,5077,4612,582,1075,104,216,137,128,162,101,0,0,25,12,0,0,0,0,0,58,274
187,A_08125,226921,186539,63158,80661,0,15700,15480,1417,3063,325,789,638,436,1009,379,0,0,128,30,0,0,0,0,0,212,803
188,A_08126,79196,63598,19222,28837,0,5349,6229,548,745,84,246,353,114,499,119,0,0,44,9,0,0,0,0,0,86,248
189,A_08127,138993,107045,34335,44169,0,11817,9453,950,1491,120,456,459,293,1148,187,0,0,73,15,0,0,0,0,0,96,342
190,A_08128,104010,84908,23470,44014,0,6781,5640,548,1066,72,344,259,421,378,161,0,0,64,19,0,0,0,0,0,96,317
191,A_08135,96978,78431,29707,32741,0,6361,4711,627,1054,77,206,165,317,368,126,0,0,48,11,0,0,0,0,0,76,617
192,A_08136,228049,184528,60702,86826,0,15627,11145,1134,2165,234,566,477,333,1031,295,0,0,127,23,0,0,0,0,0,166,993
193,A_08211,39771,31629,9871,13779,0,3506,2873,337,192,50,157,96,35,81,29,0,0,13,4,0,0,0,0,0,47,135
194,A_08212,196039,155007,56668,53969,0,21976,12823,2373,764,257,607,698,229,512,176,0,0,74,55,0,0,0,0,0,139,1080
195,A_08215,310145,255153,86626,113402,0,21187,19627,1924,2064,347,1362,844,227,1316,452,0,0,237,55,0,0,0,0,0,259,1966
196,A_08216,164437,130931,44137,60280,0,10266,9008,929,1387,159,715,381,136,295,205,0,0,79,25,0,0,0,0,0,148,592
197,A_08221,93086,76177,24804,24322,0,17292,6271,1375,250,131,213,151,136,121,74,0,0,33,17,0,0,0,0,0,36,254
198,A_08222,198538,150891,61488,51258,0,17796,10594,2421,1364,380,819,520,97,359,287,0,0,55,39,0,0,0,0,0,172,1267
199,A_08225,109646,87964,27447,43811,0,5892,5543,624,1071,91,398,255,277,328,180,0,0,74,16,0,0,0,0,0,98,373
200,A_08226,384739,321410,113759,130336,0,35157,25398,2965,2386,694,1491,1112,366,836,567,0,0,186,50,0,0,0,0,0,297,1944
201,A_08231,78919,59792,19215,27423,0,4768,4655,589,569,117,292,216,45,280,115,0,0,21,16,0,0,0,0,0,56,303
202,A_08235,108966,87785,25535,40946,0,8183,7000,681,1025,152,477,280,133,1407,182,0,0,74,22,0,0,0,0,0,111,443
203,A_08236,137451,113954,39869,47156,0,10604,9293,845,1329,166,604,309,128,1174,225,0,0,83,14,0,0,0,0,0,132,649
204,A_08237,86632,68778,19747,33748,0,5589,5180,564,763,80,335,193,100,926,106,0,0,59,17,0,0,0,0,0,93,279
205,A_08311,139874,113176,37487,30513,0,32143,7170,2326,464,182,477,246,185,220,123,0,0,75,12,0,0,0,0,0,86,384
206,A_08315,178951,147833,48554,57828,0,22649,11583,1303,868,237,745,299,229,597,249,0,0,157,28,0,0,0,0,0,169,550
207,A_08316,114634,93361,34770,34756,0,12346,6504,849,593,102,521,253,119,278,139,0,0,137,13,0,0,0,0,0,159,458
208,A_08317,303619,239421,77559,107308,0,22335,16352,1829,2347,314,1013,532,234,801,450,0,0,299,49,0,0,0,0,0,1613,1762
209,A_08325,102879,82312,24033,40613,0,6239,6044,648,916,129,397,252,478,550,135,0,0,117,26,0,0,0,0,0,158,410
210,A_08326,149776,119401,37529,54667,0,10244,9716,968,1159,216,835,389,159,799,197,0,0,117,28,0,0,0,0,0,134,413
211,A_08327,93887,75342,21479,38108,0,5264,6145,504,958,110,378,224,121,356,165,0,0,65,26,0,0,0,0,0,121,278
212,A_08335,189541,151117,50433,59591,0,19036,14253,1643,1070,250,683,324,226,589,265,0,0,117,40,0,0,0,0,0,156,585
213,A_08336,156531,122318,48576,41903,0,15837,8685,1508,1226,189,579,283,111,1010,166,0,0,87,22,0,0,0,0,0,112,373
