,teryt_code,eligible_voters,issued_ballots,cdu,spd,csu,gruene,pds,fdp,rep,tierschutz,graue,npd,frauen,oedp,pbc,cm,bp,bueso,zentrum,familie,deutschland,unabhaengige,aufbruch,dkp,dp,psg
243,A_09171,82873,32049,0,3717,21042,2121,147,1007,966,271,173,194,113,870,33,77,359,71,24,207,146,62,34,19,36,18
244,A_09172,73284,28141,0,3007,17793,2636,174,923,905,308,161,84,77,712,161,128,264,15,38,161,100,50,34,20,86,21
245,A_09173,87400,40270,0,4620,24859,4587,240,1672,465,367,235,113,139,856,76,62,768,26,21,233,138,94,79,31,55,19
246,A_09174,94987,37689,0,4822,22340,4587,286,1550,560,345,231,94,103,1132,59,63,425,39,26,267,119,64,60,20,83,15
247,A_09175,89172,41274,0,5521,23061,6342,351,1888,455,421,254,102,113,977,61,87,503,24,25,260,138,112,97,33,44,18
248,A_09176,90502,38925,0,5526,24354,3082,276,1176,768,260,115,147,132,1486,81,79,410,14,36,221,146,83,58,18,53,17
249,A_09177,88178,34863,0,3771,20870,3718,278,1412,1232,312,156,94,120,1417,38,75,503,21,19,235,96,76,49,15,30,20
250,A_09178,110136,45659,0,5342,26023,6436,380,2153,774,433,264,229,166,1474,68,86,615,11,20,315,163,116,59,45,55,22
251,A_09179,146807,66051,0,9988,34911,10922,534,3043,950,716,580,148,191,1154,123,111,688,22,51,424,251,163,236,41,183,37
252,A_09180,64732,26100,0,2090,17540,2266,110,1090,253,240,157,60,75,1149,55,41,320,11,21,114,85,39,48,9,55,11
253,A_09181,80887,33365,0,3714,18979,4980,231,1759,397,307,175,103,130,817,134,62,666,22,40,198,123,107,61,16,62,17
254,A_09182,69533,29568,0,3246,18673,3351,164,1284,573,305,145,60,95,483,40,48,354,14,31,124,90,58,38,16,29,7
255,A_09183,82993,30012,0,2894,19651,2355,175,981,802,297,135,162,85,858,54,95,499,30,32,182,150,81,48,22,44,20
256,A_09184,219666,101615,0,15826,52097,16726,891,6747,1183,1058,788,223,295,2263,135,121,897,59,63,464,348,245,181,66,144,50
257,A_09185,68038,26185,0,3197,17666,1810,154,884,544,189,114,97,112,382,42,31,301,8,26,160,92,47,23,19,40,11
