,teryt_code,eligible_voters,issued_ballots,spd,cdu,gruene,fdp,afd,csu,linke,freiewahler,tierschutz,basis,partei,todenhoefer,piraten,volt,oedp,ssw,verjuengungsforschung,pdh,bundnisc,bp,mlpd,menschliche,pdf,sgp,bueso,bundnisd,bsw,mera25,werteunion
40,A_03358,108321,89362,22906,24326,7590,3144,18413,0,5937,845,1130,186,348,0,133,671,0,0,0,53,0,0,13,0,0,0,0,106,3016,0,0
41,A_03359,157863,132986,29339,38963,14572,5350,25157,0,9274,885,1501,378,661,0,248,1067,0,0,0,96,0,0,22,0,0,0,0,160,4704,0,0
42,A_03360,74248,61477,13547,17699,6423,2411,11930,0,4446,699,750,132,315,0,103,317,0,0,0,29,0,0,8,0,0,0,0,62,2306,0,0
43,A_03361,105716,89113,20385,24690,10791,3945,15930,0,6388,562,1006,203,382,0,129,641,0,0,0,48,0,0,17,0,0,0,0,133,3450,0,0
44,A_03401,54470,42301,9942,9748,3250,1613,9941,0,3518,323,621,80,190,0,69,223,0,0,0,39,0,0,8,0,0,0,0,88,2294,0,0
45,A_03402,36530,28767,8452,5432,2663,883,5898,0,2830,125,450,74,164,0,56,134,0,0,0,15,0,0,7,0,0,0,0,34,1370,0,0
46,A_03403,130165,109778,25696,21521,22513,4559,11389,0,15789,441,1075,188,549,0,167,1225,0,0,0,107,0,0,40,0,0,0,0,98,3987,0,0
47,A_03404,120138,99407,23522,22393,18535,4181,10042,0,13542,409,809,232,477,0,149,958,0,0,0,81,0,0,39,0,0,0,0,75,3525,0,0
48,A_03405,57947,44467,11088,10648,3597,1558,9480,0,3856,444,693,116,295,0,70,275,0,0,0,44,0,0,20,0,0,0,0,61,1891,0,0
49,A_03451,99179,84210,20327,24555,9344,3996,13533,0,5911,504,953,149,417,0,102,497,0,0,0,66,0,0,15,0,0,0,0,102,3372,0,0
50,A_03452,153270,126932,35826,30575,10085,4169,26649,0,8822,1192,2052,310,477,0,192,460,0,0,0,55,0,0,27,0,0,0,0,127,5078,0,0
51,A_03453,122303,101166,15194,37956,6131,4558,24314,0,5764,767,816,224,359,0,129,400,0,0,0,49,0,0,13,0,0,0,0,148,3771,0,0
52,A_03454,241862,205957,37333,84945,15468,9035,34066,0,12452,1401,1616,369,820,0,247,723,0,0,0,112,0,0,27,0,0,0,0,279,6067,0,0
53,A_03455,81626,68317,17671,17909,6254,2969,12723,0,4851,511,1044,287,357,0,110,344,0,0,0,45,0,0,23,0,0,0,0,84,2771,0,0
54,A_03456,98058,83044,20173,29388,7253,3764,11923,0,5369,515,695,155,290,0,95,273,0,0,0,41,0,0,12,0,0,0,0,98,2624,0,0
55,A_03457,131392,108801,27553,28317,8802,3839,23671,0,7745,788,1382,346,517,0,148,412,0,0,0,52,0,0,16,0,0,0,0,138,4479,0,0
56,A_03458,102378,87342,19198,24751,10297,5116,15011,0,5952,1013,1078,198,372,0,132,596,0,0,0,54,0,0,11,0,0,0,0,168,3034,0,0
57,A_03459,271605,229875,52941,73383,23580,9659,38709,0,15161,1921,2024,674,847,0,320,1004,0,0,0,126,0,0,47,0,0,0,0,266,8144,0,0
58,A_03460,102796,86010,13859,35660,7146,3874,14040,0,5754,937,717,142,279,0,127,451,0,0,0,55,0,0,9,0,0,0,0,83,2450,0,0
59,A_03461,68169,55413,14696,13604,4888,2319,11003,0,4145,581,697,125,300,0,88,243,0,0,0,37,0,0,11,0,0,0,0,98,2327,0,0
60,A_03462,46291,38022,9454,11063,2722,1435,8080,0,2190,278,546,147,175,0,55,137,0,0,0,25,0,0,8,0,0,0,0,54,1460,0,0
61,A_04011,373181,295332,66988,60952,49100,10520,39664,0,45411,1205,0,0,2160,0,0,3358,0,0,244,0,0,0,169,539,0,0,0,677,12498,236,0
62,A_04012,77383,55034,13616,10621,5180,1775,12832,0,6050,413,0,0,422,0,0,478,0,0,59,0,0,0,38,155,0,0,0,256,2616,24,0
63,A_05111,413320,338965,60602,94467,59833,22782,38142,0,35531,953,3232,504,1588,588,0,3409,0,0,0,0,0,0,169,0,556,0,0,479,14037,231,343
64,A_05112,312352,239017,60500,50514,20738,7176,49295,0,25421,1121,4003,468,1532,959,0,1151,0,0,0,0,0,0,240,0,426,0,0,308,12884,200,124
65,A_05113,397968,318771,70289,84032,39442,12711,53958,0,30002,1320,4506,471,2104,643,0,2254,0,0,0,0,0,0,285,0,517,0,0,320,13897,146,121
66,A_05114,155024,122051,24346,34977,14461,6248,19549,0,11018,803,1667,229,740,295,0,778,0,0,0,0,0,0,52,0,207,0,0,167,5588,72,85
67,A_05116,181209,140063,26041,42525,13844,6324,25125,0,13206,657,2016,313,860,228,0,851,0,0,0,0,0,0,32,0,205,0,0,270,6399,75,145
68,A_05117,118267,98594,23335,28321,11976,4548,14677,0,7609,455,1296,158,584,183,0,507,0,0,0,0,0,0,59,0,148,0,0,90,4023,38,61
69,A_05119,142960,113485,27727,27534,9566,3718,24240,0,9611,423,1973,203,780,447,0,537,0,0,0,0,0,0,84,0,222,0,0,150,5435,58,53
70,A_05120,74875,58553,11883,16312,5282,2711,11587,0,5041,242,842,119,316,141,0,383,0,0,0,0,0,0,18,0,103,0,0,79,3027,36,22
71,A_05122,109819,88003,17230,24775,10506,4129,15291,0,7739,311,1133,233,675,243,0,744,0,0,0,0,0,0,78,0,153,0,0,112,4047,36,42
72,A_05124,228470,180214,36270,43871,22699,7617,31960,0,20368,785,2276,406,1039,360,0,1373,0,0,0,0,0,0,107,0,298,0,0,173,9289,107,106
73,A_05154,223650,182375,34003,66214,18986,8100,29096,0,11625,1338,2421,443,891,252,0,1146,0,0,0,0,0,0,32,0,328,0,0,213,6094,43,90
74,A_05158,357732,297434,56576,94873,35801,16236,47652,0,20665,1180,4026,565,1553,579,0,2238,0,0,0,0,0,0,114,0,599,0,0,317,12516,112,197
75,A_05162,329414,276393,48936,96148,31754,16381,42381,0,18480,1266,3614,745,1355,569,0,1543,0,0,0,0,0,0,71,0,529,0,0,280,10579,111,184
76,A_05166,223739,185834,33644,64228,21085,10039,29312,0,11875,1170,2675,439,1137,287,0,1147,0,0,0,0,0,0,26,0,349,0,0,255,6873,55,126
77,A_05170,351285,291851,70086,85733,27883,11858,51037,0,20279,1471,4294,561,1900,521,0,1356,0,0,0,0,0,0,117,0,475,0,0,500,11835,92,150
78,A_05314,228194,193699,34078,50413,44136,9995,17186,0,23994,419,1252,338,877,270,0,2147,0,0,0,0,0,0,59,0,287,0,0,128,6911,141,92
79,A_05315,735287,610832,116625,134884,131770,27527,60977,0,90419,1759,5677,1004,3319,1181,0,6421,0,0,0,0,0,0,247,0,1084,0,0,577,24007,413,193
80,A_05316,112525,91380,19432,25449,10713,3946,15573,0,7698,451,1222,205,576,202,0,687,0,0,0,0,0,0,56,0,185,0,0,107,4156,39,62
81,A_05334,397277,326214,63106,91268,51771,14468,48484,0,30705,1687,3501,565,1625,545,0,2548,0,0,0,0,0,0,63,0,516,0,0,360,12434,173,148
82,A_05358,199301,164552,30306,54483,13843,7006,33517,0,10498,1179,2549,395,834,249,0,916,0,0,0,0,0,0,31,0,323,0,0,208,6931,43,108
83,A_05362,343812,288059,56402,90740,34681,14002,46727,0,20799,1523,3770,626,1300,617,0,1971,0,0,0,0,0,0,48,0,515,0,0,538,11916,119,177
84,A_05366,152242,126664,20698,44147,11681,6187,25552,0,6978,1001,1841,412,658,177,0,836,0,0,0,0,0,0,17,0,229,0,0,275,5090,24,87
85,A_05370,192359,157150,26663,54971,13623,6516,31408,0,9856,1208,2443,449,854,250,0,1076,0,0,0,0,0,0,22,0,285,0,0,178,6077,48,105
86,A_05374,204353,169819,29960,53407,16035,7771,35722,0,10598,1189,2369,589,1010,253,0,1032,0,0,0,0,0,0,47,0,347,0,0,295,7768,37,180
87,A_05378,214554,184312,33928,61975,27583,10199,24339,0,11972,999,2151,424,855,218,0,1694,0,0,0,0,0,0,58,0,305,0,0,280,6305,54,111
88,A_05382,452409,382510,65816,127020,51583,20169,60489,0,25334,2156,4462,945,1919,619,0,3356,0,0,0,0,0,0,60,0,646,0,0,459,15139,112,276
89,A_05512,85524,69203,16213,19653,5777,2314,14474,0,4724,377,1142,94,416,125,0,281,0,0,0,0,0,0,48,0,110,0,0,86,2881,22,19
90,A_05513,164673,122676,29342,27665,7944,3682,30032,0,11485,626,2359,191,685,442,0,444,0,0,0,0,0,0,239,0,167,0,0,142,6174,100,57
91,A_05515,237654,207991,37437,53313,55144,9629,14210,0,25927,408,1361,207,1051,160,0,2242,0,0,0,0,0,0,26,0,303,0,0,128,5525,93,59
92,A_05554,279024,237343,40474,99627,23939,10436,32990,0,13394,1764,2372,451,1047,268,0,1305,0,0,0,0,0,0,45,0,473,0,0,242,7160,82,110
93,A_05558,173636,151556,26965,60517,20146,6396,19609,0,8061,694,1507,255,694,159,0,1014,0,0,0,0,0,0,14,0,305,0,0,150,4298,20,78
94,A_05562,453847,365252,84226,103604,32654,12860,74895,0,25131,1834,5551,665,2156,778,0,1642,0,0,0,0,0,0,230,0,588,0,0,546,15393,139,207
95,A_05566,338248,287467,60280,100141,34536,11540,41436,0,18372,1580,3061,529,1512,435,0,1742,0,0,0,0,0,0,42,0,508,0,0,284,9772,88,124
