ci|tid|sid|li|list_name                                                                                   |votes  |ts|orgs
01|002|012|03|LEHET MÁS A POLITIKA                                                                        |0000076| 1|LEHET MÁS A POLITIKA                                        
01|002|012|04|MAGYAR DEMOKRATA FÓRUM                                                                      |0000030| 1|MDF                                                         
01|002|012|05|FIDESZ-KDNP                                                                                 |0000275| 2|FIDESZ,KDNP                                                 
01|002|013|01|MSZP                                                                                        |0000115| 1|MSZP                                                        
01|002|013|02|JOBBIK                                                                                      |0000058| 1|Jobbik                                                      
01|002|013|03|LEHET MÁS A POLITIKA                                                                        |0000092| 1|LEHET MÁS A POLITIKA                                        
01|002|013|04|MAGYAR DEMOKRATA FÓRUM                                                                      |0000018| 1|MDF                                                         
01|002|013|05|FIDESZ-KDNP                                                                                 |0000319| 2|FIDESZ,KDNP                                                 
01|002|014|01|MSZP                                                                                        |0000085| 1|MSZP                                                        
01|002|014|02|JOBBIK                                                                                      |0000036| 1|Jobbik                                                      
01|002|014|03|LEHET MÁS A POLITIKA                                                                        |0000080| 1|LEHET MÁS A POLITIKA                                        
01|002|014|04|MAGYAR DEMOKRATA FÓRUM                                                                      |0000019| 1|MDF                                                         
01|002|014|05|FIDESZ-KDNP                                                                                 |0000264| 2|FIDESZ,KDNP                                                 
01|002|015|01|MSZP                                                                                        |0000129| 1|MSZP                                                        
01|002|015|02|JOBBIK                                                                                      |0000035| 1|Jobbik                                                      
01|002|015|03|LEHET MÁS A POLITIKA                                                                        |0000065| 1|LEHET MÁS A POLITIKA                                        
01|002|015|04|MAGYAR DEMOKRATA FÓRUM                                                                      |0000041| 1|MDF                                                         
01|002|015|05|FIDESZ-KDNP                                                                                 |0000259| 2|FIDESZ,KDNP                                                 
01|002|016|01|MSZP                                                                                        |0000141| 1|MSZP                                                        
01|002|016|02|JOBBIK                                                                                      |0000024| 1|Jobbik                                                      
01|002|016|03|LEHET MÁS A POLITIKA                                                                        |0000062| 1|LEHET MÁS A POLITIKA                                        
01|002|016|04|MAGYAR DEMOKRATA FÓRUM                                                                      |0000035| 1|MDF                                                         
01|002|016|05|FIDESZ-KDNP                                                                                 |0000363| 2|FIDESZ,KDNP                                                 
01|002|017|01|MSZP                                                                                        |0000169| 1|MSZP                                                        
01|002|017|02|JOBBIK                                                                                      |0000037| 1|Jobbik                                                      
01|002|017|03|LEHET MÁS A POLITIKA                                                                        |0000090| 1|LEHET MÁS A POLITIKA                                        
01|002|017|04|MAGYAR DEMOKRATA FÓRUM                                                                      |0000042| 1|MDF                                                         
01|002|017|05|FIDESZ-KDNP                                                                                 |0000279| 2|FIDESZ,KDNP                                                 
01|002|018|01|MSZP                                                                                        |0000169| 1|MSZP                                                        
01|002|018|02|JOBBIK                                                                                      |0000045| 1|Jobbik                                                      
01|002|018|03|LEHET MÁS A POLITIKA                                                                        |0000102| 1|LEHET MÁS A POLITIKA                                        
01|002|018|04|MAGYAR DEMOKRATA FÓRUM                                                                      |0000049| 1|MDF                                                         
01|002|018|05|FIDESZ-KDNP                                                                                 |0000419| 2|FIDESZ,KDNP                                                 
01|002|019|01|MSZP                                                                                        |0000145| 1|MSZP                                                        
01|002|019|02|JOBBIK                                                                                      |0000018| 1|Jobbik                                                      
01|002|019|03|LEHET MÁS A POLITIKA                                                                        |0000078| 1|LEHET MÁS A POLITIKA                                        
01|002|019|04|MAGYAR DEMOKRATA FÓRUM                                                                      |0000039| 1|MDF                                                         
01|002|019|05|FIDESZ-KDNP                                                                                 |0000272| 2|FIDESZ,KDNP                                                 
01|002|020|01|MSZP                                                                                        |0000134| 1|MSZP                                                        
01|002|020|02|JOBBIK                                                                                      |0000024| 1|Jobbik                                                      
01|002|020|03|LEHET MÁS A POLITIKA                                                                        |0000044| 1|LEHET MÁS A POLITIKA                                        
01|002|020|04|MAGYAR DEMOKRATA FÓRUM                                                                      |0000029| 1|MDF                                                         
01|002|020|05|FIDESZ-KDNP                                                                                 |0000271| 2|FIDESZ,KDNP                                                 
01|002|021|01|MSZP                                                                                        |0000208| 1|MSZP                                                        
01|002|021|02|JOBBIK                                                                                      |0000039| 1|Jobbik                                                      
01|002|021|03|LEHET MÁS A POLITIKA                                                                        |0000081| 1|LEHET MÁS A POLITIKA                                        
01|002|021|04|MAGYAR DEMOKRATA FÓRUM                                                                      |0000044| 1|MDF                                                         
01|002|021|05|FIDESZ-KDNP                                                                                 |0000276| 2|FIDESZ,KDNP                                                 
01|002|022|01|MSZP                                                                                        |0000185| 1|MSZP                                                        
01|002|022|02|JOBBIK                                                                                      |0000054| 1|Jobbik                                                      
01|002|022|03|LEHET MÁS A POLITIKA                                                                        |0000098| 1|LEHET MÁS A POLITIKA                                        
01|002|022|04|MAGYAR DEMOKRATA FÓRUM                                                                      |0000038| 1|MDF                                                         
