02|Baranya                  |013|Bakonya                  |003|MCF ROMA Ö.                   |0000000|
02|Baranya                  |013|Bakonya                  |004|MUNKÁSPÁRT                    |0000000|
02|Baranya                  |013|Bakonya                  |005|MSZP                          |0000014|
02|Baranya                  |013|Bakonya                  |006|JOBBIK                        |0000002|
02|Baranya                  |013|Bakonya                  |007|LMP-HP                        |0000005|
02|Baranya                  |013|Bakonya                  |008|MDF                           |0000003|
02|Baranya                  |014|Bakóca                   |001|FIDESZ-KDNP                   |0000062|
02|Baranya                  |014|Bakóca                   |002|SZDSZ                         |0000001|
02|Baranya                  |014|Bakóca                   |003|MCF ROMA Ö.                   |0000001|
02|Baranya                  |014|Bakóca                   |004|MUNKÁSPÁRT                    |0000000|
02|Baranya                  |014|Bakóca                   |005|MSZP                          |0000006|
02|Baranya                  |014|Bakóca                   |006|JOBBIK                        |0000002|
02|Baranya                  |014|Bakóca                   |007|LMP-HP                        |0000002|
02|Baranya                  |014|Bakóca                   |008|MDF                           |0000000|
02|Baranya                  |015|Baksa                    |001|FIDESZ-KDNP                   |0000052|
02|Baranya                  |015|Baksa                    |002|SZDSZ                         |0000000|
02|Baranya                  |015|Baksa                    |003|MCF ROMA Ö.                   |0000001|
02|Baranya                  |015|Baksa                    |004|MUNKÁSPÁRT                    |0000000|
02|Baranya                  |015|Baksa                    |005|MSZP                          |0000041|
02|Baranya                  |015|Baksa                    |006|JOBBIK                        |0000010|
02|Baranya                  |015|Baksa                    |007|LMP-HP                        |0000001|
02|Baranya                  |015|Baksa                    |008|MDF                           |0000003|
02|Baranya                  |016|Baranyahídvég            |001|FIDESZ-KDNP                   |0000024|
02|Baranya                  |016|Baranyahídvég            |002|SZDSZ                         |0000002|
02|Baranya                  |016|Baranyahídvég            |003|MCF ROMA Ö.                   |0000002|
02|Baranya                  |016|Baranyahídvég            |004|MUNKÁSPÁRT                    |0000003|
02|Baranya                  |016|Baranyahídvég            |005|MSZP                          |0000010|
02|Baranya                  |016|Baranyahídvég            |006|JOBBIK                        |0000002|
02|Baranya                  |016|Baranyahídvég            |007|LMP-HP                        |0000000|
02|Baranya                  |016|Baranyahídvég            |008|MDF                           |0000001|
02|Baranya                  |017|Baranyajenõ              |001|FIDESZ-KDNP                   |0000059|
02|Baranya                  |017|Baranyajenõ              |002|SZDSZ                         |0000001|
02|Baranya                  |017|Baranyajenõ              |003|MCF ROMA Ö.                   |0000000|
02|Baranya                  |017|Baranyajenõ              |004|MUNKÁSPÁRT                    |0000000|
02|Baranya                  |017|Baranyajenõ              |005|MSZP                          |0000013|
02|Baranya                  |017|Baranyajenõ              |006|JOBBIK                        |0000011|
02|Baranya                  |017|Baranyajenõ              |007|LMP-HP                        |0000000|
02|Baranya                  |017|Baranyajenõ              |008|MDF                           |0000003|
02|Baranya                  |018|Baranyaszentgyörgy       |001|FIDESZ-KDNP                   |0000049|
02|Baranya                  |018|Baranyaszentgyörgy       |002|SZDSZ                         |0000002|
02|Baranya                  |018|Baranyaszentgyörgy       |003|MCF ROMA Ö.                   |0000000|
02|Baranya                  |018|Baranyaszentgyörgy       |004|MUNKÁSPÁRT                    |0000001|
02|Baranya                  |018|Baranyaszentgyörgy       |005|MSZP                          |0000004|
02|Baranya                  |018|Baranyaszentgyörgy       |006|JOBBIK                        |0000003|
02|Baranya                  |018|Baranyaszentgyörgy       |007|LMP-HP                        |0000000|
02|Baranya                  |018|Baranyaszentgyörgy       |008|MDF                           |0000003|
02|Baranya                  |019|Basal                    |001|FIDESZ-KDNP                   |0000036|
02|Baranya                  |019|Basal                    |002|SZDSZ                         |0000001|
02|Baranya                  |019|Basal                    |003|MCF ROMA Ö.                   |0000000|
02|Baranya                  |019|Basal                    |004|MUNKÁSPÁRT                    |0000000|
02|Baranya                  |019|Basal                    |005|MSZP                          |0000012|
02|Baranya                  |019|Basal                    |006|JOBBIK                        |0000001|
02|Baranya                  |019|Basal                    |007|LMP-HP                        |0000000|
02|Baranya                  |019|Basal                    |008|MDF                           |0000002|
02|Baranya                  |020|Bánfa                    |001|FIDESZ-KDNP                   |0000030|
02|Baranya                  |020|Bánfa                    |002|SZDSZ                         |0000000|
02|Baranya                  |020|Bánfa                    |003|MCF ROMA Ö.                   |0000003|
02|Baranya                  |020|Bánfa                    |004|MUNKÁSPÁRT                    |0000001|
02|Baranya                  |020|Bánfa                    |005|MSZP                          |0000009|
02|Baranya                  |020|Bánfa                    |006|JOBBIK                        |0000000|
02|Baranya                  |020|Bánfa                    |007|LMP-HP                        |0000000|
02|Baranya                  |020|Bánfa                    |008|MDF                           |0000003|
02|Baranya                  |021|Bár                      |001|FIDESZ-KDNP                   |0000168|
02|Baranya                  |021|Bár                      |002|SZDSZ                         |0000004|
02|Baranya                  |021|Bár                      |003|MCF ROMA Ö.                   |0000000|
02|Baranya                  |021|Bár                      |004|MUNKÁSPÁRT                    |0000003|
02|Baranya                  |021|Bár                      |005|MSZP                          |0000019|
02|Baranya                  |021|Bár                      |006|JOBBIK                        |0000014|
02|Baranya                  |021|Bár                      |007|LMP-HP                        |0000001|
02|Baranya                  |021|Bár                      |008|MDF                           |0000008|
02|Baranya                  |022|Belvárdgyula             |001|FIDESZ-KDNP                   |0000057|
02|Baranya                  |022|Belvárdgyula             |002|SZDSZ                         |0000000|
02|Baranya                  |022|Belvárdgyula             |003|MCF ROMA Ö.                   |0000015|
02|Baranya                  |022|Belvárdgyula             |004|MUNKÁSPÁRT                    |0000004|
02|Baranya                  |022|Belvárdgyula             |005|MSZP                          |0000011|
02|Baranya                  |022|Belvárdgyula             |006|JOBBIK                        |0000001|
02|Baranya                  |022|Belvárdgyula             |007|LMP-HP                        |0000000|
02|Baranya                  |022|Belvárdgyula             |008|MDF                           |0000005|
