"JKV_TÍPUS","SZAVAZÓKÖR_AZON","JKV_AZONOSÍTÓ","MEGYEKÓD","MEGYE","TELEPÜLÉS_SORSZÁM","TELEPÜLÉS","SZAVAZÓKÖR","VÁLASZTÓPOLGÁR","MEGJELENTEK","URNÁBAN_BÉLYEGZÉS_NÉLKÜLI","URNÁBAN_LEBÉLYEGZETT","ELTÉRÉS","ÉRVÉNYTELEN","ÉRVÉNYES","LISTA","SZAVAZAT"
,"01002004T",31550,,,,,,,,,,,,,"LMP",36
,"01002004T",31550,,,,,,,,,,,,,"JOBBIK",34
,"01002004T",31550,,,,,,,,,,,,,"A HAZA NEM ELADÓ",1
,"01002004T",31550,,,,,,,,,,,,,"SMS",0
"Belföldi","01002005F",31551,"01","BUDAPEST","002","Budapest II.ker.",5,1017,504,0,504,0,1,503,,
,"01002005T",31551,,,,,,,,,,,,,"FIDESZ-KDNP",198
,"01002005T",31551,,,,,,,,,,,,,"EGYÜTT-PM",117
,"01002005T",31551,,,,,,,,,,,,,"DEMOKRATIKUS KOALÍCIÓ",77
,"01002005T",31551,,,,,,,,,,,,,"MSZP",50
,"01002005T",31551,,,,,,,,,,,,,"LMP",36
,"01002005T",31551,,,,,,,,,,,,,"JOBBIK",22
,"01002005T",31551,,,,,,,,,,,,,"SMS",2
,"01002005T",31551,,,,,,,,,,,,,"A HAZA NEM ELADÓ",1
"Belföldi","01002006F",31552,"01","BUDAPEST","002","Budapest II.ker.",6,901,473,0,472,-1,0,472,,
,"01002006T",31552,,,,,,,,,,,,,"FIDESZ-KDNP",239
,"01002006T",31552,,,,,,,,,,,,,"EGYÜTT-PM",78
,"01002006T",31552,,,,,,,,,,,,,"MSZP",48
,"01002006T",31552,,,,,,,,,,,,,"DEMOKRATIKUS KOALÍCIÓ",47
,"01002006T",31552,,,,,,,,,,,,,"JOBBIK",33
,"01002006T",31552,,,,,,,,,,,,,"LMP",27
,"01002006T",31552,,,,,,,,,,,,,"SMS",0
,"01002006T",31552,,,,,,,,,,,,,"A HAZA NEM ELADÓ",0
"Belföldi","01002007F",31553,"01","BUDAPEST","002","Budapest II.ker.",7,876,473,0,470,-3,2,468,,
,"01002007T",31553,,,,,,,,,,,,,"FIDESZ-KDNP",199
,"01002007T",31553,,,,,,,,,,,,,"DEMOKRATIKUS KOALÍCIÓ",79
,"01002007T",31553,,,,,,,,,,,,,"EGYÜTT-PM",79
,"01002007T",31553,,,,,,,,,,,,,"LMP",44
,"01002007T",31553,,,,,,,,,,,,,"MSZP",39
,"01002007T",31553,,,,,,,,,,,,,"JOBBIK",24
,"01002007T",31553,,,,,,,,,,,,,"SMS",3
,"01002007T",31553,,,,,,,,,,,,,"A HAZA NEM ELADÓ",1
"Belföldi","01002008F",31554,"01","BUDAPEST","002","Budapest II.ker.",8,960,540,0,540,0,0,540,,
,"01002008T",31554,,,,,,,,,,,,,"FIDESZ-KDNP",287
,"01002008T",31554,,,,,,,,,,,,,"EGYÜTT-PM",74
,"01002008T",31554,,,,,,,,,,,,,"DEMOKRATIKUS KOALÍCIÓ",71
,"01002008T",31554,,,,,,,,,,,,,"MSZP",49
,"01002008T",31554,,,,,,,,,,,,,"LMP",34
,"01002008T",31554,,,,,,,,,,,,,"JOBBIK",24
,"01002008T",31554,,,,,,,,,,,,,"SMS",1
,"01002008T",31554,,,,,,,,,,,,,"A HAZA NEM ELADÓ",0
"Belföldi","01002009F",31555,"01","BUDAPEST","002","Budapest II.ker.",9,933,484,0,482,-2,1,481,,
,"01002009T",31555,,,,,,,,,,,,,"FIDESZ-KDNP",210
,"01002009T",31555,,,,,,,,,,,,,"EGYÜTT-PM",95
,"01002009T",31555,,,,,,,,,,,,,"DEMOKRATIKUS KOALÍCIÓ",76
,"01002009T",31555,,,,,,,,,,,,,"LMP",42
,"01002009T",31555,,,,,,,,,,,,,"MSZP",38
,"01002009T",31555,,,,,,,,,,,,,"JOBBIK",18
,"01002009T",31555,,,,,,,,,,,,,"SMS",1
,"01002009T",31555,,,,,,,,,,,,,"A HAZA NEM ELADÓ",1
"Belföldi","01002010F",31376,"01","BUDAPEST","002","Budapest II.ker.",10,721,437,0,437,0,0,437,,
,"01002010T",31376,,,,,,,,,,,,,"FIDESZ-KDNP",221
,"01002010T",31376,,,,,,,,,,,,,"EGYÜTT-PM",82
,"01002010T",31376,,,,,,,,,,,,,"DEMOKRATIKUS KOALÍCIÓ",50
,"01002010T",31376,,,,,,,,,,,,,"LMP",32
,"01002010T",31376,,,,,,,,,,,,,"MSZP",30
,"01002010T",31376,,,,,,,,,,,,,"JOBBIK",20
,"01002010T",31376,,,,,,,,,,,,,"SMS",2
,"01002010T",31376,,,,,,,,,,,,,"A HAZA NEM ELADÓ",0
"Belföldi","01002011F",31556,"01","BUDAPEST","002","Budapest II.ker.",11,1916,1207,0,1207,0,1,1206,,
,"01002011T",31556,,,,,,,,,,,,,"FIDESZ-KDNP",565
,"01002011T",31556,,,,,,,,,,,,,"LMP",187
,"01002011T",31556,,,,,,,,,,,,,"EGYÜTT-PM",183
,"01002011T",31556,,,,,,,,,,,,,"JOBBIK",106
,"01002011T",31556,,,,,,,,,,,,,"DEMOKRATIKUS KOALÍCIÓ",92
,"01002011T",31556,,,,,,,,,,,,,"MSZP",65
,"01002011T",31556,,,,,,,,,,,,,"SMS",5
,"01002011T",31556,,,,,,,,,,,,,"A HAZA NEM ELADÓ",3
"Belföldi","01002012F",31557,"01","BUDAPEST","002","Budapest II.ker.",12,1148,619,0,618,-1,1,617,,
,"01002012T",31557,,,,,,,,,,,,,"FIDESZ-KDNP",272
,"01002012T",31557,,,,,,,,,,,,,"EGYÜTT-PM",143
,"01002012T",31557,,,,,,,,,,,,,"DEMOKRATIKUS KOALÍCIÓ",81
,"01002012T",31557,,,,,,,,,,,,,"LMP",54
,"01002012T",31557,,,,,,,,,,,,,"MSZP",39
,"01002012T",31557,,,,,,,,,,,,,"JOBBIK",28
,"01002012T",31557,,,,,,,,,,,,,"SMS",0
,"01002012T",31557,,,,,,,,,,,,,"A HAZA NEM ELADÓ",0
"Belföldi","01002013F",31558,"01","BUDAPEST","002","Budapest II.ker.",13,728,372,0,372,0,0,372,,
