ci|tid| sid|        li|list_name                                                                                   |votes
01|001|0030|         4|MSZP                                                                                        |       155
01|001|0030|         5|SZDSZ                                                                                       |        48
01|001|0030|         6|MIÉP                                                                                        |        33
01|001|0030|         7|FIDESZ MDF                                                                                  |       169
01|001|0031|         1|FÜGGETLEN KISGAZDAPÁRT                                                                      |         2
01|001|0031|         2|CENTRUM                                                                                     |        21
01|001|0031|         3|MUNKÁSPÁRT                                                                                  |         7
01|001|0031|         4|MSZP                                                                                        |       143
01|001|0031|         5|SZDSZ                                                                                       |        60
01|001|0031|         6|MIÉP                                                                                        |        52
01|001|0031|         7|FIDESZ MDF                                                                                  |       189
01|001|0032|         1|FÜGGETLEN KISGAZDAPÁRT                                                                      |         4
01|001|0032|         2|CENTRUM                                                                                     |        41
01|001|0032|         3|MUNKÁSPÁRT                                                                                  |         6
01|001|0032|         4|MSZP                                                                                        |       143
01|001|0032|         5|SZDSZ                                                                                       |        66
01|001|0032|         6|MIÉP                                                                                        |        48
01|001|0032|         7|FIDESZ MDF                                                                                  |       191
01|001|0033|         1|FÜGGETLEN KISGAZDAPÁRT                                                                      |         3
01|001|0033|         2|CENTRUM                                                                                     |        31
01|001|0033|         3|MUNKÁSPÁRT                                                                                  |         6
01|001|0033|         4|MSZP                                                                                        |       208
01|001|0033|         5|SZDSZ                                                                                       |        92
01|001|0033|         6|MIÉP                                                                                        |        51
01|001|0033|         7|FIDESZ MDF                                                                                  |       265
01|002|0001|         1|FÜGGETLEN KISGAZDAPÁRT                                                                      |         2
01|002|0001|         2|CENTRUM                                                                                     |        47
01|002|0001|         3|MUNKÁSPÁRT                                                                                  |         9
01|002|0001|         4|MSZP                                                                                        |       188
01|002|0001|         5|SZDSZ                                                                                       |        82
01|002|0001|         6|MIÉP                                                                                        |        55
01|002|0001|         7|FIDESZ MDF                                                                                  |       228
01|002|0002|         1|FÜGGETLEN KISGAZDAPÁRT                                                                      |         3
01|002|0002|         2|CENTRUM                                                                                     |        33
01|002|0002|         3|MUNKÁSPÁRT                                                                                  |         5
01|002|0002|         4|MSZP                                                                                        |       232
01|002|0002|         5|SZDSZ                                                                                       |        80
01|002|0002|         6|MIÉP                                                                                        |        42
01|002|0002|         7|FIDESZ MDF                                                                                  |       218
01|002|0003|         1|FÜGGETLEN KISGAZDAPÁRT                                                                      |         3
01|002|0003|         2|CENTRUM                                                                                     |        45
01|002|0003|         3|MUNKÁSPÁRT                                                                                  |        12
01|002|0003|         4|MSZP                                                                                        |       174
01|002|0003|         5|SZDSZ                                                                                       |        64
01|002|0003|         6|MIÉP                                                                                        |        45
01|002|0003|         7|FIDESZ MDF                                                                                  |       202
01|002|0004|         1|FÜGGETLEN KISGAZDAPÁRT                                                                      |         3
01|002|0004|         2|CENTRUM                                                                                     |        42
01|002|0004|         3|MUNKÁSPÁRT                                                                                  |         5
01|002|0004|         4|MSZP                                                                                        |       175
01|002|0004|         5|SZDSZ                                                                                       |        73
01|002|0004|         6|MIÉP                                                                                        |        70
01|002|0004|         7|FIDESZ MDF                                                                                  |       231
01|002|0005|         1|FÜGGETLEN KISGAZDAPÁRT                                                                      |         4
01|002|0005|         2|CENTRUM                                                                                     |        48
01|002|0005|         3|MUNKÁSPÁRT                                                                                  |        11
01|002|0005|         4|MSZP                                                                                        |       265
01|002|0005|         5|SZDSZ                                                                                       |        83
01|002|0005|         6|MIÉP                                                                                        |        54
01|002|0005|         7|FIDESZ MDF                                                                                  |       271
01|002|0006|         1|FÜGGETLEN KISGAZDAPÁRT                                                                      |         0
01|002|0006|         2|CENTRUM                                                                                     |        50
01|002|0006|         3|MUNKÁSPÁRT                                                                                  |         9
01|002|0006|         4|MSZP                                                                                        |       272
01|002|0006|         5|SZDSZ                                                                                       |        86
01|002|0006|         6|MIÉP                                                                                        |        80
01|002|0006|         7|FIDESZ MDF                                                                                  |       286
01|002|0007|         1|FÜGGETLEN KISGAZDAPÁRT                                                                      |         1
01|002|0007|         2|CENTRUM                                                                                     |        21
01|002|0007|         3|MUNKÁSPÁRT                                                                                  |         8
01|002|0007|         4|MSZP                                                                                        |       335
01|002|0007|         5|SZDSZ                                                                                       |        93
01|002|0007|         6|MIÉP                                                                                        |        61
01|002|0007|         7|FIDESZ MDF                                                                                  |       238
01|002|0008|         1|FÜGGETLEN KISGAZDAPÁRT                                                                      |         0
01|002|0008|         2|CENTRUM                                                                                     |        23
01|002|0008|         3|MUNKÁSPÁRT                                                                                  |        10
01|002|0008|         4|MSZP                                                                                        |       176
01|002|0008|         5|SZDSZ                                                                                       |        77
01|002|0008|         6|MIÉP                                                                                        |        50
01|002|0008|         7|FIDESZ MDF                                                                                  |       233
01|002|0009|         1|FÜGGETLEN KISGAZDAPÁRT                                                                      |         2
01|002|0009|         2|CENTRUM                                                                                     |        37
01|002|0009|         3|MUNKÁSPÁRT                                                                                  |         6
01|002|0009|         4|MSZP                                                                                        |       214
01|002|0009|         5|SZDSZ                                                                                       |        70
01|002|0009|         6|MIÉP                                                                                        |        66
01|002|0009|         7|FIDESZ MDF                                                                                  |       252
01|002|0010|         1|FÜGGETLEN KISGAZDAPÁRT                                                                      |         0
01|002|0010|         2|CENTRUM                                                                                     |        35
01|002|0010|         3|MUNKÁSPÁRT                                                                                  |         8
01|002|0010|         4|MSZP                                                                                        |       147
01|002|0010|         5|SZDSZ                                                                                       |        70
01|002|0010|         6|MIÉP                                                                                        |        69
01|002|0010|         7|FIDESZ MDF                                                                                  |       245
01|002|0011|         1|FÜGGETLEN KISGAZDAPÁRT                                                                      |         1
01|002|0011|         2|CENTRUM                                                                                     |        42
01|002|0011|         3|MUNKÁSPÁRT                                                                                  |        15
01|002|0011|         4|MSZP                                                                                        |       178
01|002|0011|         5|SZDSZ                                                                                       |        54
01|002|0011|         6|MIÉP                                                                                        |        50
01|002|0011|         7|FIDESZ MDF                                                                                  |       230
01|002|0012|         1|FÜGGETLEN KISGAZDAPÁRT                                                                      |         1
01|002|0012|         2|CENTRUM                                                                                     |        24
01|002|0012|         3|MUNKÁSPÁRT                                                                                  |        14
01|002|0012|         4|MSZP                                                                                        |       159
01|002|0012|         5|SZDSZ                                                                                       |        73
01|002|0012|         6|MIÉP                                                                                        |        63
01|002|0012|         7|FIDESZ MDF                                                                                  |       242
01|002|0013|         1|FÜGGETLEN KISGAZDAPÁRT                                                                      |         1
01|002|0013|         2|CENTRUM                                                                                     |        38
