,teryt_code,eligible_voters,issued_ballots,PATRIOTYCZNY,PPP,LPR,PD,SD,PIS,SLD,PO,PPN,PSL,CENTRUM,PKM,OKO,GIP,SAMOOBRONA,IRP,DO,NOP,SPRACY,SR,MN,MNS
231,T_2062,49208,19399,325,162,2219,168,479,6161,2234,4288,31,747,0,228,0,15,1249,32,219,0,0,0,0,0
232,T_2063,52661,20172,380,179,1410,227,724,7027,2196,3678,141,561,0,244,0,22,2351,32,142,0,0,0,0,0
233,T_2204,63051,24953,215,165,1392,369,1356,5619,1534,9677,85,1622,94,325,48,0,1592,0,103,0,0,0,0,0
234,T_2207,62539,20865,104,120,970,256,559,4864,3023,6440,33,476,87,254,113,0,2526,0,239,0,0,0,0,0
235,T_2209,50321,18630,101,132,821,483,730,4209,2589,4556,52,1618,30,352,47,0,2102,0,55,0,0,0,0,0
236,T_2210,28227,9169,67,41,318,254,397,1744,753,2207,32,651,18,92,23,0,2099,0,26,0,0,0,0,0
237,T_2213,92466,36176,248,237,2369,441,729,9449,4069,9646,74,2189,62,357,126,0,4404,0,211,0,0,0,0,0
238,T_2214,86354,32417,217,246,2145,672,1251,8410,2319,10159,79,1218,537,391,85,0,3212,0,139,0,0,0,0,0
239,T_2216,33910,10538,78,64,402,148,437,2439,1094,2885,22,581,50,144,45,0,1528,0,49,0,0,0,0,0
240,T_2261,364092,186936,1344,1171,10174,4391,7240,48138,14655,84594,453,1041,371,2821,306,0,5606,0,1038,0,0,0,0,0
241,T_2264,33540,18683,88,94,941,646,728,4818,1468,8775,33,97,13,254,9,0,359,0,81,0,0,0,0,0
242,T_2299,100,99,1,0,2,3,2,25,4,50,0,0,0,8,0,0,1,0,0,0,0,0,0,0
243,T_2201,57877,21023,124,128,1634,229,547,4153,3145,5657,77,527,230,262,70,0,3248,0,60,33,0,0,0,0
244,T_2202,70396,28536,230,217,2785,287,578,7468,3155,6262,64,995,511,353,91,0,4347,0,92,30,0,0,0,0
245,T_2203,45777,15234,139,140,808,286,844,2243,2100,3053,57,1334,49,235,66,0,2984,0,59,26,0,0,0,0
246,T_2205,76486,35195,239,173,3862,334,457,9422,1601,12118,69,786,60,360,92,0,3992,0,127,68,0,0,0,0
247,T_2206,50547,21103,156,131,1724,437,314,5360,1507,6846,52,641,54,198,49,0,2492,0,147,57,0,0,0,0
248,T_2208,49155,18193,127,125,1610,223,527,3671,2636,5097,58,502,74,270,68,0,2379,0,76,33,0,0,0,0
249,T_2211,56124,24498,173,116,1369,293,388,6564,1706,10041,49,575,64,333,67,0,1721,0,118,40,0,0,0,0
250,T_2212,72322,21947,187,164,1614,337,1157,3676,2840,3767,86,2521,110,407,98,0,3782,0,235,40,0,0,0,0
251,T_2215,133913,60765,455,333,4619,1018,1075,18763,4221,20670,155,1440,316,888,147,0,3858,0,309,126,0,0,0,0
252,T_2262,200671,102626,710,567,5425,2075,2698,29178,13319,39719,204,547,293,1759,338,0,3099,0,308,160,0,0,0,0
