,teryt_code,eligible_voters,issued_ballots,Nawrocki,Trzaskowski
92,T_1002,70918,48383,29003,18996
93,T_1003,38371,27783,16142,11359
94,T_1004,38019,26093,17413,8462
95,T_1005,59260,42570,27626,14543
96,T_1006,58331,45035,22909,21717
97,T_1007,56238,42099,31162,10606
98,T_1008,90551,67822,30035,37089
99,T_1009,38509,27281,19037,7995
100,T_1010,70416,51314,37449,13431
101,T_1011,32207,22568,14258,8137
102,T_1012,83855,58296,36496,21327
103,T_1013,36218,25837,17838,7764
104,T_1014,87960,61930,39352,22029
105,T_1015,29355,21858,16036,5640
106,T_1016,85408,62455,38058,23918
107,T_1017,57096,39983,24251,15373
108,T_1018,32091,21670,13457,8005
109,T_1019,48197,34472,19329,14842
110,T_1020,127190,94236,43953,49397
111,T_1021,23742,17283,10594,6527
112,T_1061,488805,368542,125893,239280
113,T_1062,51559,37151,18520,18281
114,T_1063,34285,26043,12384,13369
115,T_1201,81673,60660,42790,17372
116,T_1202,69718,48336,35323,12651
117,T_1203,91067,64206,31477,32224
118,T_1204,44041,28259,22368,5686
119,T_1205,80840,55561,39046,16145
120,T_1206,224425,171053,95586,73885
121,T_1207,97124,71656,58192,13044
122,T_1208,37527,26075,18037,7823
123,T_1209,98028,73976,51873,21480
124,T_1210,162544,121892,96486,24594
125,T_1211,145501,96099,70292,25130
126,T_1212,82751,60348,34405,25428
127,T_1213,113301,82784,44965,37075
128,T_1214,33488,23163,16694,6276
129,T_1215,63554,44669,30850,13469
130,T_1216,151342,105484,79391,25346
131,T_1217,57104,40203,25592,14331
132,T_1218,120777,86901,53806,32361
133,T_1219,105499,80973,44345,35824
134,T_1261,626893,499325,187004,307189
135,T_1262,59029,43395,26023,17046
136,T_1263,79253,55676,28188,27115
137,T_1401,25891,19308,14382,4753
138,T_1402,65876,46494,29438,16708
139,T_1403,81661,62537,46763,15174
140,T_1404,33583,22883,14808,7867
141,T_1405,78146,62194,27119,34448
142,T_1406,76046,56459,35719,20228
143,T_1407,45816,33505,22947,10297
144,T_1408,97937,78846,33839,44284
145,T_1409,25502,16859,12299,4438
146,T_1410,22769,16003,12411,3467
147,T_1411,33458,23514,16975,6353
