,teryt_code,eligible_voters,issued_ballots,PPP,LPR,PIS,PO,PSL,SAMOOBRONA,MN,LID,PK,SPATRIOTYCZNA
203,T_1803,103935,53590,505,1005,27484,12913,5506,693,0,4214,0,0
204,T_1806,47640,22721,159,683,14117,3722,2235,226,0,991,0,0
205,T_1808,54245,26963,206,428,14098,7275,2890,346,0,1157,0,0
206,T_1810,60240,32783,237,786,18164,7265,3761,388,0,1503,0,0
207,T_1811,105023,54038,446,794,23925,14926,7945,665,0,4193,0,0
208,T_1812,52748,22989,243,563,11271,4367,3127,327,0,2404,0,0
209,T_1815,54992,28365,297,400,15968,3712,5683,340,0,1295,0,0
210,T_1816,129789,70845,633,1361,38306,16016,8206,797,0,3854,0,0
211,T_1818,87571,42156,357,769,19023,13480,2337,446,0,4961,0,0
212,T_1819,48266,22596,227,483,11067,4560,4253,310,0,1103,0,0
213,T_1820,43377,20514,188,297,8407,6585,1942,221,0,2259,0,0
214,T_1863,129530,83195,660,1136,29102,33970,5768,430,0,11080,0,0
215,T_1864,39374,21281,197,357,7045,7879,1190,146,0,4107,0,0
216,T_2001,47089,21295,117,244,7603,7907,2721,684,0,1515,137,0
217,T_2002,109396,54342,386,792,23589,16596,4067,852,0,6454,548,0
218,T_2003,49101,24156,153,284,9326,5654,1192,562,0,6315,153,0
219,T_2004,39201,15975,138,273,7007,3819,2660,408,0,1079,129,0
220,T_2005,41404,18887,178,170,1954,5101,2831,528,0,7389,141,0
221,T_2006,31401,12891,88,283,5519,2001,3049,903,0,579,59,0
222,T_2007,40030,17164,117,313,10261,2345,1945,729,0,793,116,0
223,T_2008,34696,13817,105,278,5775,3130,2558,572,0,853,98,0
224,T_2009,17044,6646,43,66,1683,1807,1558,294,0,963,56,0
225,T_2010,39981,17180,157,144,6942,4256,1884,425,0,2881,86,0
226,T_2011,59110,24388,169,256,9608,6425,3890,654,0,2542,214,0
227,T_2012,27636,11372,60,173,4302,2290,2592,499,0,1014,83,0
228,T_2013,47846,24488,117,547,14755,4096,2536,463,0,1351,119,0
229,T_2014,36761,17123,104,405,8141,4166,2154,349,0,1335,73,0
230,T_2061,228590,138525,618,1675,43372,60696,3828,894,0,23944,1589,0
231,T_2062,49209,25324,130,489,10403,8734,1035,213,0,3666,220,0
232,T_2063,52741,27335,155,242,8748,10206,1658,274,0,5218,321,0
233,T_2204,66955,37979,324,459,9638,20681,2536,371,0,3231,0,0
234,T_2207,63478,29304,303,389,7027,14652,1357,521,0,4337,0,0
235,T_2209,50413,25382,264,305,5717,11270,2876,646,0,3764,0,0
236,T_2210,28284,12999,121,126,2905,5622,1562,837,0,1460,0,0
237,T_2213,94106,46402,550,637,15755,18961,3007,904,0,5360,0,0
238,T_2214,87411,43869,483,561,12453,20686,2765,809,0,5063,0,0
239,T_2216,34200,14428,162,193,3482,6372,1361,380,0,2024,0,0
240,T_2261,365395,246514,1497,3392,64862,145383,4825,1076,0,22693,0,0
241,T_2264,33340,23551,100,284,6082,14350,381,78,0,2079,0,0
242,T_2299,160,160,0,5,38,96,6,0,0,8,0,0
243,T_2201,58674,27332,272,364,6718,11495,3300,778,0,3503,0,0
244,T_2202,71248,37394,421,533,11148,16691,2477,861,0,4305,0,0
245,T_2203,46133,21859,289,273,3459,8377,2322,558,0,5724,0,0
246,T_2205,80293,46106,444,928,16355,19774,3793,1025,0,2595,0,0
247,T_2206,51632,27563,274,328,9081,12476,1764,720,0,2102,0,0
248,T_2208,49703,25609,262,356,5979,12655,1697,462,0,3629,0,0
249,T_2211,57797,32793,337,376,7895,17370,2845,417,0,2747,0,0
250,T_2212,73366,32723,410,416,6893,14893,3090,896,0,5137,0,0
251,T_2215,139623,81100,700,1178,22991,41636,4765,991,0,7157,0,0
252,T_2262,200467,136584,936,1505,32689,78816,2998,593,0,17227,0,0
253,T_2263,77618,45810,352,629,10494,22726,1742,539,0,8561,0,0
254,T_2298,134,123,0,0,9,101,5,0,0,7,0,0
255,T_2402,119832,71801,930,725,26152,29131,4387,600,0,8231,0,0
256,T_2403,137220,78556,1117,768,21572,33597,5511,798,0,13482,0,0
257,T_2410,81960,47041,582,481,19338,17144,3876,424,0,4272,0,0
258,T_2417,118791,64608,829,902,27059,20789,5703,740,0,6663,0,0
259,T_2461,140958,90329,1179,1066,27960,43328,3343,584,0,11500,0,0
260,T_2404,107679,51751,827,777,15243,15949,9941,1019,0,6652,0,0
261,T_2406,68282,32077,417,388,10234,9573,5902,580,0,4043,0,0
262,T_2407,61385,30123,339,383,10818,12401,1486,951,0,2858,0,0
263,T_2409,58528,27880,365,312,8693,10230,2572,595,0,4321,0,0
264,T_2464,197770,119516,1531,2108,33988,54453,5145,767,0,19867,0,0
265,T_2405,92232,44942,473,443,15039,19980,3046,484,0,4450,0,0
266,T_2413,112869,58819,501,574,19108,27854,3047,525,0,5969,0,0
267,T_2462,148556,72116,765,722,21268,33777,2879,533,0,10569,0,0
268,T_2466,156216,91189,799,863,23291,47687,3984,563,0,12543,0,0
269,T_2478,149533,69000,777,609,18834,34357,2288,601,0,10148,0,0
270,T_2408,73229,42893,421,480,14921,20693,1988,334,0,3190,0,0
271,T_2411,90368,39360,432,493,9569,22796,1203,364,0,3610,0,0
272,T_2412,58557,30238,436,296,12471,11819,1314,344,0,2836,0,0
273,T_2415,124837,66247,894,592,25043,26516,2800,697,0,8139,0,0
274,T_2467,75222,41806,423,371,16595,14058,1415,316,0,7811,0,0
275,T_2473,111899,61718,971,570,21378,28055,2296,532,0,6915,0,0
276,T_2479,49238,26955,328,243,9771,11008,1055,304,0,3808,0,0
277,T_2414,44235,24636,350,233,11306,9343,760,187,0,1852,0,0
278,T_2463,91436,49309,789,597,12105,27358,1205,296,0,5898,0,0
279,T_2469,257450,159850,2927,1463,43877,83805,5099,836,0,19233,0,0
280,T_2470,60796,34570,473,400,11612,13933,996,208,0,6333,0,0
281,T_2471,48231,25801,297,212,10718,10674,742,131,0,2337,0,0
282,T_2472,115751,62072,937,471,22366,27598,1761,380,0,7103,0,0
283,T_2474,58608,32189,514,311,8614,16705,771,194,0,4324,0,0
284,T_2476,43905,21444,417,220,6110,11096,517,140,0,2454,0,0
285,T_2477,105880,64826,820,623,19996,31005,3547,353,0,7550,0,0
286,T_2401,126893,69371,1069,980,16167,31419,3611,749,0,14069,0,0
287,T_2416,103538,51860,833,507,13786,18349,4423,684,0,12097,0,0
288,T_2465,105812,58855,1013,644,14270,27471,1874,468,0,12196,0,0
289,T_2468,77146,44246,551,426,11415,21480,3200,296,0,5937,0,0
290,T_2475,186766,107355,1602,1220,25722,47036,3273,821,0,26079,0,0
291,T_2601,62434,28338,225,245,9614,5650,7643,625,0,3422,172,0
292,T_2602,72116,30921,323,351,11891,5853,7184,797,0,3520,196,0
293,T_2603,29888,11006,70,68,3099,1968,4163,332,0,962,60,0
294,T_2604,155764,69540,590,670,32734,16311,8955,925,0,6982,513,0
295,T_2605,69846,32395,370,360,14041,8914,2677,483,0,4307,241,0
296,T_2606,45844,18610,167,162,5830,2350,7264,492,0,1366,179,0
297,T_2607,96520,42144,449,296,13532,14185,4571,465,0,7050,495,0
298,T_2608,35102,14965,142,151,4628,3533,3418,524,0,2041,68,0
299,T_2609,66564,29741,220,245,10811,6331,7095,640,0,3350,238,0
300,T_2610,67085,33887,303,330,12946,12247,1805,435,0,4803,262,0
301,T_2611,77635,36473,358,384,14243,10076,3719,705,0,5678,412,0
302,T_2612,59822,25380,221,230,10813,4810,4637,646,0,3085,161,0
303,T_2613,37836,17240,138,211,8306,2597,2785,272,0,2284,93,0
304,T_2661,167122,104505,969,1018,36068,40024,5118,533,0,17796,1256,0
305,T_2801,51024,22565,244,253,3999,10099,2176,1950,0,3202,0,0
306,T_2802,35054,15267,186,186,3109,5852,2537,376,0,2636,0,0
307,T_2803,51725,22348,264,464,6126,7745,3155,563,0,3369,0,0
308,T_2804,44557,17989,256,291,4409,7299,2094,590,0,2525,0,0
309,T_2807,71649,33120,390,435,8278,13767,4654,841,0,3866,0,0
310,T_2809,34287,15271,190,190,3420,7098,1633,465,0,1877,0,0
311,T_2812,33562,15193,183,215,3892,4064,4094,806,0,1330,0,0
312,T_2815,83471,37960,445,514,8142,16485,3840,763,0,6637,0,0
313,T_2861,99508,57014,481,672,14573,27537,2143,575,0,10142,0,0
314,T_2805,66017,28380,256,421,8255,11899,2238,515,0,4060,0,0
315,T_2806,45881,21573,230,292,4624,9548,3186,356,0,2794,0,0
316,T_2808,54569,23746,224,214,4769,9100,4938,377,0,3304,0,0
317,T_2810,40044,19083,186,246,4430,8595,2608,254,0,2216,0,0
318,T_2811,26846,11339,127,295,3241,3916,1405,233,0,1751,0,0
319,T_2813,26962,11022,121,225,3083,3820,1814,235,0,1439,0,0
320,T_2814,90268,41503,448,434,9057,19676,4407,1059,0,5184,0,0
321,T_2816,45269,20226,187,255,5734,6291,4432,347,0,2272,0,0
322,T_2817,55224,24929,239,297,6078,8798,4977,594,0,3140,0,0
323,T_2818,21957,8799,77,92,1755,3607,1744,160,0,1111,0,0
324,T_2819,19529,8313,94,120,1692,3470,960,297,0,1440,0,0
325,T_2862,135668,88288,551,1007,19541,46687,5035,666,0,13379,0,0
326,T_3004,59218,27503,393,319,6767,9665,3873,701,0,4784,0,0
327,T_3006,55621,27712,375,246,7596,9919,3960,496,0,4222,0,0
328,T_3007,63223,27575,317,326,9331,5285,5405,948,0,5058,0,0
329,T_3008,43260,21696,278,244,6650,7619,2989,530,0,2683,0,0
330,T_3011,61200,31333,437,265,6866,13839,3742,672,0,4306,0,0
331,T_3012,60264,30621,346,320,7649,11557,4883,769,0,4049,0,0
332,T_3013,38677,18497,209,313,4307,6662,3210,495,0,2659,0,0
333,T_3017,125961,66666,808,790,18709,24909,7265,1487,0,10878,0,0
334,T_3018,42273,19600,230,284,4734,5167,5434,576,0,2474,0,0
335,T_3020,48679,22720,312,253,5996,7026,4275,577,0,3329,0,0
