,teryt_code,eligible_voters,issued_ballots,Biedron,Bosak,Duda,Holownia,Jakubiak,KosiniakKamysz,Piotrowski,Tanajno,Trzaskowski,Witkowski,Zoltek
313,T_2809,32181,17132,354,1146,6953,2247,24,463,17,19,5898,23,26
314,T_2810,41025,23604,466,1628,8807,3823,37,575,14,41,8160,25,37
315,T_2811,25649,13920,235,931,7010,1657,27,346,11,12,3700,13,25
316,T_2812,33886,19457,296,1126,10683,2297,28,801,31,24,4134,19,43
317,T_2813,25984,13319,232,951,6246,2044,22,318,11,25,3478,8,25
318,T_2814,100609,58232,1390,4302,20581,8898,127,1489,52,100,21173,66,108
319,T_2815,81215,45585,1041,2704,17608,7277,71,1084,46,57,15592,56,89
320,T_2816,45360,24512,374,1925,12153,2853,31,605,18,38,6456,14,38
321,T_2817,56739,31659,655,2064,14573,4086,58,913,22,48,9186,54,50
322,T_2818,20989,10578,212,596,4257,1955,18,213,9,15,3330,10,17
323,T_2819,18693,10213,207,621,3863,1542,17,307,18,15,3583,12,24
324,T_2861,88963,54212,1341,3164,19753,8285,84,1022,44,82,20374,78,106
325,T_2862,129389,87118,2884,6494,25976,13196,159,1755,109,152,36313,134,229
326,T_3001,36639,23197,500,1202,7652,4679,29,751,23,23,8290,37,47
327,T_3002,67022,40349,711,2158,15526,7667,42,1172,43,61,13007,76,68
328,T_3003,111842,70616,1669,4194,28005,13141,105,1576,69,87,21802,105,170
329,T_3004,59097,35292,631,3382,16834,4998,61,1086,28,44,8344,57,73
330,T_3005,39446,24261,455,1669,10701,4476,33,726,25,27,6176,39,54
331,T_3006,55265,34047,629,1926,16621,5421,47,936,30,49,8430,56,76
332,T_3007,65992,40240,675,2575,23495,4373,64,1509,47,49,7557,34,84
333,T_3008,43931,24050,390,1548,12603,5009,52,709,22,42,7371,25,62
334,T_3009,68504,41179,599,2295,24767,4264,58,1191,45,44,7944,32,78
335,T_3010,102822,63142,1033,3507,37896,7745,87,1348,42,77,11456,63,123
336,T_3011,61592,38385,735,2257,15930,6629,69,1137,29,60,11504,76,97
337,T_3012,59765,36063,594,2404,17464,5342,44,1304,37,58,8967,50,83
338,T_3013,44172,27590,613,2015,11461,5007,58,839,24,48,7535,24,64
339,T_3014,28860,17313,412,899,6128,3043,16,574,25,17,6187,47,30
340,T_3015,57649,37227,762,2334,13247,7425,56,978,44,54,12255,66,72
341,T_3016,44787,28409,593,1604,10007,5115,42,916,18,27,10065,37,69
342,T_3017,126259,80451,1439,5761,35064,12081,138,2150,82,98,23712,99,166
343,T_3018,43597,26626,408,1852,12700,3947,28,943,39,40,6814,44,61
344,T_3019,102980,64499,1482,4065,23251,11471,108,1548,71,87,22421,105,130
345,T_3020,49030,30351,469,1845,15259,4099,55,1051,28,29,7637,32,52
346,T_3021,298919,217447,5143,12082,57729,43352,303,4455,214,313,94156,464,514
347,T_3022,47097,28346,595,1788,12261,4488,60,977,36,47,8034,31,59
348,T_3023,47415,28612,541,1343,14925,3627,38,1028,24,43,7041,26,56
349,T_3024,71492,45992,993,2535,16024,8868,63,1156,40,58,16264,78,71
350,T_3025,45268,28937,554,2086,11719,5552,47,849,29,34,8030,56,67
351,T_3026,46979,29418,654,1891,11815,5362,60,744,29,46,8806,42,71
352,T_3027,66172,40781,623,2352,23786,4992,50,939,22,57,8003,33,65
353,T_3028,53451,32685,708,1803,13070,5797,52,1156,28,44,9997,55,62
354,T_3029,43966,28637,428,2054,11316,5226,34,951,29,54,8446,39,60
355,T_3030,59780,38264,794,2406,16576,6042,50,1011,31,44,11318,49,85
356,T_3031,53441,30235,632,1836,11748,5374,46,901,44,48,9597,52,49
357,T_3061,75674,49809,1418,2910,17522,6745,74,947,52,71,20056,65,127
358,T_3062,57663,37573,928,2000,15627,5311,49,673,42,44,12891,44,83
359,T_3063,47675,31817,1001,2306,9004,5154,28,675,25,61,13580,68,47
360,T_3064,411900,297305,11389,17483,68806,51285,397,5228,282,513,142110,1040,857
361,T_3201,35937,19525,522,982,7574,3211,22,378,17,21,6809,15,38
362,T_3202,37495,19997,406,1047,8622,3063,21,552,13,18,6216,16,33
363,T_3203,44945,24912,516,1382,9637,4089,27,593,28,44,8562,20,38
364,T_3204,64496,37710,1011,2175,13986,6606,58,836,30,60,12866,45,71
365,T_3205,53020,31830,673,1463,11964,5414,47,685,32,31,11509,36,59
366,T_3206,63040,36271,780,2197,15400,5734,55,748,36,56,11237,43,76
367,T_3207,42147,26278,648,1157,9156,3916,48,586,24,42,10728,24,35
368,T_3208,69538,45594,1256,2135,15539,7239,58,909,28,79,18318,53,70
369,T_3209,56805,35303,918,1854,12575,6004,58,882,38,37,12820,45,65
370,T_3210,50528,28267,576,1939,11127,4159,30,577,21,40,9753,37,59
371,T_3211,58878,39644,1069,2434,11413,6810,76,701,22,88,17097,47,89
372,T_3212,30559,17403,331,961,8792,2502,27,500,15,28,4256,18,22
373,T_3213,48089,28778,861,1508,11204,4073,44,823,20,42,10206,21,40
374,T_3214,91677,55881,1299,3441,21274,8917,88,1117,39,106,19657,51,87
375,T_3215,59472,33137,818,2095,13398,4556,56,681,32,58,11543,31,57
376,T_3216,36391,19398,461,900,8107,2877,16,540,17,30,6435,20,33
377,T_3217,40574,23153,606,1251,8189,3978,38,508,28,26,8470,24,49
378,T_3218,28082,14556,308,633,6126,2407,25,470,10,18,4567,12,18
379,T_3261,81709,53356,1625,2763,15975,8671,93,990,37,92,23262,77,140
380,T_3262,294599,196776,6353,11903,60954,29940,295,3288,201,372,83695,380,501
381,T_3263,32985,21535,625,1192,6316,3091,29,371,22,34,9852,26,37
