,teryt_code,eligible_voters,issued_ballots,PIS,PO,RAZEM,KORWIN,PSL,LEWICA,KUKIZ,NOWOCZESNA,BEZPARTYJNI,STONOGA,RSRP,ZDŚ,SAMOOBRONA,BRAUN,PRAWICA,MN,ODP
97,T_1007,62742,31666,16813,3124,695,828,3490,1577,3244,881,0,0,0,0,0,0,0,0,0
98,T_1008,96445,52319,17548,13206,2238,2471,2067,4588,4635,4036,0,250,0,0,39,100,0,0,0
99,T_1009,42707,19791,9901,2512,531,669,1421,1330,1965,597,0,66,0,0,47,24,0,0,0
100,T_1010,73087,35999,18340,3485,909,1158,3865,2231,3507,1209,0,0,0,0,0,0,0,0,0
101,T_1011,34478,15548,6775,2470,414,516,2110,1027,988,467,0,50,0,0,104,21,0,0,0
102,T_1012,94236,43137,19137,6937,1298,1372,3249,3611,3963,2023,0,0,0,0,0,0,0,0,0
103,T_1013,39869,17716,8203,2153,469,657,2304,947,1584,766,0,0,0,0,0,0,0,0,0
104,T_1014,97160,45714,18483,9354,1230,1907,3460,3178,4143,1744,0,228,0,0,113,234,0,0,0
105,T_1015,30665,14883,7530,1645,440,498,1806,584,1375,469,0,0,0,0,0,0,0,0,0
106,T_1016,95374,47002,19701,8083,1388,1726,3632,2939,3942,4197,0,0,0,0,0,0,0,0,0
107,T_1017,62770,29335,11960,4821,925,951,3672,2123,2447,1228,0,104,0,0,102,57,0,0,0
108,T_1018,34046,15158,5679,2780,432,617,1990,905,1506,559,0,101,0,0,38,25,0,0,0
109,T_1019,53951,26829,9826,5603,900,1177,2359,1922,2647,1435,0,179,0,0,38,57,0,0,0
110,T_1020,133009,70358,23818,18963,3084,2871,2787,5804,5586,5048,0,394,0,0,60,249,0,0,0
111,T_1021,24966,12144,5294,1825,428,448,1296,747,1123,636,0,0,0,0,0,0,0,0,0
112,T_1061,561118,321035,89406,103776,15006,15310,7140,34440,22238,29359,0,0,0,0,0,0,0,0,0
113,T_1062,60415,32621,12132,7051,1038,1231,636,4255,3405,2255,0,0,0,0,0,0,0,0,0
114,T_1063,38370,21554,7563,5741,933,967,811,1923,1797,1415,0,0,0,0,0,0,0,0,0
115,T_1201,82213,45181,24548,5035,1137,2043,3415,1106,4079,2104,0,0,0,0,0,159,85,0,0
116,T_1202,73279,37653,19862,4416,825,1947,3280,907,3599,1319,0,0,0,0,0,91,121,0,0
117,T_1203,101996,54830,21079,13743,2251,2571,1037,4229,4751,3621,0,0,0,0,0,0,0,0,0
118,T_1204,47554,21497,12464,1427,352,882,3141,474,1404,555,0,0,0,0,0,45,33,0,0
119,T_1205,87129,42616,23172,6115,991,1686,2438,1891,3384,1283,0,177,0,0,0,0,152,0,0
120,T_1206,211401,115610,52646,21399,3468,6344,5796,4638,9089,8543,0,0,0,0,0,322,297,0,0
121,T_1207,97881,53389,34384,5223,997,1831,2619,845,3997,1243,0,253,0,0,0,0,127,0,0
122,T_1208,40793,18041,8589,2004,451,781,2159,1132,1695,604,0,0,0,0,0,52,29,0,0
123,T_1209,96484,53440,31292,7378,1183,2638,1216,1353,4127,2711,0,0,0,0,0,0,0,0,0
124,T_1210,162019,90515,58072,8934,1673,3641,4033,1574,6622,2362,0,366,0,0,0,0,249,0,0
125,T_1211,147583,68328,39127,9692,1429,2670,2454,1423,5533,2983,0,317,0,0,0,0,192,0,0
126,T_1212,92349,48729,20097,9395,1465,2519,1494,4415,5375,2538,0,0,0,0,0,98,106,0,0
127,T_1213,123988,71058,29968,16312,2587,2801,2092,4949,5987,4211,0,0,0,0,0,0,0,0,0
128,T_1214,35367,15441,6333,1482,273,460,3110,520,2340,333,0,0,0,0,0,25,37,0,0
129,T_1215,66320,34144,18850,4999,794,1509,1470,1182,2603,1469,0,0,0,0,0,0,0,0,0
130,T_1216,157495,80055,45263,9179,1613,3162,6185,1872,7145,2306,0,0,0,0,0,273,185,0,0
131,T_1217,53826,26767,14079,5424,606,1064,621,669,1884,1358,0,332,0,0,0,0,67,0,0
132,T_1218,125977,66746,32024,13022,2025,2570,2411,2760,6083,3719,0,0,0,0,0,0,0,0,0
133,T_1219,93114,51194,22650,10040,1490,2954,2460,1633,4860,3592,0,0,0,0,0,188,100,0,0
134,T_1261,594326,369481,128275,100760,15669,24802,5195,24458,23220,41137,0,0,0,0,0,900,812,0,0
135,T_1262,65857,38900,19176,7921,931,2487,764,1522,2898,2239,0,161,0,0,0,0,104,0,0
136,T_1263,90581,49455,20503,11308,1392,2318,1961,3421,4578,3024,0,0,0,0,0,125,93,0,0
137,T_1401,26932,12656,6630,1270,237,390,1902,397,796,432,0,86,0,0,0,0,22,0,0
138,T_1402,72931,32740,13758,5052,857,1282,3110,3043,3202,1407,0,0,0,0,0,0,0,0,0
139,T_1403,85748,45091,26133,4944,1062,1533,3171,1372,3544,1624,166,0,63,0,0,125,0,0,0
140,T_1404,37857,17227,7490,2879,535,548,1850,1136,1449,691,0,0,0,0,0,0,0,0,0
141,T_1405,69756,41564,14801,10441,1783,1881,1698,2512,3084,4284,0,307,0,0,0,0,0,0,0
142,T_1406,79533,38499,15693,5071,999,1522,7048,1924,3137,1686,0,210,0,0,0,0,56,0,0
143,T_1407,51186,24839,12426,4283,700,963,1327,1200,2022,974,0,174,0,0,0,0,55,0,0
144,T_1408,85984,53007,18402,16686,1872,2316,1343,3330,3549,4342,0,414,0,0,0,0,0,0,0
145,T_1409,29422,11345,4960,1521,274,397,1566,821,1016,284,0,60,0,0,0,0,21,0,0
146,T_1410,26130,12323,6498,1035,277,574,1614,592,934,377,22,0,20,0,0,42,0,0,0
147,T_1411,37122,16998,8569,1794,391,607,2413,913,1131,431,47,0,15,0,0,41,0,0,0
148,T_1412,117513,64744,27503,13319,2211,3099,3706,3184,5656,4097,153,0,145,0,0,135,0,0,0
149,T_1413,58628,24890,10320,3493,702,1258,2996,1863,2311,941,0,0,0,0,0,0,0,0,0
150,T_1414,62808,31220,12153,7388,1157,1402,1627,2141,2393,1860,0,249,0,0,0,0,0,0,0
151,T_1415,69925,29835,15631,3117,625,1185,3615,771,2793,785,77,0,36,0,0,70,0,0,0
152,T_1416,59767,28348,16047,2603,598,958,3693,953,1773,878,85,0,20,0,0,61,0,0,0
