,teryt_code,eligible_voters,issued_ballots,Jurek,Kaczynski,Komorowski,KorwinMikke,Lepper,Morawiecki,Napieralski,Olechowski,Pawlak,Zietek
288,T_2478,145820,67392,855,18524,33335,1794,477,79,10157,1035,424,186
289,T_2479,48506,26869,465,9478,11178,689,219,22,3924,423,215,76
290,T_2601,62520,27965,144,12283,7597,514,665,35,4356,261,1860,23
291,T_2602,72432,33917,226,16308,7794,543,735,40,5991,299,1671,104
292,T_2603,29791,11272,39,4990,2581,162,404,12,1768,104,1117,31
293,T_2604,160370,79494,680,42507,17887,1440,1195,95,11516,746,2578,157
294,T_2605,69975,34533,262,16768,9482,671,536,34,5375,353,705,63
295,T_2606,45673,19369,117,9067,3782,271,566,28,3739,162,1437,40
296,T_2607,95916,44568,305,16606,14498,985,541,48,9695,479,1032,104
297,T_2608,34968,15101,68,5675,4163,309,497,13,3089,131,1020,31
298,T_2609,66854,30611,221,13736,7982,517,682,33,4953,246,1974,48
299,T_2610,66453,34875,242,14089,12238,939,302,48,5746,560,390,70
300,T_2611,77563,38744,324,16992,12080,893,417,56,6484,468,692,80
301,T_2612,60321,27670,182,14603,6364,493,467,20,4140,234,989,33
302,T_2613,38139,19028,123,9726,3822,405,422,37,3375,143,794,40
303,T_2661,165945,101037,810,35534,41675,3046,512,108,15680,1714,1049,166
304,T_2801,50823,22864,136,5748,10877,466,658,31,4050,243,429,52
305,T_2802,35032,15718,121,3982,7095,364,535,20,2929,189,305,41
306,T_2803,52546,25079,173,8957,9626,415,493,26,4341,210,595,42
307,T_2804,45239,19027,126,5350,8686,394,533,26,3054,225,434,31
308,T_2805,67885,30506,329,9679,13771,702,506,36,4237,358,504,53
309,T_2806,46965,23079,154,5372,12043,650,466,36,3303,313,477,39
310,T_2807,73589,35967,212,10754,15715,727,865,43,6015,522,797,81
311,T_2808,54524,23977,162,5953,11880,521,578,24,3828,291,473,41
312,T_2809,34429,15835,102,4161,7673,367,415,27,2512,212,211,25
313,T_2810,41381,20206,190,5202,10179,500,318,31,2897,253,416,39
314,T_2811,27086,12461,98,4414,5054,230,246,11,1881,133,235,22
315,T_2812,34269,16591,135,5917,6006,208,661,22,2666,217,580,23
316,T_2813,27482,12265,129,3615,5715,302,276,17,1616,123,309,30
317,T_2814,94317,44144,382,10995,22354,1110,809,63,6453,658,808,78
318,T_2815,84236,39545,328,9815,19906,789,734,44,6469,499,624,56
319,T_2816,46794,21976,182,7572,9371,405,351,27,2929,257,604,39
320,T_2817,56692,26590,206,8358,11553,462,461,41,4094,364,712,41
321,T_2818,22207,9572,79,2337,5025,201,205,11,1334,78,178,20
322,T_2819,19713,8594,66,1902,4417,193,253,8,1310,147,210,17
323,T_2861,98660,54947,398,15960,26595,1347,415,66,8433,875,367,98
324,T_2862,135514,83915,754,21849,43642,2490,459,74,11731,1436,726,100
325,T_3001,37419,20697,119,4080,11081,436,413,34,3615,288,454,41
326,T_3002,68767,35428,247,8866,18059,606,871,40,5152,453,790,51
327,T_3003,113713,62555,480,18016,27193,1082,1081,80,11889,833,1343,126
328,T_3004,60376,29890,224,9115,11781,511,681,41,5651,369,1281,41
329,T_3005,38620,19745,102,5530,8710,332,471,17,3448,264,659,39
330,T_3006,56586,30305,204,9414,11734,542,634,40,6173,394,830,78
331,T_3007,64562,31710,188,13676,7663,512,895,37,6359,274,1783,77
332,T_3008,44136,23694,191,8061,9778,450,520,41,3505,279,657,45
333,T_3009,71656,36168,191,16766,9242,538,924,53,6641,306,1154,57
334,T_3010,98575,49458,281,23657,12221,635,1206,66,9204,428,1260,78
335,T_3011,62188,32998,205,9077,14664,634,652,45,5819,520,951,77
336,T_3012,60955,32186,299,10251,12329,568,766,52,5683,405,1500,73
337,T_3013,40274,20563,161,5815,9013,448,475,40,3416,270,720,41
338,T_3014,28914,14222,91,2987,7244,249,260,19,2585,189,450,34
339,T_3015,56783,30896,232,7328,15657,504,647,36,5010,463,782,50
340,T_3016,44808,24819,173,5837,12816,399,411,27,4112,314,522,52
341,T_3017,127986,70099,638,24186,27952,1524,1184,99,11350,918,1649,128
342,T_3018,43412,21514,190,7139,7972,400,487,39,3925,244,867,52
343,T_3019,107456,59962,513,15104,29880,1353,1043,83,9520,855,1074,94
344,T_3020,49536,25410,223,8331,9653,405,573,42,4555,306,1039,65
345,T_3021,246786,151087,1242,34355,84597,3840,1366,175,19411,2753,2085,226
346,T_3022,47719,24132,184,5838,11269,473,600,31,4338,270,868,65
347,T_3023,47528,24304,139,8623,8285,392,587,26,4673,292,1027,33
348,T_3024,70179,36824,297,8466,19017,757,631,36,6089,469,745,61
349,T_3025,43789,23716,160,6548,10150,533,452,32,4597,354,669,49
350,T_3026,46888,25430,195,6775,11211,584,424,32,4908,364,709,40
351,T_3027,66944,35118,167,15858,9212,622,798,44,6861,342,850,105
352,T_3028,53565,27095,139,6356,12613,459,768,46,5051,342,1103,44
353,T_3029,43406,24165,195,5659,11715,458,561,45,4131,287,878,31
354,T_3030,59620,31910,267,9649,13153,702,536,44,5914,516,827,50
355,T_3031,54748,27058,185,6591,13754,471,719,35,4171,322,572,39
356,T_3061,84759,49876,303,14367,23518,1219,298,64,8594,715,377,124
357,T_3062,64090,38741,226,13190,15354,762,233,37,7867,509,267,58
358,T_3063,50699,29543,231,6841,15869,841,161,34,4701,431,229,50
359,T_3064,438617,287144,2823,62647,169397,8307,1178,325,32738,5607,1644,377
360,T_3201,38670,17385,106,3890,9069,254,420,15,3080,189,165,40
361,T_3202,40591,17240,93,4081,8215,331,488,32,3113,167,563,23
362,T_3203,47605,22288,154,5172,11094,424,536,18,4125,249,279,26
363,T_3204,64680,31896,241,7269,15395,744,566,49,6381,428,531,60
364,T_3205,53684,27918,167,6555,14151,461,591,46,5007,298,418,35
365,T_3206,66156,31027,180,8534,14089,783,612,40,5629,398,416,39
366,T_3207,42838,22471,122,4974,11968,404,325,24,3877,325,271,34
367,T_3208,68757,40103,245,9964,21244,761,511,42,6188,463,387,45
368,T_3209,53840,26813,177,6044,14060,569,626,35,4267,342,415,40
369,T_3210,53883,25251,144,6592,12487,466,526,34,4157,312,315,27
370,T_3211,51762,29534,173,6925,14618,959,243,38,5529,550,247,32
