,teryt_code,eligible_voters,issued_ballots,Bartoszewicz,Biejat,Braun,Holownia,Jakubiak,Maciak,Mentzen,Nawrocki,Senyszyn,Stanowski,Trzaskowski,Woch,Zandberg
162,T_1426,62290,44144,239,815,4750,1505,439,109,8919,20631,247,404,4598,32,1232
163,T_1427,38246,23355,102,749,1571,877,154,45,4138,10006,183,223,4547,16,606
164,T_1428,63559,43301,193,1548,3218,2023,347,103,6489,15666,390,556,10758,26,1753
165,T_1429,40532,27832,121,545,2492,1314,308,48,4897,12525,177,269,4285,19,689
166,T_1430,29778,19089,90,450,1557,572,170,28,3368,9138,110,192,2721,7,590
167,T_1432,97456,76043,430,3652,3724,4184,784,114,10084,19037,999,1173,27559,82,3888
168,T_1433,50074,34702,168,860,2862,1380,297,89,5813,15383,274,331,6015,12,996
169,T_1434,197033,148370,861,6127,9236,8071,1658,255,23884,47581,1658,2468,38338,161,7393
170,T_1435,57469,40277,211,1055,3022,1718,385,60,7077,16486,300,425,7901,42,1387
171,T_1436,27418,17531,81,403,1432,559,132,46,3181,8310,100,154,2530,13,497
172,T_1437,28429,17074,69,551,895,730,154,26,3096,7073,129,149,3715,10,400
173,T_1438,56846,39525,246,1625,2668,1883,352,88,5847,12540,470,528,11266,28,1798
174,T_1461,36612,24355,134,821,1827,1197,190,41,3463,8678,186,252,6621,27,794
175,T_1462,84747,57555,248,2639,2869,2587,379,75,6386,17783,521,784,20777,43,2260
176,T_1463,147170,101794,450,3730,6403,4671,841,162,14174,34570,816,1217,30365,73,3970
177,T_1464,56140,40256,236,1291,3392,1939,392,103,5935,13614,363,483,10791,63,1483
178,T_1465,1379227,1093416,5538,81291,38470,58602,9781,1472,103910,199119,19616,17880,460616,1016,92369
179,T_2299,173,172,3,7,15,16,1,0,36,15,2,2,65,2,7
180,T_1499,524204,467802,2051,28459,51537,15955,2931,917,77193,74829,5798,4182,171471,233,30140
181,T_1601,65606,40676,216,1364,3107,1781,339,90,6418,12183,361,504,12506,26,1621
182,T_1602,33470,19418,106,430,1358,748,133,45,2934,7246,136,181,5438,13,549
183,T_1603,66300,37190,179,1403,2322,2340,292,94,5334,8336,343,517,14387,38,1437
184,T_1604,47455,26549,135,869,1845,1297,171,46,4226,7330,204,314,8990,20,980
185,T_1605,46714,23916,101,904,1527,1676,139,40,4099,4682,244,335,9008,25,1039
186,T_1606,32269,19643,92,769,1162,932,160,33,3468,6015,167,197,5858,16,676
187,T_1607,100496,58191,263,1766,3853,2440,375,128,8470,19337,528,532,18182,56,1986
188,T_1608,48343,26177,149,895,2056,1627,191,111,4460,7214,244,341,7710,41,987
189,T_1609,94713,51208,283,1824,3285,3773,315,117,8146,10520,508,669,19374,62,2099
190,T_1610,40008,21452,106,623,1512,1066,140,36,3668,6617,173,228,6381,12,792
191,T_1611,56507,29374,144,946,1861,2121,180,74,5168,6632,254,403,10251,33,1141
192,T_1661,94296,64663,333,3045,2862,3733,386,122,7273,11067,814,895,30168,66,3677
193,T_1801,16494,9567,49,322,844,360,74,38,1626,3417,72,83,2414,9,222
194,T_1802,49346,31584,140,415,3441,933,250,56,5619,16046,152,221,3426,18,762
195,T_1803,102057,68583,238,1230,6360,2408,591,104,11868,31575,476,647,10739,59,2046
196,T_1804,90181,58052,217,995,5177,1889,387,108,11112,26601,372,472,9047,55,1365
197,T_1805,85976,55231,260,977,4878,1912,516,70,8939,26269,343,487,8900,54,1429
198,T_1806,47184,29617,113,454,2651,898,256,47,5901,14658,168,296,3192,19,832
199,T_1807,86445,56049,251,1078,5568,2095,447,110,9260,25691,355,504,8944,53,1503
200,T_1808,51330,33505,107,435,2926,977,244,52,6205,17473,142,270,3762,16,775
201,T_1809,41634,25228,93,630,2378,888,165,90,4450,11182,184,191,4194,13,646
