,teryt_code,eligible_voters,issued_ballots,Duda,Trzaskowski
93,T_1003,40165,27660,16421,11220
94,T_1004,40869,26580,17968,8596
95,T_1005,62772,43112,28650,14381
96,T_1006,56942,41491,21930,19571
97,T_1007,60264,43045,32372,10854
98,T_1008,92285,64547,30289,34251
99,T_1009,41216,27828,19715,8253
100,T_1010,73049,51005,37228,13731
101,T_1011,34023,22602,14498,8101
102,T_1012,89684,59922,38063,21878
103,T_1013,38491,26336,18162,8076
104,T_1014,93034,62582,40882,21854
105,T_1015,30280,22102,16455,5539
106,T_1016,90508,63202,38800,24498
107,T_1017,60747,41033,25759,15284
108,T_1018,33349,21481,13539,8040
