,teryt_code,eligible_voters,issued_ballots,PO,LEWICA,TD,KONFEDERACJA,NK,POLEXIT,PLSP,PIS,RNP,BSNPWNE,GSP
271,T_2417,117663,48003,12826,1168,2862,5336,195,95,64,24816,94,289,0
272,T_2461,124933,58511,26483,2649,3002,5888,210,128,41,19356,131,375,0
273,T_2462,108504,39021,17891,2052,1743,3751,234,77,122,12572,91,279,0
274,T_2463,73327,28427,14231,1385,1807,2690,145,40,63,7595,84,222,0
275,T_2464,160320,69383,29371,5217,3403,5738,381,146,92,24195,133,468,0
276,T_2465,87652,36110,17708,2500,1503,2961,121,174,48,10605,88,239,0
277,T_2466,128107,56558,28398,3024,2856,5537,212,108,62,15436,120,556,0
278,T_2467,63935,23737,8139,774,809,2188,102,55,31,11308,40,155,0
279,T_2468,67174,26715,10946,1334,1209,2820,142,55,22,9757,57,247,0
280,T_2469,212196,100560,50501,6698,6201,8898,387,175,144,26272,217,667,0
281,T_2470,53361,22158,9335,961,1094,2408,91,39,51,7867,41,143,0
282,T_2471,39754,15397,6347,515,665,1365,70,25,23,6184,32,83,0
283,T_2472,98440,35773,15227,1292,2162,3308,202,70,81,12898,96,243,0
284,T_2473,99325,39017,16939,1042,1367,4151,166,74,58,14714,127,241,0
285,T_2474,47436,19370,9438,968,1173,2007,97,48,38,5312,54,141,0
286,T_2475,144880,60066,28262,5182,2760,4804,256,152,69,17767,126,423,0
287,T_2476,34309,12277,5551,489,725,1204,99,22,23,3974,53,78,0
288,T_2477,91291,40311,15249,1965,4819,4069,202,65,33,13413,64,266,0
289,T_2478,117771,40488,18784,1905,1711,3798,187,74,66,13317,137,306,0
290,T_2479,45827,17910,7127,574,860,1889,90,34,22,7086,43,103,0
291,T_2601,57996,21724,3544,679,4287,2383,43,47,17,10448,0,115,0
292,T_2602,66275,24043,3817,704,3114,3192,45,45,47,12683,0,205,0
293,T_2603,26664,8038,994,211,1562,1070,17,17,4,4056,0,34,0
294,T_2604,167302,64162,9205,2008,8560,8960,142,128,53,34262,0,462,0
295,T_2605,62695,23078,3545,2388,2294,2687,43,53,17,11765,0,132,0
296,T_2606,40852,13987,1485,432,2014,2078,27,52,24,7638,0,77,0
297,T_2607,81987,28551,7427,1626,3791,3286,64,62,26,11897,0,160,0
298,T_2608,31365,10160,1656,353,1806,1334,18,27,5,4821,0,46,0
299,T_2609,60538,21335,3484,787,3715,2907,55,52,17,10075,0,101,0
300,T_2610,56445,21336,5763,1116,2859,2368,52,46,23,8871,0,134,0
301,T_2611,68113,24752,5821,1018,2915,3168,57,48,20,11394,0,186,0
302,T_2612,56328,20042,2558,537,2824,2680,54,51,12,11055,0,121,0
303,T_2613,35922,13007,1244,390,2513,1921,16,18,6,6745,0,50,0
304,T_2661,143220,66678,22805,4440,8804,6807,104,114,45,22918,0,395,0
305,T_2801,43715,13263,6405,357,643,1318,66,41,0,4161,0,116,0
306,T_2802,30601,9003,4033,282,546,987,56,31,0,2864,0,116,0
307,T_2803,49330,14934,5061,451,1013,1452,68,50,0,6533,0,153,0
308,T_2804,43272,12583,5291,370,913,1486,77,41,0,4114,0,159,0
309,T_2805,65925,19911,7913,815,1024,2708,66,62,0,7001,0,157,0
310,T_2806,43495,15225,7151,614,983,1656,71,24,0,4286,0,332,0
311,T_2807,70343,22507,8814,784,1674,2423,144,50,0,8162,0,264,0
312,T_2808,46763,13792,5878,591,911,1626,87,38,0,4406,0,155,0
313,T_2809,30561,9706,4904,251,424,1004,38,16,0,2924,0,68,0
