,teryt_code,eligible_voters,issued_ballots,PO,ZER,KONFEDERACJA,PSL,PRAWICA,PIS,LIROY,SLD,BIS,MN
259,T_2405,88765,51743,15083,0,4193,3398,0,22063,0,5257,1097,0
260,T_2406,69009,40457,5722,0,2392,7642,0,18856,0,4472,778,0
261,T_2407,61467,33909,8022,0,2077,2637,0,16454,0,2753,1422,0
262,T_2408,75065,49360,15428,0,3837,3114,0,20689,0,4922,880,0
263,T_2409,57145,33310,6274,0,2114,2350,0,16023,0,5091,1016,0
264,T_2410,84226,55789,13225,0,4136,3674,0,29391,0,4809,0,0
265,T_2411,83590,41804,12500,0,2602,2699,0,18922,0,4030,558,0
266,T_2412,59601,36567,9478,0,2501,1851,0,19317,0,2432,583,0
267,T_2413,109913,67486,19532,0,4307,5261,0,28016,0,8400,1313,0
268,T_2414,45726,29496,6765,0,2146,1410,0,16597,0,2253,0,0
269,T_2415,120718,73257,17395,0,5103,4250,0,37619,0,7016,1141,0
270,T_2416,95983,58525,13990,0,4573,4056,0,26785,0,8491,0,0
271,T_2417,121013,75308,15385,0,4924,4976,0,43270,0,5881,0,0
272,T_2461,131455,88765,30321,0,6399,4652,0,34681,0,12080,0,0
273,T_2462,118782,67054,19353,0,4568,3841,0,25846,0,10337,2323,0
274,T_2463,79689,48147,19977,0,3694,2137,0,15843,0,5950,0,0
275,T_2464,173075,114006,32199,0,6844,4739,0,42304,0,23834,3270,0
276,T_2465,94046,60084,16897,0,3659,2550,0,21208,0,15279,0,0
277,T_2466,136344,89632,34874,0,6677,4316,0,28167,0,12089,2726,0
278,T_2467,68314,41650,9581,0,2970,1801,0,21993,0,4373,519,0
279,T_2468,70863,43873,13817,0,3065,2646,0,17688,0,6220,0,0
280,T_2469,227769,153903,62465,0,11083,6033,0,51632,0,21398,0,0
281,T_2470,55999,35765,11972,0,2404,1784,0,15386,0,3914,0,0
282,T_2471,42370,26129,10326,0,1429,829,0,11370,0,1890,0,0
283,T_2472,104865,63106,20522,0,4749,3016,0,27634,0,6519,0,0
284,T_2473,104680,65405,19732,0,4725,3425,0,29524,0,6424,1022,0
285,T_2474,50692,32028,12396,0,2401,1290,0,11232,0,4370,0,0
286,T_2475,158349,101393,31068,0,5332,3501,0,33731,0,26961,0,0
287,T_2476,37258,21137,7597,0,1587,1025,0,8357,0,2317,0,0
288,T_2477,96490,64512,22663,0,4923,2988,0,25979,0,7381,0,0
289,T_2478,128001,68386,22236,0,6369,3592,0,24487,0,9500,1426,0
290,T_2479,46109,29142,8379,0,2201,1676,0,13096,0,3103,425,0
291,T_2601,60128,33719,3659,0,1556,4977,0,19839,370,2667,278,0
292,T_2602,69211,39435,3794,0,1921,5028,0,24661,409,2855,265,0
293,T_2603,28056,13609,1527,0,658,2404,0,7937,79,752,81,0
294,T_2604,168472,99438,12621,0,6759,8633,0,60658,1563,7037,1034,0
295,T_2605,66021,36856,4443,0,1873,2925,0,22037,400,4469,240,0
296,T_2606,43120,22475,1598,0,991,3249,0,14211,276,1514,226,0
297,T_2607,87399,47570,9085,0,2816,3755,0,23226,693,6824,536,0
298,T_2608,33198,17547,2176,0,873,2164,0,10441,187,1370,150,0
299,T_2609,63584,33957,4387,0,1993,5842,0,17991,286,2766,260,0
300,T_2610,60494,35006,8897,0,2111,1859,0,16713,537,4155,380,0
301,T_2611,72100,42009,8704,0,2867,2409,0,22347,654,4048,524,0
302,T_2612,58592,32336,2747,0,1687,3782,0,20852,267,2342,278,0
303,T_2613,37218,21421,1333,0,1146,3504,0,13491,171,1413,108,0
304,T_2661,151204,100975,29909,0,6644,5758,0,40051,2381,14487,1040,0
305,T_2801,46275,22527,7093,0,1089,1729,0,9161,0,2483,500,0
306,T_2802,32835,16001,4351,0,862,1926,0,5969,0,1657,929,0
307,T_2803,51109,26280,5140,0,1380,3902,0,12382,0,2307,568,0
308,T_2804,44717,21389,5677,0,1176,2347,0,8715,0,2430,625,0
309,T_2805,67446,33574,8024,0,2959,3039,0,14360,259,4491,0,0
310,T_2806,44372,23622,6681,0,1592,3292,0,8591,163,2891,0,0
311,T_2807,72018,38503,9360,0,2525,4927,0,16599,0,3556,835,0
312,T_2808,49524,24149,4946,0,1493,4103,0,9358,142,3666,0,0
313,T_2809,32384,16503,5943,0,975,1082,0,6333,0,1486,367,0
314,T_2810,39560,20845,6102,0,1328,2627,0,7902,122,2412,0,0
315,T_2811,25603,12578,2529,0,774,1205,0,6393,84,1370,0,0
316,T_2812,33754,18180,2626,0,749,3788,0,8721,0,1615,269,0
317,T_2813,26098,12362,2291,0,793,1875,0,5744,86,1360,0,0
318,T_2814,98863,53398,14110,0,3997,8588,0,18375,373,7049,0,0
319,T_2815,81005,41711,12406,0,2491,4246,0,15383,0,5267,1079,0
320,T_2816,43919,21669,3684,0,1358,3168,0,11064,106,1910,0,0
321,T_2817,55253,28442,5591,0,1798,4570,0,12643,232,3057,0,0
322,T_2818,21209,9844,2631,0,493,1220,0,3938,65,1321,0,0
323,T_2819,17883,8946,2050,0,502,1636,0,3495,52,1094,0,0
324,T_2861,90392,54280,18724,0,2940,3372,0,19215,0,8395,1147,0
325,T_2862,129939,87214,29141,0,6047,8435,0,26897,656,15291,0,0
326,T_3001,36574,22170,6620,0,1523,3641,0,6807,0,3225,0,0
327,T_3002,67419,38492,10494,0,2352,6241,0,14297,0,4358,0,0
