,teryt_code,eligible_voters,issued_ballots,SAMOOBRONA,NP,PO,PJN,PPP,PSL,PRAWICA,PIS,RP,SLD,MN
75,T_0664,54060,26225,63,0,7668,741,155,1401,0,9647,3614,1965,0
76,T_0801,53329,22029,0,378,8686,341,115,1944,0,4507,2419,2097,0
77,T_0802,45435,17680,0,207,6918,172,79,1605,0,3325,2150,1866,0
78,T_0803,47891,19561,0,304,7238,252,96,2299,0,3479,2027,2378,0
79,T_0804,69655,29091,0,358,12608,415,195,2285,0,6395,2772,2313,0
80,T_0805,37027,14893,0,194,6397,196,81,1134,0,2687,1766,1373,0
81,T_0806,40294,15215,0,170,6380,174,85,1272,0,3038,1407,1497,0
82,T_0807,28588,11213,0,129,4710,117,34,1427,0,2145,889,823,0
83,T_0808,44560,19126,0,347,7777,502,79,1729,0,3993,1937,1587,0
84,T_0809,73702,32298,0,549,13510,452,184,2854,0,5963,3877,2695,0
85,T_0810,65666,25254,0,356,9595,255,147,2221,0,5168,2865,2991,0
86,T_0811,79061,31686,0,458,13527,357,156,1902,0,6726,3502,3153,0
87,T_0812,30819,12247,0,180,4849,137,38,962,0,3207,1133,800,0
88,T_0861,99037,50479,0,1028,21729,1113,215,1463,0,11422,5882,5582,0
89,T_0862,92950,52757,0,880,25046,810,216,2478,0,10247,6332,5145,0
90,T_1006,54594,28366,72,583,9190,473,154,3160,0,9113,2289,2171,0
91,T_1021,24969,11178,37,172,3322,131,141,1358,0,3726,838,851,0
92,T_1061,589701,332729,481,7019,159238,5261,1408,5232,0,77719,36077,32047,0
93,T_1001,91485,45178,0,0,10023,878,503,3254,304,19607,3851,3933,0
94,T_1007,63329,29323,0,0,4417,343,229,5311,149,13627,1821,1676,0
95,T_1010,72524,31587,0,0,5164,421,229,5003,241,13658,2252,2500,0
96,T_1012,95434,40159,0,0,9299,937,174,6643,363,12916,3445,3716,0
97,T_1013,40344,16869,0,0,3303,245,65,3646,310,5897,1284,1030,0
98,T_1015,30556,13583,0,0,2051,194,82,3272,103,5284,874,704,0
99,T_1016,97377,46794,0,0,12905,977,188,4915,234,16430,3758,4746,0
100,T_1062,62377,32842,0,0,10987,583,223,1474,253,10111,3657,4193,0
101,T_1063,39158,21049,0,0,8740,378,108,1271,273,5942,2068,1490,0
102,T_1002,84373,35299,164,493,10061,493,234,3620,186,11448,3240,3090,0
103,T_1003,41412,18354,111,322,4625,263,97,2040,66,6028,1845,1920,0
104,T_1004,43891,17109,139,227,3869,267,88,2651,45,5421,1825,1378,0
105,T_1005,66725,30072,103,545,6831,432,135,5443,106,9500,2555,2679,0
106,T_1008,97516,50589,136,1164,19392,944,229,2694,126,13747,6011,4030,0
107,T_1009,42992,17829,63,199,3864,229,124,2344,61,6874,1585,1235,0
108,T_1011,34533,14474,60,120,2695,145,63,3076,20,5075,1133,1007,0
109,T_1014,97994,43252,152,650,11034,673,221,6016,75,14072,3921,3798,0
110,T_1017,63508,27975,169,351,6630,367,274,5900,52,7907,2683,1865,0
111,T_1018,33954,14148,51,163,2779,172,70,3586,29,3699,1192,1487,0
112,T_1019,54435,25675,58,400,8787,624,130,2117,48,7507,2702,1971,0
113,T_1020,132801,65577,182,1079,26034,1257,259,3184,162,17927,6931,5473,0
114,T_1203,104047,51904,0,0,21915,1117,324,1576,466,13962,5900,3995,0
115,T_1209,93592,45443,0,0,11792,1092,253,2455,631,22481,2544,1706,0
116,T_1213,125106,65719,0,0,24758,1773,451,3071,439,19784,5729,6217,0
117,T_1215,65391,30045,0,0,7177,1409,98,3120,297,12948,1764,1074,0
118,T_1218,124793,60435,0,0,20028,1664,337,3852,479,22045,5200,3446,0
119,T_1206,203770,100112,0,2783,34451,2035,447,8690,0,35443,7559,4109,0
120,T_1208,41230,16437,0,299,3617,753,82,3207,0,4974,1373,1290,0
121,T_1212,93536,46356,0,999,15487,947,227,1877,0,14494,4611,5660,0
