,teryt_code,eligible_voters,issued_ballots,UPR,PSL,SAMOOBRONA,PPP,LIBERTAS,SLDUP,ZIELONI,PRAWICA,PO,PIS,PPS,PIAST
198,T_1808,55111,11758,112,867,217,60,151,436,207,574,3361,5561,0,0
199,T_1809,46497,9314,65,3809,320,50,260,531,88,195,1439,2341,0,0
200,T_1810,61411,14762,156,1494,192,67,159,671,176,273,2620,8720,0,0
201,T_1811,106923,25601,309,3862,303,189,358,1995,327,396,6324,11030,0,0
202,T_1812,53636,9648,132,940,203,63,179,662,103,578,2107,4419,0,0
203,T_1813,57373,9971,104,1336,268,98,97,635,105,295,3032,3693,0,0
204,T_1814,62702,12403,98,3386,248,63,88,562,275,445,2465,4456,0,0
205,T_1815,56053,12208,127,3200,204,81,301,433,126,323,1672,5452,0,0
206,T_1816,127553,28205,248,4335,345,213,243,1760,395,694,6062,13357,0,0
207,T_1817,77597,15629,225,881,185,81,144,1031,197,214,7332,5033,0,0
208,T_1818,88511,19799,281,566,196,123,170,2215,427,442,6345,8623,0,0
209,T_1819,49039,9121,93,1504,212,58,99,506,246,316,1929,3935,0,0
210,T_1820,43738,8397,82,1399,128,56,107,493,115,272,1964,3531,0,0
211,T_1821,22512,4758,52,349,69,32,14,302,50,71,2379,1338,0,0
212,T_1861,39295,10087,108,301,68,33,71,1037,236,194,4417,3509,0,0
213,T_1862,53705,14538,112,399,114,93,92,1328,291,281,6424,5138,0,0
214,T_1863,135788,46295,625,6040,193,187,304,5249,1534,802,16064,14705,0,0
215,T_1864,40170,9901,121,497,73,99,54,1034,221,287,4116,3212,0,0
216,T_2001,47666,8161,88,1017,409,50,71,688,243,190,2558,2694,14,0
217,T_2002,111432,24592,303,1852,372,108,266,1815,713,464,7744,10504,46,0
218,T_2003,49291,9763,73,666,227,53,57,1667,183,134,1914,4632,9,0
219,T_2004,39508,6106,68,1357,144,48,70,382,101,82,1620,2081,12,0
220,T_2005,41178,6244,63,492,153,58,31,1749,386,51,2280,821,17,0
221,T_2006,31704,4904,44,1254,228,38,69,269,51,51,880,1894,15,0
222,T_2007,40491,6270,63,971,252,38,99,367,45,363,804,3101,18,0
223,T_2008,34829,5445,42,1013,204,34,55,292,148,98,1126,2313,8,0
224,T_2009,17177,2344,12,544,76,13,22,282,26,73,745,495,7,0
225,T_2010,39969,6945,62,904,180,108,67,807,147,82,1509,2935,21,0
226,T_2011,59179,9927,64,2653,223,43,84,648,194,132,2046,3639,17,0
227,T_2012,28140,3950,51,902,222,29,26,282,37,177,945,1175,12,0
228,T_2013,48215,10859,79,902,332,54,254,478,79,458,1432,6577,17,0
229,T_2014,36844,7281,73,874,297,34,113,538,91,113,1829,3126,12,0
230,T_2061,229255,71652,912,1966,277,199,572,8115,3202,1279,31708,22576,98,0
231,T_2062,49776,11616,315,426,57,49,152,2596,120,205,3329,4181,15,0
232,T_2063,54179,11913,186,704,147,72,89,1969,132,527,4494,3389,32,0
233,T_2201,59696,10917,89,528,290,64,74,971,130,121,6066,2343,0,0
234,T_2202,72427,15459,141,874,462,105,139,1553,139,268,7640,3797,0,0
235,T_2203,46595,8495,78,569,295,84,80,1467,114,135,4356,1024,0,0
236,T_2204,69511,18113,186,1203,158,93,125,1539,150,201,10739,3441,0,0
237,T_2205,83250,21220,232,679,553,114,214,1000,146,406,11484,6012,0,0
238,T_2206,52591,11769,100,517,411,75,107,828,88,139,5496,3772,0,0
239,T_2207,64080,12011,130,347,214,73,69,1544,92,144,6471,2668,0,0
240,T_2208,50591,11666,115,465,195,73,102,1803,192,162,5873,2436,0,0
241,T_2209,50673,10404,121,466,218,75,80,1396,129,101,5372,2240,0,0
242,T_2210,28970,5395,59,348,129,33,39,645,39,57,2986,945,0,0
243,T_2211,60154,15544,154,516,166,105,147,1326,116,301,9452,2959,0,0
244,T_2212,74565,12562,132,911,302,133,116,1614,277,126,6518,2126,0,0
245,T_2213,95376,19492,182,1001,457,173,205,2450,140,294,9003,5154,0,0
246,T_2214,88308,18968,158,736,269,140,154,1921,172,245,9941,4802,0,0
247,T_2215,143849,39356,384,1173,394,251,312,3251,272,677,22860,9107,0,0
248,T_2216,34202,5397,95,546,140,45,44,662,47,42,2734,870,0,0
249,T_2261,362171,141155,1452,1240,508,475,811,12583,1003,1551,90153,29949,0,0
250,T_2262,198769,76393,789,623,285,334,586,8938,625,958,47386,14901,0,0
251,T_2263,77691,21128,197,338,178,124,182,3759,476,171,10876,4422,0,0
252,T_2264,32522,14711,136,90,30,26,89,1172,118,150,9818,2964,0,0
253,T_2299,104,71,1,0,0,1,1,5,0,0,44,14,0,0
254,T_2401,126212,29976,293,561,372,237,210,6837,628,156,15029,5023,0,64
255,T_2402,122191,33754,249,1137,212,191,245,2409,297,589,17889,9883,0,53
256,T_2403,137669,36633,250,748,320,221,244,3637,446,566,22530,6972,0,54
257,T_2404,108860,18500,174,2223,378,175,229,2264,376,384,7516,4176,0,43
258,T_2405,91846,19767,195,528,178,189,135,2016,213,303,11713,3854,0,35
259,T_2406,68956,10557,129,1528,192,113,81,1246,260,126,4006,2534,0,26
260,T_2407,62187,13261,106,542,202,79,170,818,185,323,7603,2871,0,19
261,T_2408,73667,20963,178,225,126,134,97,1866,270,228,12058,5446,0,29
262,T_2409,58946,9761,96,538,165,108,120,1364,234,195,4445,2249,0,13
263,T_2410,83008,21156,137,756,173,154,131,1414,247,394,10557,6821,0,45
264,T_2411,90236,16957,122,471,180,117,90,1272,147,292,10426,3461,0,28
265,T_2412,59312,12363,91,537,86,136,67,1203,122,214,6348,3244,0,25
266,T_2413,112722,28267,205,686,303,222,187,2331,484,396,17319,5589,0,51
267,T_2414,45006,10943,80,161,89,103,75,706,152,163,5535,3652,0,27
268,T_2415,125792,27120,185,901,193,231,153,2663,341,410,14643,6851,0,52
269,T_2416,102825,20281,228,1475,365,284,126,3368,471,201,9174,4135,0,34
270,T_2417,120009,27464,199,2168,217,193,318,1574,400,694,12112,8868,0,54
271,T_2461,141222,47316,362,649,220,233,408,4196,552,686,27495,11879,0,43
272,T_2462,142133,32137,329,418,311,253,202,3984,660,254,19167,5932,0,42
273,T_2463,90592,24513,222,165,135,269,140,2518,416,222,16339,3647,0,34
274,T_2464,196645,54788,520,1252,307,316,380,7880,824,1550,27653,13171,0,70
275,T_2465,105235,25583,253,286,211,302,160,6175,953,170,12334,4291,0,37
276,T_2466,154523,46652,385,1080,253,281,218,5178,645,481,29306,8143,0,88
277,T_2467,75153,18523,178,603,157,173,122,2496,191,201,8393,5635,0,33
278,T_2468,77477,18950,153,229,117,152,110,2601,314,178,10434,4249,0,27
279,T_2469,255069,86324,783,686,483,573,340,9490,1998,760,53302,16767,0,104
280,T_2470,60887,16470,132,132,137,136,84,2045,617,185,8903,3773,0,34
281,T_2471,47879,12097,80,142,106,93,78,1132,310,132,7206,2502,0,17
282,T_2472,115536,28400,289,442,173,373,135,3193,457,312,16261,6086,0,37
283,T_2473,112383,28293,191,698,197,265,113,2272,344,329,16434,6956,0,62
284,T_2474,57898,15055,129,148,83,122,64,1661,309,131,9447,2692,0,23
285,T_2475,184818,50728,506,427,242,370,215,16214,1061,305,21862,8583,0,77
286,T_2476,43523,9994,86,81,56,136,56,1043,205,90,6225,1803,0,19
287,T_2477,105766,32205,281,284,210,302,181,3281,641,360,18754,7403,0,56
288,T_2478,147960,31260,252,406,402,312,151,4151,447,313,18841,5358,0,59
289,T_2479,48981,11881,107,253,114,103,71,1386,134,154,6343,2930,0,23
290,T_2601,61622,11676,74,3320,353,50,149,1219,148,94,2462,3581,0,0
291,T_2602,72321,12068,82,2390,428,155,93,1752,163,222,2120,4364,0,0
292,T_2603,29816,4799,33,1430,364,23,45,535,58,29,771,1387,0,0
293,T_2604,158371,29667,242,4816,541,243,268,3859,581,398,5518,12246,0,0
294,T_2605,70216,13346,70,959,222,187,121,3837,134,118,2507,4837,0,0
295,T_2606,45847,7028,57,1894,280,64,62,876,113,85,966,2351,0,0
296,T_2607,96528,17355,108,1457,240,145,148,3924,278,185,4800,5695,0,0
297,T_2608,34998,6148,37,1584,363,58,64,1051,77,25,1178,1575,0,0
