,teryt_code,eligible_voters,issued_ballots,PO,PPP,SAMOOBRONA,SLDUP,UPR,NKWW,IDP,WSP,PIS,LPR,OKO,UW,PSL,KPEIRPLD,RACJA,PPN,ROB,ZIELONI,NOP,RDP,DPL
22,T_0402,57779,9606,1506,87,1744,657,127,41,56,273,621,1816,38,720,1455,116,0,0,0,0,0,0,0
23,T_0403,68849,11232,2632,94,1692,1134,262,48,141,476,909,1610,93,765,785,86,0,0,0,0,0,0,0
24,T_0404,39965,6047,939,49,986,944,92,36,43,209,388,1196,39,469,411,51,0,0,0,0,0,0,0
25,T_0405,33980,5267,776,39,1374,430,75,26,27,166,319,907,18,389,466,37,0,0,0,0,0,0,0
26,T_0406,29304,4027,442,53,1150,353,41,18,57,131,222,694,17,167,474,32,0,0,0,0,0,0,0
27,T_0407,131633,20859,4547,190,2397,2166,271,105,238,1465,1663,3402,180,1423,1567,211,0,0,0,0,0,0,0
28,T_0408,50957,6775,1218,43,1351,617,70,37,60,231,557,887,28,255,987,146,0,0,0,0,0,0,0
29,T_0409,36328,5894,707,64,872,627,70,23,67,458,355,1149,44,317,792,61,0,0,0,0,0,0,0
30,T_0410,65504,12302,2605,88,1344,1333,353,41,102,420,715,1574,87,468,2455,202,0,0,0,0,0,0,0
31,T_0411,34102,4495,389,17,1068,378,51,56,29,196,260,631,31,178,881,42,0,0,0,0,0,0,0
32,T_0412,34921,4435,769,25,734,262,58,30,155,187,612,603,21,197,639,33,0,0,0,0,0,0,0
33,T_0413,31435,5130,1145,36,838,460,81,24,55,155,273,900,35,212,616,66,0,0,0,0,0,0,0
34,T_0414,75775,12435,2673,118,1890,1049,234,132,137,430,853,1905,77,601,1620,119,0,0,0,0,0,0,0
35,T_0415,63735,9317,2010,52,1463,825,124,55,44,166,695,1532,36,1313,557,89,0,0,0,0,0,0,0
36,T_0416,35749,8454,4254,41,871,427,69,16,29,334,239,1004,15,179,600,39,0,0,0,0,0,0,0
37,T_0417,27255,3779,706,32,871,307,37,22,23,107,239,554,19,350,306,43,0,0,0,0,0,0,0
38,T_0418,66995,8239,1085,68,2184,575,68,275,45,461,536,1113,53,286,799,253,0,0,0,0,0,0,0
39,T_0419,54514,9039,1365,93,1443,945,97,26,545,377,474,1428,66,374,1164,90,0,0,0,0,0,0,0
40,T_0461,297347,74522,21062,241,3783,9787,1506,191,1039,3877,8127,12655,742,6995,1945,605,0,0,0,0,0,0,0
41,T_0462,80012,12434,3086,118,1281,1674,159,48,118,755,1288,1774,72,1211,274,175,0,0,0,0,0,0,0
42,T_0463,162068,42621,10889,114,1939,3779,583,351,212,1088,4115,5658,67,12550,361,255,0,0,0,0,0,0,0
43,T_0464,96490,17745,4023,95,1971,1848,289,418,63,1970,1746,2165,56,1392,381,709,0,0,0,0,0,0,0
44,T_2001,46513,7368,1725,44,1619,405,64,187,110,209,774,1395,44,144,352,51,0,20,71,0,0,0,0
45,T_2002,107520,20640,4851,81,2583,793,227,1342,282,470,2207,5520,202,676,644,216,0,18,121,0,0,0,0
46,T_2003,49232,8617,861,40,1298,522,56,1121,77,482,827,2126,38,612,233,62,0,6,68,0,0,0,0
47,T_2004,39020,5838,1029,48,1137,227,46,131,69,139,599,1441,32,105,466,53,0,7,112,0,0,0,0
48,T_2005,42391,5030,814,40,986,773,57,49,65,410,258,451,65,603,163,75,0,9,46,0,0,0,0
49,T_2006,31188,4615,565,36,1140,181,30,84,42,76,387,1387,24,26,438,29,0,3,36,0,0,0,0
50,T_2007,39068,6866,642,44,1829,133,21,76,220,64,491,2179,22,33,827,40,0,14,41,0,0,0,0
51,T_2008,34257,5465,866,34,1476,186,36,63,289,97,414,1472,17,41,297,32,0,3,16,0,0,0,0
52,T_2009,17153,2445,424,26,588,428,17,14,89,62,169,357,12,41,104,14,0,4,43,0,0,0,0
53,T_2010,40146,6355,609,44,1260,523,45,191,42,629,570,1580,28,210,304,71,0,15,59,0,0,0,0
54,T_2011,59494,8601,1658,59,1887,463,64,226,136,184,815,1999,48,175,484,85,0,8,86,0,0,0,0
55,T_2012,26993,3512,610,35,1190,107,27,18,135,58,281,607,8,61,199,33,0,11,28,0,0,0,0
56,T_2013,47570,10709,929,64,2012,247,59,322,59,153,833,3603,34,71,1972,50,0,13,50,0,0,0,0
57,T_2014,35823,6042,1006,48,1046,354,70,110,55,229,714,1607,29,62,390,39,0,8,53,0,0,0,0
58,T_2061,222896,55627,22370,110,2139,3697,790,1351,1107,2043,6432,9688,691,2971,620,418,0,78,325,0,0,0,0
59,T_2062,48804,10461,2857,21,858,687,112,155,728,381,1707,2088,36,155,376,31,0,16,46,0,0,0,0
60,T_2063,51944,8606,2548,56,957,729,105,39,241,392,1341,1439,57,155,159,45,0,48,85,0,0,0,0
61,T_2801,51315,7164,1674,84,1285,877,64,21,44,322,564,980,151,171,447,100,0,13,88,0,0,0,0
62,T_2802,34765,5008,1080,65,755,492,84,20,41,227,405,556,26,536,342,69,0,9,90,0,0,0,0
63,T_2803,50825,7632,1332,73,1309,649,62,35,42,168,681,1291,27,145,1073,308,0,17,117,0,0,0,0
64,T_2804,43772,5574,1218,51,1071,451,59,33,38,175,850,754,48,114,340,56,0,33,95,0,0,0,0
65,T_2805,64156,9363,2316,59,1034,890,99,78,66,303,1002,2235,42,285,401,66,0,24,133,0,0,0,0
66,T_2806,45921,6889,1609,74,921,622,85,42,55,301,607,825,35,232,1041,58,0,11,101,0,0,0,0
67,T_2807,70109,11028,2575,139,1918,1162,109,54,107,391,971,1534,54,299,911,166,0,25,177,0,0,0,0
68,T_2808,54867,7476,1743,91,997,1033,156,26,74,293,925,1041,57,240,292,84,0,15,121,0,0,0,0
69,T_2809,34326,5354,1370,53,825,438,50,24,54,185,465,760,441,135,244,31,0,40,77,0,0,0,0
70,T_2810,39661,5922,1604,66,538,675,84,25,69,179,575,942,40,263,490,49,0,9,76,0,0,0,0
71,T_2811,26665,3659,715,39,402,582,31,14,22,125,322,845,20,54,216,45,0,4,50,0,0,0,0
72,T_2812,32863,5704,869,75,1607,307,41,42,32,151,315,1187,27,117,473,72,0,8,93,0,0,0,0
73,T_2813,26621,3638,814,37,539,273,80,11,37,105,415,758,18,65,289,28,0,2,46,0,0,0,0
74,T_2814,86992,13086,3647,90,1515,1505,173,41,159,382,1565,1505,127,476,981,121,0,23,189,0,0,0,0
75,T_2815,82925,12004,3080,107,1426,1531,142,102,119,524,1715,1349,64,357,682,123,0,30,169,0,0,0,0
76,T_2816,44446,6473,1619,60,1011,584,40,37,43,233,671,1134,44,183,373,69,0,18,99,0,0,0,0
77,T_2817,54394,7519,1700,75,933,988,89,24,49,312,664,1182,58,222,753,69,0,14,91,0,0,0,0
78,T_2818,21332,2402,648,24,353,275,18,15,25,64,227,321,43,70,148,21,0,5,47,0,0,0,0
79,T_2819,19677,2702,655,18,502,329,26,12,19,96,238,350,25,89,175,28,0,6,47,0,0,0,0
80,T_2861,99975,20213,6483,137,1480,1952,299,116,114,1021,3369,2865,124,838,330,142,0,152,226,0,0,0,0
81,T_2862,132462,37154,13991,121,1291,5050,491,120,401,1673,5047,4573,276,1874,767,315,0,33,249,0,0,0,0
82,T_1405,59743,14334,2817,45,1038,794,243,41,153,1108,2447,1561,40,1877,1676,74,0,0,22,70,0,43,0
83,T_1408,72285,16554,2800,61,915,821,334,455,212,1944,3077,2309,61,2233,614,76,0,0,32,85,0,113,0
84,T_1414,58996,9586,1219,42,996,696,169,55,136,1061,1636,1239,31,908,933,57,0,0,22,63,0,41,0
85,T_1417,87686,20885,4027,94,1411,775,571,93,246,1438,4220,3725,72,2426,1007,68,0,0,40,148,0,106,0
86,T_1418,102593,25244,4789,81,1420,1176,481,138,353,2790,4928,3009,86,4344,882,89,0,0,37,116,0,88,0
87,T_1421,111825,30161,5786,89,1376,1259,673,161,361,2821,6909,3770,99,5071,641,101,0,0,61,213,0,213,0
88,T_1432,72594,17476,3164,77,1280,586,380,97,194,1631,4017,2112,57,2786,399,77,0,0,78,84,0,79,0
89,T_1434,147585,31366,4627,114,2360,1017,608,587,324,2237,7480,6497,78,3235,1158,123,0,0,54,145,0,110,0
90,T_1465,1331043,473341,75642,1089,12208,32984,10435,2344,6339,64210,109395,42264,1587,95086,5001,1764,0,0,894,3709,0,1996,0
91,T_1499,26792,14652,2918,104,324,783,271,162,270,1640,1903,1310,84,3839,194,58,0,0,63,206,0,108,0
92,T_1401,25725,3843,514,34,965,188,43,25,17,82,379,673,8,117,631,13,0,12,0,0,0,0,0
93,T_1402,72260,12098,1856,77,2791,1013,206,36,78,604,1750,1658,43,343,1134,76,0,16,0,0,0,0,0
94,T_1403,81204,14272,1428,80,3469,620,733,36,55,344,2454,2710,51,275,1528,56,0,27,0,0,0,0,0
95,T_1404,37579,5681,696,36,1426,416,59,23,42,213,499,814,27,120,1009,51,0,14,0,0,0,0,0
96,T_1406,76691,13872,1563,75,3376,754,160,80,51,451,1108,2914,69,592,2201,73,0,11,0,0,0,0,0
97,T_1407,50836,9227,1392,59,1922,609,452,111,52,273,816,1836,38,214,1074,47,0,18,0,0,0,0,0
98,T_1409,30966,5059,407,28,1926,404,34,34,140,102,229,369,21,52,1089,25,0,8,0,0,0,0,0
99,T_1410,26490,5563,370,33,2183,223,35,17,29,97,369,1062,21,73,844,9,0,12,0,0,0,0,0
100,T_1411,37336,6398,652,44,1750,408,61,15,29,156,535,1233,38,83,1040,54,0,11,0,0,0,0,0
101,T_1412,107025,20610,4202,201,2609,1105,445,70,113,1170,2933,4242,206,877,1656,156,0,68,0,0,0,0,0
102,T_1413,57839,8827,1307,75,2154,712,104,36,41,383,702,1424,50,215,1034,151,0,12,0,0,0,0,0
103,T_1415,63300,10233,770,85,2893,339,112,53,59,150,1133,2565,45,118,1455,41,0,29,0,0,0,0,0
104,T_1416,59425,11472,908,68,2601,531,89,14,56,216,815,4075,46,162,1550,56,0,10,0,0,0,0,0
105,T_1419,80649,11690,955,96,3193,577,182,28,88,258,806,1350,54,185,3303,52,0,19,0,0,0,0,0
106,T_1420,69754,9477,1414,73,2211,694,112,405,26,360,805,1463,32,207,1294,45,0,9,0,0,0,0,0
107,T_1422,42004,7876,679,67,1601,345,67,16,36,198,466,1270,42,102,2691,36,0,17,0,0,0,0,0
108,T_1423,35612,7595,403,217,2452,481,71,121,25,115,340,1573,34,101,1375,30,0,10,0,0,0,0,0
109,T_1424,39160,6467,1075,49,1406,394,109,32,50,248,666,992,69,143,956,47,0,10,0,0,0,0,0
110,T_1425,108706,16399,2052,141,3493,983,185,266,147,456,1683,3167,105,389,2684,60,0,33,0,0,0,0,0
111,T_1426,60948,11590,952,85,4365,432,75,26,70,213,783,2143,28,101,1968,49,0,23,0,0,0,0,0
112,T_1427,42104,6436,666,42,1828,365,70,11,56,255,535,852,31,134,1282,40,0,9,0,0,0,0,0
113,T_1428,65155,10128,3661,61,1512,596,96,20,27,359,1034,1436,28,252,662,66,0,17,0,0,0,0,0
114,T_1429,47057,11501,1048,70,2904,389,84,24,66,303,876,2721,41,139,2066,61,0,246,0,0,0,0,0
115,T_1430,31635,5077,710,50,1473,410,41,114,29,122,325,702,27,98,743,15,0,5,0,0,0,0,0
116,T_1433,54242,10328,752,84,2550,418,87,28,31,259,938,2339,108,143,2227,39,0,21,0,0,0,0,0
117,T_1435,54522,9429,1780,73,1844,494,162,35,57,403,965,1816,37,300,1094,50,0,17,0,0,0,0,0
118,T_1436,29451,4965,425,25,1492,378,47,43,37,107,274,725,39,55,1105,28,0,12,0,0,0,0,0
119,T_1437,32165,4390,422,44,1168,364,115,14,28,128,433,573,26,56,758,34,0,7,0,0,0,0,0
120,T_1438,58841,10298,2387,60,1207,818,179,37,66,627,1224,1948,60,473,773,80,0,11,0,0,0,0,0
121,T_1461,42680,8911,1774,41,804,685,188,19,39,419,2272,1548,34,250,416,142,0,43,0,0,0,0,0
122,T_1462,102046,20706,5076,104,1884,1953,719,38,428,1251,3235,2119,61,932,2095,249,0,41,0,0,0,0,0
123,T_1463,180292,39788,9034,221,2736,3235,743,1295,438,1931,4814,7607,252,2555,3607,329,0,88,0,0,0,0,0
124,T_1464,59280,13200,3372,55,1135,964,248,27,99,884,1751,2025,40,523,1586,187,0,26,0,0,0,0,0
125,T_1001,87726,13311,2383,93,2227,1108,372,79,69,688,1240,2245,49,654,1204,151,0,14,166,0,51,0,0
126,T_1002,86693,13642,1919,80,2714,1191,308,61,49,1226,1018,1928,50,340,1858,100,0,21,175,0,39,0,0
